,value
Rv0244c,MONOMER
Rv3018A,MONOMER
Rv3793,MONOMER
Rv0623,MONOMER
Rv3546,MONOMER
Rv3460c,MONOMER
Rv3502c,MONOMER
Rv1162,MONOMER
Rv2955c,MONOMER
Rv1599,MONOMER
Rv2275,MONOMER
Rv2053c,MONOMER
Rv1475c,MONOMER
Rv0170,MONOMER
Rv1180,MONOMER
Rv2531c,MONOMER
Rv0116c,MONOMER
Rv3000,MONOMER
Rv3825c,MONOMER
Rv0601c,MONOMER
Rv3790,MONOMER
Rv3444c,MONOMER
Rv3543c,MONOMER
Rv1144,MONOMER
Rv3377c,MONOMER
Rv3924c,MONOMER
Rv2952,MONOMER
Rv1580c,MONOMER
Rv2157c,MONOMER
Rv2030c,MONOMER
Rv1338,MONOMER
Rv0154c,MONOMER
Rv1086,MONOMER
Rv2508c,MONOMER
Rv3820c,MONOMER
Rv2982c,MONOMER
Rv3573c,MONOMER
Rv0585c,MONOMER
Rv3540c,MONOMER
Rv3427c,MONOMER
Rv3265c,MONOMER
Rv1123c,MONOMER
Rv2939,MONOMER
Rv3907c,MONOMER
Rv2153c,MONOMER
Rv1563c,MONOMER
Rv1334,MONOMER
Rv2007c,MONOMER
Rv0951,MONOMER
Rv0135c,MONOMER
Rv3806c,MONOMER
Rv2490c,MONOMER
Rv3569c,MONOMER
Rv2964,MONOMER
Rv3535c,MONOMER
Rv0566c,MONOMER
Rv3206c,MONOMER
Rv3406,MONOMER
Rv2754c,MONOMER
Rv1103c,MONOMER
Rv2048c,MONOMER
Rv3885c,MONOMER
Rv1273c,MONOMER
Rv1547,MONOMER
Rv0482,MONOMER
Rv1990c,MONOMER
Rv3802c,MONOMER
Rv2468A,MONOMER
Rv3561,MONOMER
Rv0120c,MONOMER
Rv3516,MONOMER
Rv0550c,MONOMER
Rv2959c,MONOMER
Rv3384c,MONOMER
Rv2455c,MONOMER
Rv1085c,MONOMER
Rv1747,MONOMER
Rv0982,MONOMER
Rv1228,MONOMER
Rv3869,MONOMER
Rv0295c,MONOMER
Rv1529,MONOMER
Rv3794,MONOMER
Rv1970,MONOMER
Rv3551,MONOMER
Rv2450c,MONOMER
Rv3504,MONOMER
Rv0099,MONOMER
Rv2956,MONOMER
Rv2918c,MONOMER
Rv2276,MONOMER
Rv0531,MONOMER
Rv1662,MONOMER
Rv3364c,MONOMER
Rv1182,MONOMER
Rv1061,MONOMER
Rv0129c,MONOMER
Rv0962c,MONOMER
Rv3826,MONOMER
Rv3851,MONOMER
Rv3791,MONOMER
Rv1508c,MONOMER
Rv3544c,MONOMER
Rv1946c,MONOMER
Rv3378c,MONOMER
Rv2434c,MONOMER
Rv2953,MONOMER
Rv0081,MONOMER
Rv2158c,MONOMER
Rv2900c,MONOMER
Rv1348,MONOMER
Rv0516c,MONOMER
Rv1098c,MONOMER
Rv3342,MONOMER
Rv3822,MONOMER
Rv1036c,MONOMER
Rv3634c,MONOMER
Rv0940c,MONOMER
Rv3541c,MONOMER
Rv3830c,MONOMER
Rv3318,MONOMER
Rv1487,MONOMER
Rv2949c,MONOMER
Rv1926c,MONOMER
Rv2155c,MONOMER
Rv2406c,MONOMER
Rv1335,MONOMER
Rv0065,MONOMER
Rv0952,MONOMER
Rv2878c,MONOMER
Rv3808c,MONOMER
Rv0500,MONOMER
Rv3570c,MONOMER
Rv3322c,MONOMER
Rv3536c,MONOMER
Rv1021,MONOMER
Rv3247c,MONOMER
Rv0922,MONOMER
Rv2764c,MONOMER
Rv3803c,MONOMER
Rv2136c,MONOMER
Rv1467c,MONOMER
Rv1302,MONOMER
Rv1909c,MONOMER
Rv0548c,MONOMER
Rv2388c,MONOMER
Rv3804c,MONOMER
Rv0044c,MONOMER
Rv3567c,MONOMER
Rv2862A,MONOMER
Rv3526,MONOMER
Rv0477,MONOMER
Rv2962c,MONOMER
Rv3305c,MONOMER
Rv2612c,MONOMER
Rv1004c,MONOMER
Rv1771,MONOMER
Rv0904c,MONOMER
Rv1240,MONOMER
Rv3770B,MONOMER
Rv0407,MONOMER
Rv1450c,MONOMER
Rv3795,MONOMER
Rv1881c,MONOMER
Rv3552,MONOMER
Rv2368c,MONOMER
Rv3505,MONOMER
Rv0020c,MONOMER
Rv2957,MONOMER
Rv2845c,MONOMER
Rv2361c,MONOMER
Rv0457c,MONOMER
Rv1663,MONOMER
Rv3286c,MONOMER
Rv1184c,MONOMER
Rv0983,MONOMER
Rv0234c,MONOMER
Rv0884c,MONOMER
Rv3754,MONOMER
Rv1433,MONOMER
Rv1861,MONOMER
Rv2347c,MONOMER
Rv0003,MONOMER
Rv2823c,MONOMER
Rv0439c,MONOMER
Rv3264c,MONOMER
Rv0865,MONOMER
Rv3734c,MONOMER
Rv1415,MONOMER
Rv1848,MONOMER
Rv2327,MONOMER
Rv2788,MONOMER
Rv0418,MONOMER
Rv3241c,MONOMER
Rv0845,MONOMER
Rv3716c,MONOMER
Rv1397c,MONOMER
Rv1829,MONOMER
Rv2307A,MONOMER
Rv0401,MONOMER
Rv2772c,MONOMER
Rv3223c,MONOMER
Rv0825c,MONOMER
Rv3696c,MONOMER
Rv1381,MONOMER
Rv1377c,MONOMER
Rv1809,MONOMER
Rv2282c,MONOMER
Rv0378,MONOMER
Rv2748c,MONOMER
Rv3203,MONOMER
Rv0802c,MONOMER
Rv1352,MONOMER
Rv1790,MONOMER
Rv2254c,MONOMER
Rv0356c,MONOMER
Rv2729c,MONOMER
Rv3184,MONOMER
Rv3650,MONOMER
Rv1328,MONOMER
Rv1770,MONOMER
Rv2232,MONOMER
Rv0338c,MONOMER
Rv2711,MONOMER
Rv3164c,MONOMER
Rv0764c,MONOMER
Rv3629c,MONOMER
Rv1310,MONOMER
Rv1750c,MONOMER
Rv2218,MONOMER
Rv0317c,MONOMER
Rv2690c,MONOMER
Rv3148,MONOMER
Rv0747,MONOMER
Rv3610c,MONOMER
Rv1293,MONOMER
Rv1731,MONOMER
Rv2201,MONOMER
Rv0301,MONOMER
Rv2668,MONOMER
Rv3132c,MONOMER
Rv0727c,MONOMER
Rv3593,MONOMER
Rv1272c,MONOMER
Rv1707,MONOMER
Rv2180c,MONOMER
Rv0282,MONOMER
Rv3109,MONOMER
Rv0710,MONOMER
