Transcription-Units,Genes of transcription unit,Direction
TU27KH-184,B488_RS01500,-
TU27KH-124,B488_RS00925 // B488_RS00920,-
TU27KH-511,B488_RS04240 // B488_RS04235 // B488_RS04230,+
TU27KH-609,B488_RS05050,-
TU27KH-213,B488_RS01730,+
TU27KH-740,B488_RS06145 // B488_RS06140 // B488_RS06135 // B488_RS06130,-
TU27KH-929,B488_RS00665,-
TU27KH-239,B488_RS01925 // B488_RS01920,-
TU27KH-769,B488_RS06385 // B488_RS06380 // B488_RS06375 // B488_RS06370 // B488_RS06365 // B488_RS06360,-
TU27KH-384,B488_RS03140 // B488_RS03135,+
TU27KH-638,B488_RS05270 // B488_RS05265 // B488_RS07045,+
TU27KH-798,B488_RS06630,-
TU27KH-674,B488_RS05595,-
TU27KH-301,B488_RS02440,+
TU27KH-536,B488_RS04415 // B488_RS04410,+
TU27KH-272,B488_RS02230,-
TU27KH-47,B488_RS00335,-
TU27KH-827,B488_RS05505,+
TU27KH-902,B488_RS01825,+
TU27KH-329,B488_RS02695,-
TU27KH-703,B488_RS05840,+
TU27KH-856,B488_RS03920,-
TU27KH-904,B488_RS01790,-
TU27KH-453,B488_RS06870,-
TU27KH-17,B488_RS00115,-
TU27KH-488,B488_RS04040 // B488_RS04035,-
TU27KH-383,B488_RS03125,+
TU27KH-732,B488_RS06075,+
TU27KH-32,B488_RS00225 // B488_RS00220 // B488_RS00215,+
TU27KH-356,B488_RS02925 // B488_RS02920,+
TU27KH-72,B488_RS00535,-
TU27KH-154,B488_RS01195 // B488_RS01190,-
TU27KH-566,B488_RS04720 // B488_RS04715 // B488_RS04710 // B488_RS04705,-
TU27KH-478,B488_RS07035 // B488_RS03965,+
TU27KH-594,B488_RS04945,+
TU27KH-111,B488_RS00825 // B488_RS00820,-
TU27KH-183,B488_RS01480,-
TU27KH-212,B488_RS01725 // B488_RS01720 // B488_RS01715,+
TU27KH-739,B488_RS06125,+
TU27KH-138,B488_RS01050 // B488_RS01045,-
TU27KH-623,B488_RS05150,-
TU27KH-238,B488_RS01915,+
TU27KH-286,B488_RS02325,+
TU27KH-768,B488_RS06355 // B488_RS06350,+
TU27KH-382,B488_RS03120,+
TU27KH-405,B488_RS03280 // B488_RS03275,-
TU27KH-586,B488_RS04890,-
TU27KH-673,B488_RS05590,-
TU27KH-797,B488_RS06695,+
TU27KH-257,B488_RS02130,-
TU27KH-422,B488_RS03465,-
TU27KH-315,B488_RS02605,-
TU27KH-647,B488_RS05345,+
TU27KH-826,B488_RS05535,-
TU27KH-688,B488_RS07110,-
TU27KH-543,B488_RS06905 // B488_RS04480 // B488_RS04475,-
TU27KH-656,B488_RS05420 // B488_RS06945,+
TU27KH-855,B488_RS03940,-
TU27KH-439,B488_RS03630 // B488_RS03625 // B488_RS03620 // B488_RS03615,-
TU27KH-341,B488_RS02815,-
TU27KH-84,B488_RS00610,+
TU27KH-717,B488_RS05975 // B488_RS05970 // B488_RS05965,-
TU27KH-381,B488_RS03115 // B488_RS03110,-
TU27KH-467,B488_RS03895,+
TU27KH-31,B488_RS00210,+
TU27KH-510,B488_RS04225,+
TU27KH-153,B488_RS01185 // B488_RS01180 // B488_RS01175,-
TU27KH-556,B488_RS04625,-
TU27KH-182,B488_RS01475,-
TU27KH-123,B488_RS06775 // B488_RS00910,-
TU27KH-608,B488_RS05045,-
TU27KH-211,B488_RS01710 // B488_RS01705 // B488_RS01700,+
TU27KH-521,B488_RS04305,+
TU27KH-622,B488_RS05145,-
TU27KH-237,B488_RS01910,+
TU27KH-767,B488_RS06345 // B488_RS06340,+
TU27KH-380,B488_RS03095 // B488_RS03090,+
TU27KH-637,B488_RS05255 // B488_RS05250 // B488_RS05245,-
TU27KH-796,B488_RS06710,+
TU27KH-660,B488_RS05465,+
TU27KH-300,B488_RS02435 // B488_RS02430,+
TU27KH-921,B488_RS00885,-
TU27KH-271,B488_RS02220,-
TU27KH-46,B488_RS00325,-
TU27KH-825,B488_RS05575,-
TU27KH-328,B488_RS06820,+
TU27KH-854,B488_RS04030,+
TU27KH-702,B488_RS05835,+
TU27KH-452,B488_RS03750 // B488_RS03745 // B488_RS03740,-
TU27KH-487,B488_RS04025,-
TU27KH-731,B488_RS06070,+
TU27KH-911,B488_RS01450,-
TU27KH-355,B488_RS02915,+
TU27KH-71,B488_RS00530 // B488_RS00525 // B488_RS00520,-
TU27KH-509,B488_RS04220 // B488_RS04215,+
TU27KH-152,B488_RS01170,-
TU27KH-592,B488_RS04935,+
TU27KH-110,B488_RS00815,-
TU27KH-181,B488_RS01470 // B488_RS01465,+
TU27KH-573,B488_RS04770,-
TU27KH-210,B488_RS01695,-
TU27KH-137,B488_RS01040,-
TU27KH-236,B488_RS01895,+
TU27KH-404,B488_RS03270,+
TU27KH-379,B488_RS03085 // B488_RS03080,+
TU27KH-528,B488_RS04345,+
TU27KH-795,B488_RS06730 // B488_RS06725 // B488_RS06720 // B488_RS06715,-
TU27KH-256,B488_RS02125,+
