,query,evalue
CD630_05640,b0955,4.11e-58
CD630_05650,b1633,2.6e-56
CD630_05660,b3606,1.17e-49
CD630_05740,b1719,0.0
CD630_05800,b2661,4.52e-98
CD630_05820,b1702,9.8e-60
CD630_05940,b0602,4.21e-66
CD630_05950,b0601,3.1e-50
CD630_06010,b1335,1.74e-24
CD630_06060,b0155,5.470000000000001e-51
CD630_06770,b2573,2.3e-16
CD630_06810,b4279,5.66e-13
CD630_06820,b3679,3.7e-25
CD630_06850,b1718,2.26e-45
CD630_06860,b1717,5.37e-16
CD630_06870,b1716,1.05e-35
CD630_06990,b1714,1.7400000000000001e-121
CD630_07000,b1713,3.31e-139
CD630_07030,b1435,1.4100000000000002e-72
CD630_07070,b0385,4.9800000000000004e-27
CD630_07080,b0237,3.07e-102
CD630_07110,b1876,1.33e-96
CD630_07150,b2297,6.69e-14
CD630_07200,b0529,8.69e-56
CD630_07230,b0116,8.8e-94
CD630_07290,b2904,1.12e-35
CD630_07430,b3423,1.08e-38
CD630_07440,b1890,3.32e-11
CD630_07520,b3271,5.95e-101
CD630_07540,b0423,1.28e-35
CD630_07570,b1285,6.12e-73
CD630_07580,b0902,9.86e-90
CD630_07590,b0903,0.0
CD630_07600,b3196,1.1000000000000001e-29
CD630_07610,b3162,7.21e-132
CD630_07630,b2706,1.03e-13
CD630_07640,b2702,5.42e-85
CD630_07670,b2704,4.9699999999999995e-24
CD630_07680,b2705,5.57e-111
CD630_07880,b4173,8.05e-88
CD630_07910,b3848,1.95e-17
CD630_07940,b1740,2.9199999999999998e-30
CD630_07950,b1864,2.91e-74
CD630_07990,b2371,3.3599999999999996e-94
CD630_08000,b1393,5.78e-63
CD630_08030,b1695,9.999999999999999e-55
CD630_08050,b1698,5.75e-45
CD630_08280,b3212,1.02e-36
CD630_08320,b0074,1.2299999999999999e-55
CD630_08330,b0771,2.78e-66
CD630_08340,b1136,8.910000000000001e-73
CD630_08490,b1337,8.620000000000001e-124
CD630_08530,b1244,1.3199999999999999e-48
CD630_08550,b3544,4.1400000000000004e-47
CD630_08650,b1045,3.18e-29
CD630_08690,b0763,5.8e-40
CD630_08700,b0764,3e-47
CD630_08720,b0459,2.58e-75
CD630_08790,b4167,5.85e-60
CD630_08810,b0489,3.8499999999999995e-67
CD630_08820,b3430,5.47e-92
CD630_08840,b3429,7.63e-102
CD630_08850,b3428,0.0
CD630_08860,b0403,2.2199999999999998e-67
CD630_08880,b4131,9.88e-22
CD630_08900,b0121,1.24e-62
