,query,evalue
b2521,CD630_15350,2.4900000000000002e-29
b2529,CD630_12800,2.94e-44
b2530,CD630_12790,1.1599999999999999e-126
b2531,CD630_12780,9.45e-35
b2551,CD630_27260,2.6900000000000002e-164
b2557,CD630_02250,8.290000000000001e-43
b2559,CD630_00150,2.15e-36
b2563,CD630_34660,5.99e-19
b2566,CD630_24370,4.82e-78
b2567,CD630_12480,1.12e-43
b2569,CD630_24670,0.0
b2573,CD630_06770,2.47e-16
b2574,CD630_23710,6.41e-88
b2575,CD630_35470,1.27e-12
b2580,CD630_24810,1.0399999999999999e-82
b2584,CD630_21960,4.85e-33
b2592,CD630_20200,0.0
b2593,CD630_26390,2.77e-20
b2594,CD630_25960,5.99e-74
b2599,CD630_18360,5.02e-46
b2606,CD630_12570,2.5799999999999998e-39
b2607,CD630_12560,1.23e-71
b2608,CD630_12550,1.86e-16
b2609,CD630_12530,2.9e-20
b2610,CD630_12520,6.32e-155
b2614,CD630_24620,5.6199999999999996e-30
b2615,CD630_10490,2.75e-25
b2616,CD630_12090,1.7e-95
b2620,CD630_31570,1.47e-39
b2661,CD630_05800,4e-98
b2662,CD630_21580,2.33e-76
b2675,CD630_29950,0.0
b2676,CD630_29940,1.34e-78
b2682,CD630_22860,4.6e-16
b2687,CD630_35980,1.63e-36
b2690,CD630_28570,2.31e-26
b2696,CD630_02340,1.01e-14
b2697,CD630_12820,0.0
b2699,CD630_13280,3.19e-163
b2700,CD630_14090,9.530000000000001e-36
b2702,CD630_07640,4.8600000000000004e-85
b2703,CD630_24170,1.13e-109
b2704,CD630_07670,4.51e-24
b2705,CD630_07680,5.01e-111
b2706,CD630_07630,7.58e-14
b2710,CD630_11570,1.53e-73
b2715,CD630_31270,3.66e-106
b2716,CD630_30960,0.0
b2733,CD630_19770,0.0
b2735,CD630_28500,2.13e-32
b2746,CD630_00480,7.06e-62
b2747,CD630_00470,4.5499999999999995e-34
b2761,CD630_29780,2.47e-20
b2763,CD630_24310,5.27e-18
b2779,CD630_31700,0.0
b2781,CD630_34970,3.6799999999999996e-54
b2785,CD630_33930,1.75e-52
b2797,CD630_32220,5.67e-88
b2812,CD630_24790,3.9399999999999996e-45
b2817,CD630_27610,7.09e-23
b2818,CD630_20320,1.02e-27
b2819,CD630_01320,3.9e-34
b2828,CD630_26590,4.13e-16
b2838,CD630_20530,1.63e-43
b2840,CD630_22540,4.5999999999999996e-92
b2844,CD630_26760,2.54e-158
b2869,CD630_31860,9.03e-130
b2871,CD630_31840,1.14e-131
b2872,CD630_20840,3.7e-57
b2873,CD630_31780,9e-116
b2875,CD630_34780,7.96e-78
b2876,CD630_20710,1.25e-28
b2879,CD630_31810,4.03e-88
b2881,CD630_20990,3.6899999999999997e-152
b2883,CD630_16630,1.2600000000000002e-72
b2888,CD630_31800,3.97e-99
b2889,CD630_23770,1.02e-13
b2890,CD630_35520,3.61e-166
b2891,CD630_01440,9.9e-115
b2892,CD630_27460,2.77e-87
b2894,CD630_12220,2.82e-55
b2899,CD630_15460,2.61e-27
b2901,CD630_31360,0.0
b2903,CD630_16580,7.42e-97
b2904,CD630_07290,1.03e-35
b2905,CD630_16570,8.569999999999999e-68
b2912,CD630_34560,2.31e-13
b2913,CD630_09950,2.05e-51
b2920,CD630_23430,2.44e-149
b2924,CD630_00130,1.79e-58
b2926,CD630_31730,2.77e-107
b2935,CD630_23220,8e-51
b2937,CD630_08910,6.41e-33
b2942,CD630_01300,1.95e-176
b2946,CD630_24490,6.7e-29
b2949,CD630_12850,1.68e-23
b2950,CD630_35050,1.01e-88
b2951,CD630_26230,6.57e-43
b2955,CD630_24640,4.85e-65
b2957,CD630_25160,5.4300000000000005e-43
b2960,CD630_19420,2.65e-13
b2966,CD630_19680,2.2e-22
b2972,CD630_35040,9.86e-35
b2979,CD630_11730,1.85e-67
b2980,CD630_11690,1.96e-24
b3040,CD630_10870,9.31e-51
b3057,CD630_29860,1.87e-66
b3058,CD630_14510,2.42e-13
b3059,CD630_26310,4.9200000000000004e-33
b3061,CD630_10030,9.330000000000001e-47
b3064,CD630_01520,1.46e-91
b3065,CD630_24461,2.02e-17
b3066,CD630_14540,1.84e-83
b3067,CD630_14550,5.07e-113
b3078,CD630_26120,3.58e-40
b3081,CD630_27090,2.16e-70
b3087,CD630_28550,7.03e-100
b3089,CD630_26930,1.31e-11
b3091,CD630_30020,2.4900000000000003e-73
b3117,CD630_25140,1.18e-92
b3124,CD630_30840,3.71e-101
b3125,CD630_28130,4.890000000000001e-103
b3133,CD630_04920,5.5799999999999996e-24
b3136,CD630_34490,1.7e-99
b3137,CD630_34480,1.0499999999999999e-89
b3139,CD630_30700,1.69e-33
b3146,CD630_35460,6.08e-72
b3148,CD630_12710,3.41e-13
b3151,CD630_23670,5.35e-11
b3155,CD630_15980,6.41e-14
b3162,CD630_07610,1.67e-132
b3164,CD630_13180,0.0
b3165,CD630_13160,2.3100000000000002e-33
b3166,CD630_13140,4.6499999999999994e-61
b3168,CD630_13090,0.0
b3169,CD630_13070,5.95e-84
b3170,CD630_13060,6.76e-25
b3172,CD630_17850,4.5e-38
b3176,CD630_01190,3.76e-123
b3177,CD630_14500,1.11e-72
b3178,CD630_35590,0.0
b3181,CD630_35530,4.6500000000000005e-27
b3183,CD630_11640,1.89e-92
b3185,CD630_11630,3.64e-30
b3186,CD630_11610,8.62e-28
b3189,CD630_01230,1.04e-137
b3196,CD630_07600,2.65e-36
b3197,CD630_30280,1.93e-51
b3202,CD630_31760,3.34e-89
b3203,CD630_24440,4.09e-15
b3205,CD630_34000,9.52e-60
b3210,CD630_15790,2.58e-34
b3211,CD630_14140,1.03e-67
b3212,CD630_08280,1.46e-39
b3220,CD630_18600,1.37e-49
b3223,CD630_22410,7.74e-46
b3225,CD630_22400,6.390000000000001e-66
b3230,CD630_01050,5.98e-49
b3231,CD630_01040,3.02e-50
b3234,CD630_32840,8.82e-59
b3236,CD630_21640,2.62e-12
b3244,CD630_28670,1.7e-101
b3247,CD630_11600,3.83e-84
b3248,CD630_11430,4.27e-45
b3251,CD630_11450,6.6199999999999995e-136
b3253,CD630_28430,6.130000000000001e-73
b3255,CD630_19390,1.1700000000000001e-27
b3256,CD630_19380,1.54e-165
b3258,CD630_22020,6.21e-16
b3259,CD630_24500,1.06e-38
b3260,CD630_35540,3.18e-91
b3262,CD630_11090,1.91e-16
b3271,CD630_07520,5.58e-101
b3279,CD630_27480,3.0600000000000004e-36
b3282,CD630_34820,2e-18
b3287,CD630_25850,1.28e-38
b3288,CD630_25840,1.43e-87
b3289,CD630_25810,2.11e-64
b3292,CD630_14220,6.19e-14
b3294,CD630_00990,3.8300000000000004e-31
b3295,CD630_00980,2.0199999999999998e-81
b3296,CD630_00970,2.5800000000000003e-66
b3297,CD630_00960,2.11e-51
b3298,CD630_00950,6.24e-47
b3300,CD630_00900,3.56e-116
b3301,CD630_00890,1.04e-33
b3303,CD630_00880,6.27e-53
b3304,CD630_00870,3.43e-33
b3305,CD630_00860,7.56e-59
b3306,CD630_00850,1.8699999999999998e-42
b3307,CD630_00841,1.75e-14
b3308,CD630_00840,1.37e-74
b3309,CD630_00830,3.67e-26
b3310,CD630_00820,5.02e-47
b3311,CD630_00810,6.13e-29
b3313,CD630_00800,3.09e-44
b3314,CD630_00790,8.970000000000001e-79
b3315,CD630_00780,4.290000000000001e-31
b3316,CD630_00770,3.47e-40
b3317,CD630_00760,9.64e-107
b3318,CD630_00750,2.5e-15
b3319,CD630_00740,1.73e-46
b3320,CD630_00730,3.45e-65
b3321,CD630_00720,1.5999999999999998e-42
b3326,CD630_35120,6.9e-132
b3327,CD630_35110,1.79e-46
b3340,CD630_00700,0.0
b3341,CD630_00690,1.8000000000000001e-65
b3342,CD630_00680,5.13e-60
b3352,CD630_01700,8.850000000000001e-97
b3357,CD630_22340,5.58e-12
b3360,CD630_14450,2.1399999999999998e-84
b3367,CD630_22300,9.059999999999999e-55
b3368,CD630_34200,2.21e-80
b3370,CD630_15550,3.34e-34
b3384,CD630_26100,1.29e-136
b3385,CD630_36050,8.24e-16
b3386,CD630_25750,3.85e-78
b3389,CD630_18330,2.3300000000000003e-77
b3390,CD630_18380,6.3300000000000004e-21
b3396,CD630_23930,1.31e-38
b3401,CD630_32190,1.79e-17
b3405,CD630_17820,1.43e-54
b3407,CD630_01450,0.0
b3409,CD630_14790,2.16e-131
b3413,CD630_01330,9.010000000000001e-21
b3415,CD630_28120,6.2300000000000004e-58
b3421,CD630_21460,1.3300000000000002e-31
b3423,CD630_07430,9.56e-39
b3428,CD630_08850,0.0
b3429,CD630_08840,6.77e-102
b3430,CD630_08820,5.45e-92
b3432,CD630_25260,3.57e-51
b3441,CD630_21250,2.3000000000000003e-27
b3447,CD630_15340,2.69e-51
b3449,CD630_16660,2.17e-20
b3450,CD630_24560,6.87e-126
b3451,CD630_34150,2.24e-35
b3452,CD630_34160,6.51e-40
b3453,CD630_34140,1.1300000000000002e-27
b3464,CD630_12510,1.27e-80
b3465,CD630_25590,4.29e-33
b3469,CD630_03130,7.91e-125
b3492,CD630_18150,6.9e-50
b3496,CD630_22620,2.2e-57
b3501,CD630_03120,6.04e-11
b3502,CD630_16950,5.47e-14
b3508,CD630_14250,7.44e-41
b3532,CD630_10310,2.68e-11
b3533,CD630_25450,3.27e-84
b3544,CD630_08550,9.64e-47
b3550,CD630_29730,3.4000000000000003e-32
b3552,CD630_02570,4.51e-14
b3556,CD630_08920,6.78e-27
b3559,CD630_24320,1.52e-148
b3560,CD630_24330,1.13e-139
b3564,CD630_30650,5.1400000000000005e-109
b3565,CD630_30640,1.95e-163
b3589,CD630_30060,1.43e-127
b3590,CD630_24930,1.11e-75
b3591,CD630_24950,9.04e-131
b3599,CD630_23340,0.0
b3600,CD630_23310,2.92e-137
b3605,CD630_12630,2.87e-33
b3606,CD630_05660,1.05e-49
b3607,CD630_15950,1.85e-39
b3608,CD630_26300,2.8499999999999996e-94
b3611,CD630_14700,3.93e-12
b3612,CD630_31710,0.0
b3616,CD630_23230,1.4699999999999998e-48
b3634,CD630_25580,8.1e-53
b3638,CD630_11440,3.44e-36
b3639,CD630_25870,2.98e-96
b3640,CD630_24030,7.310000000000001e-27
b3643,CD630_33080,3.29e-90
b3644,CD630_25890,4.69e-38
b3648,CD630_25880,9.19e-59
b3650,CD630_27440,0.0
b3652,CD630_25600,2.41e-163
b3653,CD630_17460,1.1899999999999999e-61
b3654,CD630_20750,4.32e-51
b3656,CD630_30710,5.69e-41
b3660,CD630_14130,2.3e-12
b3665,CD630_18200,2.4e-103
b3679,CD630_06820,3.55e-25
b3685,CD630_23440,3.11e-14
b3697,CD630_23590,1.11e-72
b3699,CD630_00050,0.0
b3700,CD630_00040,4.18e-39
b3701,CD630_00020,3.64e-43
b3702,CD630_00010,1.41e-128
b3705,CD630_36780,2.4900000000000004e-32
b3706,CD630_36760,4.49e-96
b3714,CD630_27040,6.83e-116
b3722,CD630_31250,4.68e-157
b3723,CD630_30980,9.07e-78
b3724,CD630_32600,5.76e-26
b3725,CD630_32610,4.94e-111
b3726,CD630_32620,8.49e-32
b3727,CD630_32630,3.82e-31
b3728,CD630_32680,5.47e-11
b3729,CD630_01200,0.0
b3730,CD630_35150,4.09e-119
b3732,CD630_34680,0.0
b3733,CD630_34690,3.86e-58
b3734,CD630_34700,0.0
b3735,CD630_34710,5.04e-13
b3736,CD630_34720,4.13e-11
b3738,CD630_34740,8.2e-12
b3741,CD630_36750,0.0
b3744,CD630_26950,1e-95
b3749,CD630_03010,1.66e-149
b3750,CD630_15880,3.19e-64
b3751,CD630_03000,4.48e-35
b3752,CD630_02990,1.2600000000000001e-59
b3753,CD630_02980,1.68e-64
b3765,CD630_12720,1.85e-120
b3771,CD630_20140,5.2800000000000006e-163
b3774,CD630_15650,2.45e-37
b3775,CD630_13570,3.6799999999999996e-23
b3779,CD630_34910,1.0499999999999999e-30
b3781,CD630_30330,2.23e-22
b3783,CD630_34870,7.45e-150
b3786,CD630_10330,4.9999999999999994e-126
b3805,CD630_34210,2.9799999999999997e-68
b3809,CD630_25900,2.3999999999999997e-46
b3813,CD630_03280,1.1000000000000002e-173
b3822,CD630_17010,1.0800000000000001e-161
b3835,CD630_27470,3.34e-70
b3848,CD630_07910,2.2999999999999997e-24
b3856,CD630_10820,2.92e-29
b3857,CD630_17090,6.39e-17
b3863,CD630_11280,0.0
b3865,CD630_33000,2.51e-44
b3870,CD630_13430,5.8100000000000006e-21
b3871,CD630_21160,0.0
b3874,CD630_35760,6.59e-69
b3887,CD630_27430,1.45e-43
b3895,CD630_33160,2.95e-20
b3906,CD630_26650,1.21e-21
b3908,CD630_16310,1.52e-71
b3909,CD630_28700,4.04e-62
b3915,CD630_28320,1.76e-30
b3916,CD630_33950,4.52e-113
b3919,CD630_31720,6.84e-70
b3926,CD630_13820,0.0
b3935,CD630_25860,2.9800000000000004e-132
b3936,CD630_34861,3.5e-21
b3939,CD630_18250,1.02e-53
b3949,CD630_02070,7.59e-108
b3950,CD630_02080,8.58e-38
b3951,CD630_11200,8.65e-149
b3952,CD630_32830,1.2699999999999999e-55
b3954,CD630_19960,9.47e-18
b3957,CD630_03030,2.49e-37
b3958,CD630_20340,2.36e-60
b3960,CD630_25000,5.64e-149
b3967,CD630_35620,1.8500000000000002e-29
b3972,CD630_34020,1.71e-20
b3973,CD630_35580,1.06e-41
b3980,CD630_00710,0.0
b3982,CD630_00600,7.52e-33
b3983,CD630_00610,1.13e-60
b3984,CD630_00620,3.22e-74
b3985,CD630_00630,3.3400000000000003e-26
b3986,CD630_00640,3.02e-36
b3987,CD630_00660,0.0
b3988,CD630_00670,0.0
b3990,CD630_17050,2.75e-86
b3991,CD630_17040,5.15e-87
b3993,CD630_16010,1.71e-16
b3994,CD630_17020,4.17e-117
b4003,CD630_17380,1.8900000000000002e-32
b4004,CD630_17390,3.2500000000000003e-109
b4005,CD630_02240,4.15e-131
b4006,CD630_02230,1.25e-143
b4012,CD630_36190,7.78e-29
b4013,CD630_18260,1.12e-68
b4019,CD630_35960,1.4399999999999998e-94
b4020,CD630_32860,5.24e-59
b4034,CD630_26450,3.5e-14
b4043,CD630_19310,1.58e-36
b4052,CD630_36570,2.66e-146
b4053,CD630_34630,6.84e-44
b4054,CD630_23820,2.27e-18
b4058,CD630_34110,0.0
b4059,CD630_36620,5.55e-16
b4065,CD630_26691,1.85e-77
b4079,CD630_33170,0.0
b4089,CD630_30440,1.02e-33
b4090,CD630_34800,1.52e-49
b4095,CD630_35320,1.3299999999999999e-62
b4096,CD630_35330,4.66e-53
b4097,CD630_35340,3.62e-71
b4098,CD630_35350,1.3e-120
b4099,CD630_35360,1.34e-88
b4108,CD630_36220,9.05e-49
b4115,CD630_11890,1.1500000000000001e-35
b4118,CD630_31310,3.98e-15
b4122,CD630_10040,2.95e-32
b4131,CD630_08880,1.29e-21
b4142,CD630_01930,1.2600000000000002e-21
b4143,CD630_01940,0.0
b4146,CD630_22520,8.02e-40
b4147,CD630_12460,4.0700000000000003e-56
b4148,CD630_04880,2.9300000000000002e-37
b4161,CD630_25760,4.16e-44
b4166,CD630_05630,6.26e-33
b4167,CD630_08790,4.3399999999999997e-60
b4168,CD630_01490,2.74e-26
b4170,CD630_19760,1.84e-71
b4171,CD630_19750,8.92e-59
b4172,CD630_19740,1.01e-19
b4173,CD630_07880,7.170000000000001e-88
b4177,CD630_36550,7.229999999999999e-131
b4179,CD630_31640,3.92e-148
b4180,CD630_00550,3.62e-60
b4193,CD630_36290,4.03e-49
b4195,CD630_36310,1.4500000000000002e-21
b4198,CD630_22780,3.4900000000000003e-109
b4200,CD630_36630,3.46e-18
b4202,CD630_36611,1.31e-20
b4203,CD630_36580,2.32e-16
b4212,CD630_02780,5.87e-19
b4218,CD630_28580,1.24e-41
b4219,CD630_21660,9.61e-42
b4235,CD630_28660,1.16e-33
b4237,CD630_01090,3.57e-25
b4238,CD630_01080,5.68e-91
b4239,CD630_30910,0.0
b4241,CD630_18040,3.01e-34
b4242,CD630_33730,0.0
b4243,CD630_31870,8.509999999999999e-45
b4245,CD630_01840,1.63e-97
b4252,CD630_22380,1.89e-13
b4254,CD630_20300,1.63e-131
b4258,CD630_32560,0.0
b4260,CD630_13000,1.23e-80
b4279,CD630_06810,4.86e-13
b4288,CD630_28760,1.15e-65
b4289,CD630_28770,5.4099999999999996e-48
b4295,CD630_00350,4.460000000000001e-43
b4298,CD630_30000,5.5200000000000006e-64
b4329,CD630_26980,1.3399999999999999e-45
b4330,CD630_26990,7.210000000000001e-56
b4334,CD630_17500,2.64e-74
b4335,CD630_17490,1.93e-147
b4340,CD630_36640,2.3299999999999997e-46
b4346,CD630_20940,2.25e-35
b4354,CD630_26000,2.01e-20
b4356,CD630_16200,1.4e-17
b4364,CD630_05170,7.78e-19
b4373,CD630_01510,1.21e-25
b4374,CD630_17350,1.23e-54
b4381,CD630_15020,1.17e-22
b4382,CD630_12250,1.56e-93
b4383,CD630_12230,6.39e-105
b4386,CD630_16540,1.08e-50
b4389,CD630_00270,1.1e-131
b4391,CD630_14050,9.28e-136
b4392,CD630_11300,2.52e-16
b4395,CD630_18140,5.7e-26
b4396,CD630_33520,1.55e-23
b4461,CD630_10440,1.01e-62
b4469,CD630_09980,5.9e-177
b4470,CD630_32320,1.42e-84
b4473,CD630_12730,2.2099999999999998e-48
b4477,CD630_36260,2.2899999999999998e-24
b4478,CD630_13890,6.35e-20
b4557,CD630_36781,1.9800000000000003e-27
b4565,CD630_23260,1.22e-18
