Transcription-Units	Genes of transcription unit	Direction
TU2LZ9-2411	GMET_RS02835 // GMET_RS02830 // GMET_RS02825 // GMET_RS02820	+
TU2LZ9-2368	GMET_RS02310	-
TU2LZ9-2776	GMET_RS06255	+
TU2LZ9-2317	GMET_RS18715	+
TU2LZ9-2243	GMET_RS01050 // GMET_RS01045 // GMET_RS01040 // GMET_RS01035 // GMET_RS01030 // GMET_RS01025 // GMET_RS01020	+
TU2LZ9-2521	GMET_RS03990 // GMET_RS03985 // GMET_RS03980	-
TU2LZ9-3883	GMET_RS16455	-
TU2LZ9-4029	GMET_RS17785	+
TU2LZ9-2599	GMET_RS04600	+
TU2LZ9-3501	GMET_RS13000	+
TU2LZ9-2906	GMET_RS07560	+
TU2LZ9-3752	GMET_RS15235 // GMET_RS15230 // GMET_RS15225	-
TU2LZ9-2987	GMET_RS08330 // GMET_RS08325 // GMET_RS08320	-
TU2LZ9-2171	GMET_RS00310	-
TU2LZ9-3183	GMET_RS10380	-
TU2LZ9-3137	GMET_RS09855 // GMET_RS18805	-
TU2LZ9-3751	GMET_RS15215 // GMET_RS15210	-
TU2LZ9-3665	GMET_RS14420	-
TU2LZ9-2673	GMET_RS05295	-
TU2LZ9-3362	GMET_RS11950	-
TU2LZ9-3499	GMET_RS12990 // GMET_RS12985	+
TU2LZ9-2701	GMET_RS05595	+
TU2LZ9-2242	GMET_RS01015 // GMET_RS01010 // GMET_RS01005 // GMET_RS01000 // GMET_RS00995	+
TU2LZ9-2903	GMET_RS07510	+
TU2LZ9-2316	GMET_RS01700	+
TU2LZ9-2717	GMET_RS05770 // GMET_RS05765	+
TU2LZ9-2769	GMET_RS06175	+
TU2LZ9-3419	GMET_RS12410	+
TU2LZ9-2889	GMET_RS07395	+
TU2LZ9-2866	GMET_RS07175 // GMET_RS07170 // GMET_RS07165 // GMET_RS07160	+
TU2LZ9-2598	GMET_RS04595	+
TU2LZ9-2967	GMET_RS08140	-
TU2LZ9-4223	GMET_RS03635	+
TU2LZ9-2890	GMET_RS07400 // GMET_RS18780	-
TU2LZ9-3662	GMET_RS14405 // GMET_RS14400 // GMET_RS14395 // GMET_RS14390	-
TU2LZ9-4028	GMET_RS17780	+
TU2LZ9-2963	GMET_RS08110 // GMET_RS08105	+
TU2LZ9-3066	GMET_RS09115 // GMET_RS09110	+
TU2LZ9-2170	GMET_RS00305	-
TU2LZ9-3661	GMET_RS14385	-
TU2LZ9-2304	GMET_RS18930	+
TU2LZ9-4027	GMET_RS17770	+
TU2LZ9-2700	GMET_RS05590	+
TU2LZ9-2956	GMET_RS08070	+
TU2LZ9-4083	GMET_RS15220	+
TU2LZ9-2667	GMET_RS05255	-
TU2LZ9-3065	GMET_RS09105	+
TU2LZ9-3881	GMET_RS16440	+
TU2LZ9-2340	GMET_RS01960	+
TU2LZ9-2370	GMET_RS02355 // GMET_RS02350 // GMET_RS02345 // GMET_RS02340 // GMET_RS02335 // GMET_RS02330	+
TU2LZ9-2315	GMET_RS01695	+
TU2LZ9-2369	GMET_RS02325	+
TU2LZ9-2241	GMET_RS00990 // GMET_RS00985 // GMET_RS00980 // GMET_RS00975 // GMET_RS00970	+
TU2LZ9-3706	GMET_RS14820 // GMET_RS14815	-
TU2LZ9-2520	GMET_RS03975	+
TU2LZ9-3926	GMET_RS16960	-
TU2LZ9-2597	GMET_RS04590 // GMET_RS04585	-
TU2LZ9-3283	GMET_RS11205 // GMET_RS11200	+
TU2LZ9-3498	GMET_RS12980	+
TU2LZ9-4222	GMET_RS03670	-
TU2LZ9-4153	GMET_RS09995	-
TU2LZ9-3951	GMET_RS17165	-
TU2LZ9-3063	GMET_RS09085	+
TU2LZ9-2169	GMET_RS00300 // GMET_RS00295 // GMET_RS00290 // GMET_RS00285	-
TU2LZ9-3708	GMET_RS14830	-
TU2LZ9-3660	GMET_RS14380 // GMET_RS14375	-
TU2LZ9-3928	GMET_RS16975 // GMET_RS16970	+
TU2LZ9-2902	GMET_RS07505 // GMET_RS07500 // GMET_RS07495	+
TU2LZ9-2715	GMET_RS05755	-
TU2LZ9-3424	GMET_RS12450 // GMET_RS12445 // GMET_RS12440	-
TU2LZ9-2846	GMET_RS06915 // GMET_RS06910 // GMET_RS06905 // GMET_RS06900 // GMET_RS06895 // GMET_RS06890	+
TU2LZ9-3284	GMET_RS11210	+
TU2LZ9-3747	GMET_RS15165	+
TU2LZ9-2759	GMET_RS06110 // GMET_RS06105	-
TU2LZ9-4025	GMET_RS17760 // GMET_RS17755 // GMET_RS17750 // GMET_RS17745	+
TU2LZ9-3659	GMET_RS14370 // GMET_RS14365 // GMET_RS14360	-
TU2LZ9-2671	GMET_RS05285 // GMET_RS05280	+
TU2LZ9-2787	GMET_RS06355 // GMET_RS06350 // GMET_RS06345 // GMET_RS06340	+
TU2LZ9-3176	GMET_RS10325 // GMET_RS10320	-
TU2LZ9-2314	GMET_RS01690	+
TU2LZ9-2240	GMET_RS00965	+
TU2LZ9-3746	GMET_RS15160	-
TU2LZ9-3139	GMET_RS09880 // GMET_RS09875 // GMET_RS09870	+
TU2LZ9-4087	GMET_RS15085	-
TU2LZ9-4024	GMET_RS17740	+
TU2LZ9-2596	GMET_RS04580	+
TU2LZ9-2900	GMET_RS07475	-
TU2LZ9-2905	GMET_RS07555	+
TU2LZ9-4221	GMET_RS03810	-
TU2LZ9-4152	GMET_RS10000	+
TU2LZ9-2767	GMET_RS06165 // GMET_RS06160 // GMET_RS06155 // GMET_RS06150	+
TU2LZ9-3657	GMET_RS14350 // GMET_RS14345	-
