Transcription-Units	Genes of transcription unit	Direction
TU2LZ9-3592	GMET_RS13880 // GMET_RS13875 // GMET_RS13870 // GMET_RS13865 // GMET_RS13860 // GMET_RS13855 // GMET_RS13850 // GMET_RS13845 // GMET_RS13840 // GMET_RS13835 // GMET_RS13830 // GMET_RS13825	-
TU2LZ9-3696	GMET_RS14750	+
TU2LZ9-2803	GMET_RS06505 // GMET_RS06500	-
TU2LZ9-2222	GMET_RS00735 // GMET_RS00730 // GMET_RS00725	+
TU2LZ9-3019	GMET_RS08695 // GMET_RS08690 // GMET_RS08685	+
TU2LZ9-3279	GMET_RS11180 // GMET_RS11175	+
TU2LZ9-2761	GMET_RS06120	+
TU2LZ9-2940	GMET_RS18995	+
TU2LZ9-2874	GMET_RS07260 // GMET_RS07255 // GMET_RS07250	+
TU2LZ9-2498	GMET_RS03765	-
TU2LZ9-3591	GMET_RS18455 // GMET_RS13815	-
TU2LZ9-2148	GMET_RS18200	-
TU2LZ9-3757	GMET_RS15270	-
TU2LZ9-4253	GMET_RS01165	+
TU2LZ9-3505	GMET_RS13020	+
TU2LZ9-2357	GMET_RS02165	+
TU2LZ9-2371	GMET_RS02375 // GMET_RS02370 // GMET_RS18945 // GMET_RS02360	+
TU2LZ9-3265	GMET_RS11090	-
TU2LZ9-3339	GMET_RS11595 // GMET_RS11590 // GMET_RS11585	-
TU2LZ9-3709	GMET_RS14835	-
TU2LZ9-3590	GMET_RS13810 // GMET_RS13805 // GMET_RS13800 // GMET_RS13795	-
TU2LZ9-2291	GMET_RS01485	+
TU2LZ9-4198	GMET_RS05495	+
TU2LZ9-3832	GMET_RS15955	+
TU2LZ9-3186	GMET_RS10415 // GMET_RS10410	-
TU2LZ9-3472	GMET_RS12780	-
TU2LZ9-3588	GMET_RS13765	-
TU2LZ9-2573	GMET_RS18735	+
TU2LZ9-3263	GMET_RS11080	-
TU2LZ9-2888	GMET_RS07390	+
TU2LZ9-3982	GMET_RS18675	-
TU2LZ9-3039	GMET_RS08865	+
TU2LZ9-2221	GMET_RS00720	+
TU2LZ9-2147	GMET_RS00115	+
TU2LZ9-2494	GMET_RS03745 // GMET_RS03740 // GMET_RS03735 // GMET_RS03730	+
TU2LZ9-2891	GMET_RS07410 // GMET_RS07405	-
TU2LZ9-3336	GMET_RS11560 // GMET_RS11555	-
TU2LZ9-3831	GMET_RS15950	+
TU2LZ9-2651	GMET_RS05115 // GMET_RS05110 // GMET_RS05105 // GMET_RS05100 // GMET_RS05095 // GMET_RS05090	+
TU2LZ9-3133	GMET_RS09825	-
TU2LZ9-4267	GMET_RS00440	+
TU2LZ9-2290	GMET_RS01480 // GMET_RS01475	-
TU2LZ9-2730	GMET_RS05870	+
TU2LZ9-3393	GMET_RS12195	-
TU2LZ9-3338	GMET_RS11575 // GMET_RS11570	-
TU2LZ9-4126	GMET_RS12385	+
TU2LZ9-3575	GMET_RS13670	-
TU2LZ9-3185	GMET_RS10395	-
TU2LZ9-2773	GMET_RS06215 // GMET_RS06210	+
TU2LZ9-3471	GMET_RS12775 // GMET_RS12770 // GMET_RS12765 // GMET_RS12760	-
TU2LZ9-2572	GMET_RS04410 // GMET_RS04405	+
TU2LZ9-2146	GMET_RS00110 // GMET_RS00105 // GMET_RS00100 // GMET_RS00095	+
TU2LZ9-3775	GMET_RS15450 // GMET_RS15445	-
TU2LZ9-2220	GMET_RS00715	+
TU2LZ9-4115	GMET_RS13080	+
TU2LZ9-3402	GMET_RS12270 // GMET_RS12265 // GMET_RS12260 // GMET_RS12255 // GMET_RS12250 // GMET_RS18610	+
TU2LZ9-4000	GMET_RS17535	-
TU2LZ9-2496	GMET_RS03755	-
TU2LZ9-2740	GMET_RS05975	+
TU2LZ9-2437	GMET_RS03050	+
TU2LZ9-3829	GMET_RS15925 // GMET_RS15920 // GMET_RS15915	-
TU2LZ9-2397	GMET_RS02695 // GMET_RS02690 // GMET_RS02685 // GMET_RS02680 // GMET_RS02675	+
TU2LZ9-2353	GMET_RS02115	+
TU2LZ9-2649	GMET_RS05080	+
TU2LZ9-3968	GMET_RS17295	-
TU2LZ9-2804	GMET_RS06510	+
TU2LZ9-2650	GMET_RS05085	+
TU2LZ9-3337	GMET_RS11565	-
TU2LZ9-2946	GMET_RS07935	+
TU2LZ9-2289	GMET_RS01470	-
TU2LZ9-3017	GMET_RS08675 // GMET_RS08670	-
TU2LZ9-3704	GMET_RS19100	-
TU2LZ9-3585	GMET_RS13750	+
TU2LZ9-4196	GMET_RS05775	-
TU2LZ9-3809	GMET_RS15775	-
TU2LZ9-2754	GMET_RS06080	-
TU2LZ9-2699	GMET_RS05585 // GMET_RS05580 // GMET_RS05575 // GMET_RS05570 // GMET_RS05565	+
TU2LZ9-3290	GMET_RS11240	-
TU2LZ9-3015	GMET_RS08650	-
TU2LZ9-2145	GMET_RS00085	+
TU2LZ9-3828	GMET_RS15910 // GMET_RS18880	-
TU2LZ9-2571	GMET_RS04400	+
TU2LZ9-3262	GMET_RS11075 // GMET_RS11070 // GMET_RS11065 // GMET_RS11060	-
TU2LZ9-3980	GMET_RS17400	+
TU2LZ9-3827	GMET_RS15900	-
TU2LZ9-2219	GMET_RS00710	-
TU2LZ9-3852	GMET_RS16185 // GMET_RS16180	-
TU2LZ9-3401	GMET_RS12245	-
TU2LZ9-3701	GMET_RS14785	-
TU2LZ9-2916	GMET_RS07670 // GMET_RS07665 // GMET_RS07660	+
TU2LZ9-2495	GMET_RS03750	+
TU2LZ9-3862	GMET_RS16270	+
TU2LZ9-3613	GMET_RS14040	-
TU2LZ9-3979	GMET_RS17395 // GMET_RS17390 // GMET_RS17385	+
TU2LZ9-3149	GMET_RS09980 // GMET_RS09975	+
TU2LZ9-3209	GMET_RS10585	-
TU2LZ9-3699	GMET_RS14770 // GMET_RS14765	-
TU2LZ9-3014	GMET_RS08640	-
TU2LZ9-3742	GMET_RS15110	+
TU2LZ9-2288	GMET_RS01465	+
TU2LZ9-3923	GMET_RS16930	+
TU2LZ9-3582	GMET_RS13730	+
TU2LZ9-2144	GMET_RS00080	+
TU2LZ9-3469	GMET_RS12755	-
TU2LZ9-4240	GMET_RS01745	-
TU2LZ9-3169	GMET_RS10270 // GMET_RS10265	-
TU2LZ9-3577	GMET_RS13685	-
TU2LZ9-2570	GMET_RS04395 // GMET_RS04390	-
TU2LZ9-2218	GMET_RS00705	-
TU2LZ9-4174	GMET_RS07900	-
TU2LZ9-4185	GMET_RS18755	-
TU2LZ9-4096	GMET_RS14200	+
TU2LZ9-3268	GMET_RS18175	-
TU2LZ9-3400	GMET_RS12240	-
TU2LZ9-2842	GMET_RS06850 // GMET_RS06845	+
TU2LZ9-3013	GMET_RS08635 // GMET_RS08630	-
TU2LZ9-3826	GMET_RS15895	-
TU2LZ9-4121	GMET_RS12855	-
TU2LZ9-3335	GMET_RS11550	-
TU2LZ9-3864	GMET_RS16285	+
TU2LZ9-2753	GMET_RS06075	-
TU2LZ9-3010	GMET_RS08590 // GMET_RS08585	+
TU2LZ9-3700	GMET_RS14775	-
TU2LZ9-3641	GMET_RS14230	-
TU2LZ9-2396	GMET_RS02670 // GMET_RS02665	+
TU2LZ9-3261	GMET_RS11055 // GMET_RS11050	-
TU2LZ9-2719	GMET_RS05790	-
TU2LZ9-2287	GMET_RS01460	+
TU2LZ9-2648	GMET_RS05075	+
TU2LZ9-3012	GMET_RS08625	-
TU2LZ9-3398	GMET_RS12230 // GMET_RS12225 // GMET_RS12220	-
TU2LZ9-4060	GMET_RS17025	-
TU2LZ9-2484	GMET_RS03650 // GMET_RS03645 // GMET_RS03640	-
TU2LZ9-2143	GMET_RS00075	+
TU2LZ9-3579	GMET_RS18450 // GMET_RS13705	-
TU2LZ9-4194	GMET_RS05965	+
TU2LZ9-3468	GMET_RS12750 // GMET_RS12745	-
TU2LZ9-3182	GMET_RS10375	-
TU2LZ9-2569	GMET_RS04385	-
TU2LZ9-4120	GMET_RS12920	-
TU2LZ9-2217	GMET_RS00700	-
TU2LZ9-2751	GMET_RS06065 // GMET_RS06060 // GMET_RS06055	-
TU2LZ9-3578	GMET_RS13695 // GMET_RS13690	-
TU2LZ9-3334	GMET_RS11545 // GMET_RS11540	-
TU2LZ9-3011	GMET_RS08620 // GMET_RS08615 // GMET_RS08610 // GMET_RS08605 // GMET_RS08600 // GMET_RS08595	-
TU2LZ9-3509	GMET_RS13070 // GMET_RS13065 // GMET_RS13060	+
TU2LZ9-3825	GMET_RS15890 // GMET_RS15885	+
TU2LZ9-4119	GMET_RS12925	+
TU2LZ9-3999	GMET_RS17530	-
TU2LZ9-3064	GMET_RS09100 // GMET_RS09095 // GMET_RS09090	+
TU2LZ9-4178	GMET_RS07620	+
TU2LZ9-2904	GMET_RS07550 // GMET_RS07545 // GMET_RS07540 // GMET_RS07535 // GMET_RS07530 // GMET_RS07525 // GMET_RS07520 // GMET_RS07515	+
TU2LZ9-2848	GMET_RS06935	-
TU2LZ9-3260	GMET_RS11045	-
TU2LZ9-3698	GMET_RS14760	-
TU2LZ9-2799	GMET_RS06460	+
TU2LZ9-2647	GMET_RS05070	+
TU2LZ9-3009	GMET_RS08580	-
TU2LZ9-2998	GMET_RS08430 // GMET_RS08425 // GMET_RS08420 // GMET_RS08415	-
TU2LZ9-4264	GMET_RS00570	+
TU2LZ9-2142	GMET_RS00070 // GMET_RS00065 // GMET_RS00060 // GMET_RS00055 // GMET_RS00050 // GMET_RS00045 // GMET_RS00040	+
TU2LZ9-3777	GMET_RS15460	-
TU2LZ9-3576	GMET_RS13680 // GMET_RS13675	+
TU2LZ9-4193	GMET_RS05970	-
TU2LZ9-2654	GMET_RS05135 // GMET_RS05130	+
TU2LZ9-3173	GMET_RS10305	-
TU2LZ9-4131	GMET_RS18605	+
TU2LZ9-4118	GMET_RS12930	-
TU2LZ9-2568	GMET_RS04380 // GMET_RS04375 // GMET_RS04370 // GMET_RS04365	+
TU2LZ9-2729	GMET_RS05865	+
TU2LZ9-3565	GMET_RS13575 // GMET_RS13570 // GMET_RS13565	+
TU2LZ9-2216	GMET_RS00695	+
TU2LZ9-2354	GMET_RS02120	+
TU2LZ9-3824	GMET_RS15880	-
TU2LZ9-2492	GMET_RS03720	-
TU2LZ9-4117	GMET_RS12935	+
TU2LZ9-3583	GMET_RS13735	+
TU2LZ9-2801	GMET_RS06490 // GMET_RS06485 // GMET_RS06480 // GMET_RS06475 // GMET_RS06470	+
TU2LZ9-3466	GMET_RS18430	-
TU2LZ9-2436	GMET_RS03045 // GMET_RS03040	+
TU2LZ9-3315	GMET_RS11400	-
TU2LZ9-3574	GMET_RS13665	-
TU2LZ9-2395	GMET_RS02660 // GMET_RS02655	+
TU2LZ9-2141	GMET_RS00030	+
TU2LZ9-2646	GMET_RS05065 // GMET_RS18740 // GMET_RS05060	+
TU2LZ9-3008	GMET_RS08575	-
TU2LZ9-2285	GMET_RS01430 // GMET_RS01425	+
TU2LZ9-2488	GMET_RS03695	+
TU2LZ9-3823	GMET_RS15875	-
TU2LZ9-3573	GMET_RS13660	-
TU2LZ9-3324	GMET_RS11470 // GMET_RS11465	+
TU2LZ9-4143	GMET_RS11280	+
TU2LZ9-3101	GMET_RS09540 // GMET_RS09535 // GMET_RS09530 // GMET_RS09525 // GMET_RS09520 // GMET_RS09515 // GMET_RS09510 // GMET_RS09505	-
TU2LZ9-4195	GMET_RS18260	-
TU2LZ9-3628	GMET_RS14145	+
TU2LZ9-2567	GMET_RS04360	+
TU2LZ9-3973	GMET_RS17335	-
TU2LZ9-4263	GMET_RS00930	+
TU2LZ9-4033	GMET_RS17815	+
TU2LZ9-2215	GMET_RS00690 // GMET_RS00685	+
TU2LZ9-3331	GMET_RS11520 // GMET_RS11515	-
TU2LZ9-2883	GMET_RS07330 // GMET_RS07325	+
TU2LZ9-2491	GMET_RS03715	-
TU2LZ9-3694	GMET_RS14720 // GMET_RS14715	+
TU2LZ9-3464	GMET_RS12725 // GMET_RS12720	-
TU2LZ9-4114	GMET_RS13095	+
TU2LZ9-3179	GMET_RS10360 // GMET_RS10355 // GMET_RS10350	-
TU2LZ9-2140	GMET_RS00025 // GMET_RS00020 // GMET_RS00015	+
TU2LZ9-2562	GMET_RS04310 // GMET_RS04305	+
TU2LZ9-4014	GMET_RS17645 // GMET_RS17640 // GMET_RS17635	+
TU2LZ9-3634	GMET_RS14180	-
TU2LZ9-2645	GMET_RS05055	+
TU2LZ9-4026	GMET_RS17765	+
TU2LZ9-3693	GMET_RS14710	+
TU2LZ9-3736	GMET_RS15050	-
TU2LZ9-2934	GMET_RS07835 // GMET_RS18790 // GMET_RS07830 // GMET_RS18785	+
TU2LZ9-3465	GMET_RS12735 // GMET_RS12730	+
TU2LZ9-2887	GMET_RS07385 // GMET_RS18775	+
TU2LZ9-3833	GMET_RS15960	+
TU2LZ9-2840	GMET_RS06820 // GMET_RS06815 // GMET_RS06810 // GMET_RS06805	+
TU2LZ9-2566	GMET_RS04355	+
TU2LZ9-3651	GMET_RS14300	+
TU2LZ9-3228	GMET_RS10805	+
TU2LZ9-2749	GMET_RS06045 // GMET_RS06040	-
TU2LZ9-4021	GMET_RS17720 // GMET_RS17715	-
TU2LZ9-2214	GMET_RS00680	-
TU2LZ9-3858	GMET_RS16245	+
TU2LZ9-3903	GMET_RS16665	-
TU2LZ9-3627	GMET_RS14140	+
TU2LZ9-2490	GMET_RS03710 // GMET_RS03705	-
TU2LZ9-3822	GMET_RS15870	+
TU2LZ9-3966	GMET_RS17280	-
TU2LZ9-3397	GMET_RS12215	-
TU2LZ9-2435	GMET_RS03035 // GMET_RS03030	+
TU2LZ9-2139	GMET_RS00010 // GMET_RS00005	+
TU2LZ9-4112	GMET_RS13165	+
TU2LZ9-3178	GMET_RS10345 // GMET_RS10340	-
TU2LZ9-2394	GMET_RS02650	+
TU2LZ9-3330	GMET_RS18845 // GMET_RS18840	-
TU2LZ9-3257	GMET_RS19050	-
TU2LZ9-3071	GMET_RS09185	-
TU2LZ9-3690	GMET_RS14690 // GMET_RS14685	+
TU2LZ9-2844	GMET_RS06875	+
TU2LZ9-2800	GMET_RS06465	+
TU2LZ9-2644	GMET_RS05050	+
TU2LZ9-2284	GMET_RS18120	+
TU2LZ9-4257	GMET_RS01125	+
TU2LZ9-3821	GMET_RS15865	+
TU2LZ9-4111	GMET_RS13170	-
TU2LZ9-3567	GMET_RS13595 // GMET_RS13590 // GMET_RS13585	+
TU2LZ9-3970	GMET_RS17310	+
TU2LZ9-2750	GMET_RS06050	-
TU2LZ9-3463	GMET_RS12715 // GMET_RS12710 // GMET_RS12705	-
TU2LZ9-3329	GMET_RS18835	+
TU2LZ9-3003	GMET_RS08465	-
TU2LZ9-3029	GMET_RS08760 // GMET_RS08755	+
TU2LZ9-2565	GMET_RS04350 // GMET_RS04345	+
TU2LZ9-2213	GMET_RS00675 // GMET_RS00670	-
TU2LZ9-4224	GMET_RS03630	-
TU2LZ9-3566	GMET_RS13580	+
TU2LZ9-3395	GMET_RS12205	-
TU2LZ9-2845	GMET_RS06885 // GMET_RS06880	+
TU2LZ9-2489	GMET_RS03700	-
TU2LZ9-2797	GMET_RS06440 // GMET_RS06435	+
TU2LZ9-3664	GMET_RS14415	-
TU2LZ9-3689	GMET_RS14670	-
TU2LZ9-2786	GMET_RS06335 // GMET_RS06330 // GMET_RS06325 // GMET_RS06320	+
TU2LZ9-2643	GMET_RS05035 // GMET_RS05030	-
TU2LZ9-2283	GMET_RS01410	+
TU2LZ9-3830	GMET_RS15935 // GMET_RS15930	-
TU2LZ9-3326	GMET_RS11485	+
TU2LZ9-3564	GMET_RS18860	+
TU2LZ9-3343	GMET_RS11660 // GMET_RS11655 // GMET_RS11650 // GMET_RS11645 // GMET_RS11640 // GMET_RS11635	-
TU2LZ9-3440	GMET_RS12570	+
TU2LZ9-2212	GMET_RS00665	+
TU2LZ9-3219	GMET_RS10670	+
TU2LZ9-2564	GMET_RS04340	+
TU2LZ9-3967	GMET_RS17290	-
TU2LZ9-2434	GMET_RS03025	+
TU2LZ9-2352	GMET_RS02110	-
TU2LZ9-3563	GMET_RS13560	+
TU2LZ9-3144	GMET_RS09940 // GMET_RS09935 // GMET_RS09930 // GMET_RS09925 // GMET_RS09920	+
TU2LZ9-2886	GMET_RS07380	+
TU2LZ9-3328	GMET_RS11500	+
TU2LZ9-3387	GMET_RS12130	-
TU2LZ9-3674	GMET_RS14540	-
TU2LZ9-2450	GMET_RS03365	+
TU2LZ9-3562	GMET_RS13555 // GMET_RS13550 // GMET_RS13545 // GMET_RS13540	+
TU2LZ9-3749	GMET_RS15175	+
TU2LZ9-2393	GMET_RS02645	-
TU2LZ9-2944	GMET_RS07925	+
TU2LZ9-3687	GMET_RS14660	-
TU2LZ9-3327	GMET_RS11495 // GMET_RS11490	+
TU2LZ9-2639	GMET_RS05005	-
TU2LZ9-3000	GMET_RS08450 // GMET_RS08445	-
TU2LZ9-2282	GMET_RS01405	+
TU2LZ9-4108	GMET_RS13480	+
TU2LZ9-2936	GMET_RS07845	+
TU2LZ9-3561	GMET_RS13535	+
TU2LZ9-3685	GMET_RS14645	-
TU2LZ9-4072	GMET_RS15945	-
TU2LZ9-3460	GMET_RS12690	+
TU2LZ9-2351	GMET_RS02105	-
TU2LZ9-2211	GMET_RS00660	+
TU2LZ9-3686	GMET_RS14655 // GMET_RS14650	-
TU2LZ9-2563	GMET_RS04335 // GMET_RS04330 // GMET_RS04325 // GMET_RS04320 // GMET_RS04315	+
TU2LZ9-2843	GMET_RS06870 // GMET_RS06865 // GMET_RS06860 // GMET_RS06855	+
TU2LZ9-2748	GMET_RS06035	-
TU2LZ9-3560	GMET_RS13530	-
TU2LZ9-4215	GMET_RS04080	-
TU2LZ9-4187	GMET_RS06570	-
TU2LZ9-2999	GMET_RS08440 // GMET_RS08435	+
TU2LZ9-3392	GMET_RS12190 // GMET_RS12185 // GMET_RS12180 // GMET_RS12175	-
TU2LZ9-3817	GMET_RS15840 // GMET_RS15835	+
TU2LZ9-4107	GMET_RS13600	-
TU2LZ9-2487	GMET_RS03690 // GMET_RS03685 // GMET_RS03680 // GMET_RS03675	+
TU2LZ9-2733	GMET_RS05895 // GMET_RS05890 // GMET_RS05885	+
TU2LZ9-3254	GMET_RS11020	-
TU2LZ9-2798	GMET_RS06455 // GMET_RS06450 // GMET_RS06445	+
TU2LZ9-3378	GMET_RS12055	-
TU2LZ9-2641	GMET_RS05020	+
TU2LZ9-2281	GMET_RS01400 // GMET_RS01395	+
TU2LZ9-3227	GMET_RS10800	+
TU2LZ9-2907	GMET_RS07565	+
TU2LZ9-3558	GMET_RS13520	-
TU2LZ9-3789	GMET_RS15570	-
TU2LZ9-3964	GMET_RS17265	-
TU2LZ9-3461	GMET_RS12695	-
TU2LZ9-2210	GMET_RS00655	+
TU2LZ9-2350	GMET_RS02100	-
TU2LZ9-3684	GMET_RS14635	-
TU2LZ9-2433	GMET_RS03020 // GMET_RS03015 // GMET_RS03010	+
TU2LZ9-3783	GMET_RS15495	+
TU2LZ9-3898	GMET_RS16570	-
TU2LZ9-3456	GMET_RS12670	+
TU2LZ9-3325	GMET_RS11480 // GMET_RS11475	+
TU2LZ9-2486	GMET_RS03665	+
TU2LZ9-2935	GMET_RS07840	+
TU2LZ9-3683	GMET_RS14630	-
TU2LZ9-2794	GMET_RS06405	+
TU2LZ9-3963	GMET_RS17255	-
TU2LZ9-3990	GMET_RS17465	+
TU2LZ9-2996	GMET_RS08395	-
TU2LZ9-3253	GMET_RS18170	-
TU2LZ9-2764	GMET_RS06135 // GMET_RS06130	+
TU2LZ9-2640	GMET_RS05010	-
TU2LZ9-2280	GMET_RS01390 // GMET_RS01385 // GMET_RS01380	+
TU2LZ9-3386	GMET_RS12125 // GMET_RS12120 // GMET_RS12115 // GMET_RS12110	-
TU2LZ9-3536	GMET_RS13330 // GMET_RS13325 // GMET_RS13320 // GMET_RS13315 // GMET_RS13310	-
TU2LZ9-3920	GMET_RS16915	-
TU2LZ9-3962	GMET_RS17250 // GMET_RS17245	-
TU2LZ9-2209	GMET_RS00650	-
TU2LZ9-2349	GMET_RS02095	-
TU2LZ9-2995	GMET_RS08390	-
TU2LZ9-2836	GMET_RS06780	+
TU2LZ9-3487	GMET_RS12900	-
TU2LZ9-2561	GMET_RS04300	+
TU2LZ9-3815	GMET_RS15825	+
TU2LZ9-2796	GMET_RS06430 // GMET_RS06425 // GMET_RS06420	+
TU2LZ9-3681	GMET_RS14620 // GMET_RS14615	-
TU2LZ9-3391	GMET_RS12170	-
TU2LZ9-4103	GMET_RS13700	+
TU2LZ9-3199	GMET_RS10535	+
TU2LZ9-2485	GMET_RS03660 // GMET_RS03655	+
TU2LZ9-3961	GMET_RS17235	-
TU2LZ9-2993	GMET_RS08380	-
TU2LZ9-2392	GMET_RS02640	-
TU2LZ9-3252	GMET_RS11010	-
TU2LZ9-3983	GMET_RS17415 // GMET_RS17410 // GMET_RS17405	-
TU2LZ9-3680	GMET_RS14610	+
TU2LZ9-2279	GMET_RS01375 // GMET_RS01370	+
TU2LZ9-3556	GMET_RS13510	-
TU2LZ9-3908	GMET_RS16720	-
TU2LZ9-3099	GMET_RS09495 // GMET_RS09490	-
TU2LZ9-2432	GMET_RS03005	+
TU2LZ9-3322	GMET_RS11445	+
TU2LZ9-2208	GMET_RS00645	-
TU2LZ9-2560	GMET_RS04295 // GMET_RS04290	+
TU2LZ9-3251	GMET_RS11005 // GMET_RS18590 // GMET_RS10995	-
TU2LZ9-3678	GMET_RS14595 // GMET_RS14590 // GMET_RS14585 // GMET_RS14580 // GMET_RS14575 // GMET_RS14570	-
TU2LZ9-4181	GMET_RS06825	-
TU2LZ9-4101	GMET_RS13915	+
TU2LZ9-3390	GMET_RS12165 // GMET_RS12160 // GMET_RS12155	-
TU2LZ9-4259	GMET_RS00960	-
TU2LZ9-2841	GMET_RS06840 // GMET_RS06835 // GMET_RS06830	+
TU2LZ9-3007	GMET_RS08560 // GMET_RS08555 // GMET_RS08550 // GMET_RS08545 // GMET_RS08540 // GMET_RS08535 // GMET_RS08530 // GMET_RS08525	+
TU2LZ9-2398	GMET_RS02700	+
TU2LZ9-3248	GMET_RS10975 // GMET_RS10970	-
TU2LZ9-3959	GMET_RS17225 // GMET_RS17220 // GMET_RS17215	-
TU2LZ9-3956	GMET_RS17200	+
TU2LZ9-3459	GMET_RS12685	+
TU2LZ9-4135	GMET_RS11705	-
TU2LZ9-2992	GMET_RS08375 // GMET_RS08370	-
TU2LZ9-3555	GMET_RS13505 // GMET_RS13500	+
TU2LZ9-4258	GMET_RS01100	-
TU2LZ9-3520	GMET_RS13190	-
TU2LZ9-4189	GMET_RS06525	+
TU2LZ9-3814	GMET_RS15820	+
TU2LZ9-2278	GMET_RS01365 // GMET_RS01360	+
TU2LZ9-2638	GMET_RS05000	-
TU2LZ9-4113	GMET_RS13125	-
TU2LZ9-3323	GMET_RS11455 // GMET_RS11450	+
TU2LZ9-3130	GMET_RS09780	-
TU2LZ9-4184	GMET_RS18760	-
TU2LZ9-3677	GMET_RS14565	-
TU2LZ9-2746	GMET_RS06025	-
TU2LZ9-2207	GMET_RS00640 // GMET_RS00635	+
TU2LZ9-2348	GMET_RS02090	+
TU2LZ9-3172	GMET_RS10300 // GMET_RS10295	-
TU2LZ9-3880	GMET_RS16435	+
TU2LZ9-2878	GMET_RS07300	-
TU2LZ9-2559	GMET_RS04285 // GMET_RS04280 // GMET_RS04275 // GMET_RS04270	+
TU2LZ9-3250	GMET_RS10990 // GMET_RS10985	-
TU2LZ9-3098	GMET_RS09485 // GMET_RS09480 // GMET_RS09475 // GMET_RS09470 // GMET_RS09465 // GMET_RS09460 // GMET_RS09455	-
TU2LZ9-3813	GMET_RS15815	-
TU2LZ9-3383	GMET_RS12090	-
TU2LZ9-4011	GMET_RS17615	-
TU2LZ9-3957	GMET_RS17205	+
TU2LZ9-2483	GMET_RS03625	+
TU2LZ9-4127	GMET_RS12380	-
TU2LZ9-3703	GMET_RS14805	-
TU2LZ9-2391	GMET_RS02635 // GMET_RS02630	-
TU2LZ9-3259	GMET_RS11040	+
TU2LZ9-3812	GMET_RS15810 // GMET_RS15805 // GMET_RS15800 // GMET_RS15795	-
TU2LZ9-2277	GMET_RS01355 // GMET_RS01350 // GMET_RS01345 // GMET_RS01340	+
TU2LZ9-2431	GMET_RS03000	+
TU2LZ9-2637	GMET_RS04995 // GMET_RS04990	+
TU2LZ9-3965	GMET_RS17275 // GMET_RS18495 // GMET_RS17270	-
TU2LZ9-3811	GMET_RS15790 // GMET_RS15785	-
TU2LZ9-4183	GMET_RS06760	-
TU2LZ9-4030	GMET_RS17795	+
TU2LZ9-3675	GMET_RS14550 // GMET_RS14545	-
TU2LZ9-2206	GMET_RS00630 // GMET_RS00625	+
TU2LZ9-3171	GMET_RS10280	+
TU2LZ9-3551	GMET_RS18445	-
TU2LZ9-4256	GMET_RS01130	-
TU2LZ9-2558	GMET_RS04265 // GMET_RS04260 // GMET_RS04255	+
TU2LZ9-2932	GMET_RS07815 // GMET_RS07810	-
TU2LZ9-2839	GMET_RS06800	+
TU2LZ9-2275	GMET_RS01310 // GMET_RS01305	-
TU2LZ9-3349	GMET_RS11745 // GMET_RS11740 // GMET_RS11735	-
TU2LZ9-3531	GMET_RS13270	+
TU2LZ9-3389	GMET_RS12145 // GMET_RS12140	-
TU2LZ9-3955	GMET_RS17195	+
TU2LZ9-4093	GMET_RS14675	+
TU2LZ9-2482	GMET_RS03620	+
TU2LZ9-3541	GMET_RS13385	+
TU2LZ9-3292	GMET_RS11255 // GMET_RS11250	-
TU2LZ9-3457	GMET_RS12675	+
TU2LZ9-3538	GMET_RS13370 // GMET_RS13365 // GMET_RS13360 // GMET_RS13355 // GMET_RS13350 // GMET_RS13345	-
TU2LZ9-2990	GMET_RS08360	+
TU2LZ9-3941	GMET_RS17110 // GMET_RS17105	-
TU2LZ9-3249	GMET_RS18165	-
TU2LZ9-3810	GMET_RS18875	-
TU2LZ9-2276	GMET_RS01320 // GMET_RS01315	+
TU2LZ9-3549	GMET_RS13470 // GMET_RS13465 // GMET_RS13460	-
TU2LZ9-2636	GMET_RS04985	+
TU2LZ9-4045	GMET_RS18015 // GMET_RS18010 // GMET_RS18005	-
TU2LZ9-3399	GMET_RS12235	-
TU2LZ9-3553	GMET_RS13490	-
TU2LZ9-4099	GMET_RS13970	-
TU2LZ9-3940	GMET_RS17100 // GMET_RS17095 // GMET_RS17090 // GMET_RS17085 // GMET_RS17080 // GMET_RS17075 // GMET_RS17070	-
TU2LZ9-4182	GMET_RS06790	-
TU2LZ9-3543	GMET_RS13415 // GMET_RS13410	-
TU2LZ9-2205	GMET_RS00620 // GMET_RS00615 // GMET_RS00610	+
TU2LZ9-2347	GMET_RS02085 // GMET_RS02080 // GMET_RS18940	+
TU2LZ9-3170	GMET_RS10275	+
TU2LZ9-2557	GMET_RS04250	-
TU2LZ9-2744	GMET_RS06010 // GMET_RS06005 // GMET_RS06000	-
TU2LZ9-3906	GMET_RS16710 // GMET_RS16705	-
TU2LZ9-3780	GMET_RS15475	-
TU2LZ9-4098	GMET_RS14045	+
TU2LZ9-2481	GMET_RS03615 // GMET_RS03610	+
TU2LZ9-3122	GMET_RS09705 // GMET_RS09700	-
TU2LZ9-2779	GMET_RS06275	+
TU2LZ9-2430	GMET_RS02990	+
TU2LZ9-2390	GMET_RS02625 // GMET_RS02620	-
TU2LZ9-2885	GMET_RS07370 // GMET_RS07365 // GMET_RS07360	+
TU2LZ9-2635	GMET_RS04975	+
TU2LZ9-4255	GMET_RS01155	+
TU2LZ9-3952	GMET_RS17175 // GMET_RS17170	+
TU2LZ9-2745	GMET_RS06020	-
TU2LZ9-2871	GMET_RS07240	+
