Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,replicon
G12WB-3192,CD630_30300,3518296,3519874,G12WB-3192-MONOMER,AM180355.1
G12WB-1672,CD630_15340,1778464,1780078,G12WB-1672-MONOMER,AM180355.1
G12WB-1637,CD630_15020,1739816,1740476,G12WB-1637-MONOMER,AM180355.1
G12WB-3628,CD630_34490,4041101,4042265,G12WB-3628-MONOMER,AM180355.1
G12WB-3599,CD630_34220,4013525,4015004,G12WB-3599-MONOMER,AM180355.1
G12WB-547,CD630_04360,518035,519802,G12WB-547-MONOMER,AM180355.1
G12WB-517,CD630_04110,482589,483075,G12WB-517-MONOMER,AM180355.1
G12WB-982,CD630_08740,1050404,1051160,G12WB-982-MONOMER,AM180355.1
G12WB-945,CD630_08350,1012612,1013062,G12WB-945-MONOMER,AM180355.1
G12WB-2361,CD630_22060,2555600,2556965,G12WB-2361-MONOMER,AM180355.1
G12WB-2332,CD630_21750,2516145,2516808,G12WB-2332-MONOMER,AM180355.1
G12WB-1243,CD630_11160,1312708,1313185,G12WB-1243-MONOMER,AM180355.1
G12WB-1216,CD630_10921,1286404,1286662,G12WB-1216-MONOMER,AM180355.1
G12WB-2781,CD630_26300,3039374,3040406,G12WB-2781-MONOMER,AM180355.1
G12WB-2745,CD630_25880,2994172,2994790,G12WB-2745-MONOMER,AM180355.1
G12WB-3208,CD630_30460,3539576,3540491,G12WB-3208-MONOMER,AM180355.1
G12WB-3174,CD630_30100,3496353,3497631,G12WB-3174-MONOMER,AM180355.1
G12WB-1656,CD630_15180,1760588,1760816,G12WB-1656-MONOMER,AM180355.1
G12WB-1619,CD630_14820,1718130,1718901,G12WB-1619-MONOMER,AM180355.1
G12WB-3611,CD630_34340,4024331,4025708,G12WB-3611-MONOMER,AM180355.1
G12WB-3581,CD630_34070,3986409,3988191,G12WB-3581-MONOMER,AM180355.1
G12WB-531,CD630_04230,496121,504845,G12WB-531-MONOMER,AM180355.1
G12WB-494,CD630_03890,459274,460741,G12WB-494-MONOMER,AM180355.1
G12WB-962,CD630_08520,1027706,1028141,G12WB-962-MONOMER,AM180355.1
G12WB-490,CD630_03850,453005,453332,G12WB-490-MONOMER,AM180355.1
G12WB-2347,CD630_21920,2538520,2538874,G12WB-2347-MONOMER,AM180355.1
G12WB-928,CD630_08180,992745,994152,G12WB-928-MONOMER,AM180355.1
G12WB-1229,CD630_11041,1295703,1296069,G12WB-1229-MONOMER,AM180355.1
G12WB-2311,CD630_21540,2492240,2493449,G12WB-2311-MONOMER,AM180355.1
G12WB-2759,CD630_26020,3010076,3011279,G12WB-2759-MONOMER,AM180355.1
G12WB-2727,CD630_25710,2976023,2976740,G12WB-2727-MONOMER,AM180355.1
G12WB-3190,CD630_30280,3516502,3517102,G12WB-3190-MONOMER,AM180355.1
G12WB-3152,CD630_29870,3470470,3471475,G12WB-3152-MONOMER,AM180355.1
G12WB-1635,CD630_14980,1734990,1735881,G12WB-1635-MONOMER,AM180355.1
G12WB-120,CD630_00660,90159,93876,G12WB-120-MONOMER,AM180355.1
