Modified_enzyme,Core_enzyme,Modifications,Source
VC_0472-MONOMER_mod_tl(4)_mod_cobalt2(1),VC_0472-MONOMER,tl(4) AND cobalt2(1),Homology
VC_0472-MONOMER_mod_tl(4)_mod_zn2(1),VC_0472-MONOMER,tl(4) AND zn2(1),Homology
VC_0472-MONOMER_mod_tl(4)_mod_cd2(1),VC_0472-MONOMER,tl(4) AND cd2(1),Homology
VC_0472-MONOMER_mod_tl(4)_mod_ni2(1),VC_0472-MONOMER,tl(4) AND ni2(1),Homology
VC_0472-MONOMER_mod_tl(4)_mod_ca2(1),VC_0472-MONOMER,tl(4) AND ca2(1),Homology
VC_0472-MONOMER_mod_cs(4)_mod_mg2(1),VC_0472-MONOMER,cs(4) AND mg2(1),Homology
VC_0472-MONOMER_mod_cs(4)_mod_mn2(1),VC_0472-MONOMER,cs(4) AND mn2(1),Homology
VC_0472-MONOMER_mod_cs(4)_mod_cobalt2(1),VC_0472-MONOMER,cs(4) AND cobalt2(1),Homology
VC_0472-MONOMER_mod_cs(4)_mod_zn2(1),VC_0472-MONOMER,cs(4) AND zn2(1),Homology
VC_0472-MONOMER_mod_cs(4)_mod_cd2(1),VC_0472-MONOMER,cs(4) AND cd2(1),Homology
VC_0472-MONOMER_mod_cs(4)_mod_ni2(1),VC_0472-MONOMER,cs(4) AND ni2(1),Homology
VC_0472-MONOMER_mod_cs(4)_mod_ca2(1),VC_0472-MONOMER,cs(4) AND ca2(1),Homology
VC_0472-MONOMER_mod_LI(4)_mod_mg2(1),VC_0472-MONOMER,LI(4) AND mg2(1),Homology
VC_0472-MONOMER_mod_LI(4)_mod_mn2(1),VC_0472-MONOMER,LI(4) AND mn2(1),Homology
VC_0472-MONOMER_mod_LI(4)_mod_cobalt2(1),VC_0472-MONOMER,LI(4) AND cobalt2(1),Homology
VC_0472-MONOMER_mod_LI(4)_mod_zn2(1),VC_0472-MONOMER,LI(4) AND zn2(1),Homology
VC_0472-MONOMER_mod_LI(4)_mod_cd2(1),VC_0472-MONOMER,LI(4) AND cd2(1),Homology
VC_0472-MONOMER_mod_LI(4)_mod_ni2(1),VC_0472-MONOMER,LI(4) AND ni2(1),Homology
VC_0472-MONOMER_mod_LI(4)_mod_ca2(1),VC_0472-MONOMER,LI(4) AND ca2(1),Homology
