Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Accession-2,replicon
FY484_RS01525,accC,0,1344,FY484_RS01525-MONOMER,,accC
FY484_RS12585,lptA,0,495,FY484_RS12585-MONOMER,,lptA
FY484_RS14685,norR,0,1593,FY484_RS14685-MONOMER,,norR
FY484_RS03760,VC_0716,769307,769562,FY484_RS03760-MONOMER,,AE003852.1
FY484_RS17450,phaB,0,741,FY484_RS17450-MONOMER,,phaB
FY484_RS06140,VC_1211,1285749,1287864,FY484_RS06140-MONOMER,,AE003852.1
FY484_RS08330,VC_1659,1791029,1791977,FY484_RS08330-MONOMER,,AE003852.1
FY484_RS10425,sdhB,0,711,FY484_RS10425-MONOMER,,sdhB
FY484_RS01430,purD,0,1290,FY484_RS01430-MONOMER,,purD
FY484_RS12500,argF,0,1005,FY484_RS12500-MONOMER,,argF
FY484_RS12480,VC_2505,2692653,2693391,FY484_RS12480-MONOMER,,AE003852.1
FY484_RS14590,tnaA,0,1419,FY484_RS14590-MONOMER,,tnaA
FY484_RS03635,nagZ,0,993,FY484_RS03635-MONOMER,,nagZ
FY484_RS17340,VC_A0667,603571,605113,FY484_RS17340-MONOMER,,AE003853.1
FY484_RS06030,maeA,0,1689,FY484_RS06030-MONOMER,,maeA
FY484_RS08215,VC_1634,1759458,1760664,FY484_RS08215-MONOMER,,AE003852.1
FY484_RS10330,flhG,0,888,FY484_RS10330-MONOMER,,flhG
FY484_RS01305,wbeK,0,234,FY484_RS01305-MONOMER,,wbeK
FY484_RS12360,VC_2487,2667409,2668498,FY484_RS12360-MONOMER,,AE003852.1
FY484_RS14500,VC_A0141,155194,157249,FY484_RS14500-MONOMER,,AE003853.1
FY484_RS03555,thyA,0,852,FY484_RS03555-MONOMER,,thyA
FY484_RS17245,VC_A0647,582628,583075,FY484_RS17245-MONOMER,,AE003853.1
FY484_RS05945,trpB,0,1191,FY484_RS05945-MONOMER,,trpB
FY484_RS19495,FY484_RS19495,0,489,FY484_RS19495-MONOMER,,FY484_RS19495
FY484_RS08115,rlmF,0,1089,FY484_RS08115-MONOMER,,rlmF
FY484_RS10250,ccmG,0,555,FY484_RS10250-MONOMER,,ccmG
FY484_RS01215,wavF,0,744,FY484_RS01215-MONOMER,,wavF
FY484_RS12265,rpoE,0,573,FY484_RS12265-MONOMER,,rpoE
FY484_RS14405,VC_A0121,136062,137328,FY484_RS14405-MONOMER,,AE003853.1
FY484_RS03470,holD,0,408,FY484_RS03470-MONOMER,,holD
FY484_RS17160,VC_A0631,568277,568793,FY484_RS17160-MONOMER,,AE003853.1
FY484_RS05855,VC_1151,1222771,1223677,FY484_RS05855-MONOMER,,AE003852.1
FY484_RS19350,VC_A1097,1052858,1053164,FY484_RS19350-MONOMER,,AE003853.1
FY484_RS07990,acgB,0,1221,FY484_RS07990-MONOMER,,acgB
FY484_RS10150,VC_2032,2186632,2187508,FY484_RS10150-MONOMER,,AE003852.1
FY484_RS12175,VC_2448,2627995,2629633,FY484_RS12175-MONOMER,,AE003852.1
FY484_RS01145,coaBC,0,1200,FY484_RS01145-MONOMER,,coaBC
FY484_RS14325,VC_A0105,115141,115426,FY484_RS14325-MONOMER,,AE003853.1
FY484_RS03370,glmM,0,1341,FY484_RS03370-MONOMER,,glmM
FY484_RS17075,mscL,0,411,FY484_RS17075-MONOMER,,mscL
FY484_RS05770,hisC,0,1041,FY484_RS05770-MONOMER,,hisC
FY484_RS05485,VC_1075,1144115,1144658,FY484_RS05485-MONOMER,,AE003852.1
FY484_RS19265,pdxH,0,636,FY484_RS19265-MONOMER,,pdxH
FY484_RS07910,VC_1576,1686964,1687282,FY484_RS07910-MONOMER,,AE003852.1
FY484_RS10055,holB,0,975,FY484_RS10055-MONOMER,,holB
FY484_RS12095,yqiA,0,588,FY484_RS12095-MONOMER,,yqiA
FY484_RS01050,VC_0197,203657,203957,FY484_RS01050-MONOMER,,AE003852.1
FY484_RS14215,VC_A0082,92603,93491,FY484_RS14215-MONOMER,,AE003853.1
FY484_RS03285,chiS,0,3534,FY484_RS03285-MONOMER,,chiS
FY484_RS16990,VC_A0592,530596,531157,FY484_RS16990-MONOMER,,AE003853.1
FY484_RS05690,VC_1118,1187229,1187658,FY484_RS05690-MONOMER,,AE003852.1
FY484_RS05395,VC_1057,1125894,1126146,FY484_RS05395-MONOMER,,AE003852.1
FY484_RS19175,VC_A1058,1009002,1009908,FY484_RS19175-MONOMER,,AE003853.1
FY484_RS07825,VC_1556,1667624,1667987,FY484_RS07825-MONOMER,,AE003852.1
FY484_RS09970,msrB,0,444,FY484_RS09970-MONOMER,,msrB;FY484_RS09970
FY484_RS12015,FY484_RS12015,0,1905,FY484_RS12015-MONOMER,,FY484_RS12015
FY484_RS00945,VC_0176,177449,177758,FY484_RS00945-MONOMER,,AE003852.1
FY484_RS14125,hutR,0,2142,FY484_RS14125-MONOMER,,hutR
FY484_RS03200,VC_0605,636641,637022,FY484_RS03200-MONOMER,,AE003852.1
FY484_RS16900,VC_A0574,511107,513789,FY484_RS16900-MONOMER,,AE003853.1
FY484_RS05605,VC_1100,1169870,1170281,FY484_RS05605-MONOMER,,AE003852.1
FY484_RS05300,VC_1039,1106561,1108673,FY484_RS05300-MONOMER,,AE003852.1
FY484_RS19085,VC_A1040,990271,991168,FY484_RS19085-MONOMER,,AE003853.1
FY484_RS07740,VC_1539a,0,204,FY484_RS07740-MONOMER,,VC_1539a
FY484_RS09870,yfbR,0,585,FY484_RS09870-MONOMER,,yfbR
FY484_RS11925,ftsA,0,1263,FY484_RS11925-MONOMER,,ftsA
FY484_RS00795,VC_0157,147277,148885,FY484_RS00795-MONOMER,,AE003852.1
FY484_RS14015,VC_A0037,45637,46090,FY484_RS14015-MONOMER,,AE003853.1
FY484_RS16805,VC_A0556,492526,493081,FY484_RS16805-MONOMER,,AE003853.1
FY484_RS05515,VC_1081,1147855,1148998,FY484_RS05515-MONOMER,,AE003852.1
FY484_RS05190,rsxA,0,582,FY484_RS05190-MONOMER,,rsxA
FY484_RS19000,FY484_RS19000,0,1992,FY484_RS19000-MONOMER,,FY484_RS19000
FY484_RS07650,VC_1521,1634691,1636725,FY484_RS07650-MONOMER,,AE003852.1
FY484_RS09785,minD,0,813,FY484_RS09785-MONOMER,,minD
FY484_RS11830,cbiB,0,954,FY484_RS11830-MONOMER,,cbiB
FY484_RS00695,cdgJ,0,1227,FY484_RS00695-MONOMER,,cdgJ
FY484_RS13905,glgB,0,2190,FY484_RS13905-MONOMER,,glgB
FY484_RS03030,ptd,0,1368,FY484_RS03030-MONOMER,,ptd
FY484_RS16695,VC_A0531,468992,470486,FY484_RS16695-MONOMER,,AE003853.1
FY484_RS05110,accD,0,927,FY484_RS05110-MONOMER,,accD
FY484_RS18915,VC_A1002,956117,956837,FY484_RS18915-MONOMER,,AE003853.1
FY484_RS07560,rsmF,0,1422,FY484_RS07560-MONOMER,,rsmF
FY484_RS11745,thrC,0,1281,FY484_RS11745-MONOMER,,thrC
FY484_RS00600,VC_0118,112749,113949,FY484_RS00600-MONOMER,,AE003852.1
FY484_RS13805,atpE,0,258,FY484_RS13805-MONOMER,,atpE
FY484_RS02950,oadG-1,0,261,FY484_RS02950-MONOMER,,oadG-1
FY484_RS16605,nrdG,0,468,FY484_RS16605-MONOMER,,nrdG
FY484_RS05020,VC_0980,0,915,FY484_RS05020-MONOMER,,VC_0980
FY484_RS18830,lldD,0,1137,FY484_RS18830-MONOMER,,lldD
FY484_RS07475,rmf,0,174,FY484_RS07475-MONOMER,,rmf
FY484_RS09605,clpX,0,1281,FY484_RS09605-MONOMER,,clpX
FY484_RS11660,plzC,0,2340,FY484_RS11660-MONOMER,,plzC
FY484_RS00510,ubiC,0,540,FY484_RS00510-MONOMER,,ubiC
FY484_RS02830,surE,0,753,FY484_RS02830-MONOMER,,surE
FY484_RS13740,VC_2756,2940001,2941459,FY484_RS13740-MONOMER,,AE003852.1
FY484_RS16480,VC_A0488,425626,425884,FY484_RS16480-MONOMER,,AE003853.1
FY484_RS04920,VC_0961,1025016,1026120,FY484_RS04920-MONOMER,,AE003852.1
FY484_RS18725,VC_A0961,910196,910805,FY484_RS18725-MONOMER,,AE003853.1
FY484_RS07340,ace,0,294,FY484_RS07340-MONOMER,,ace
FY484_RS09520,ftsK,0,2883,FY484_RS09520-MONOMER,,ftsK
FY484_RS11575,VC_2323,2476208,2477177,FY484_RS11575-MONOMER,,AE003852.1
FY484_RS00425,uspB,0,324,FY484_RS00425-MONOMER,,uspB
FY484_RS02735,VC_0514,545173,547054,FY484_RS02735-MONOMER,,AE003852.1
FY484_RS13580,hslR,0,378,FY484_RS13580-MONOMER,,hslR
FY484_RS16355,FY484_RS16355,0,228,FY484_RS16355-MONOMER,,FY484_RS16355
FY484_RS04840,lipA,0,966,FY484_RS04840-MONOMER,,lipA;FY484_RS04840
FY484_RS18655,malK,0,1122,FY484_RS18655-MONOMER,,malK
FY484_RS07235,ccoP,0,981,FY484_RS07235-MONOMER,,ccoP
FY484_RS09435,plzB,0,576,FY484_RS09435-MONOMER,,plzB
FY484_RS11470,VC_2297,2451621,2452872,FY484_RS11470-MONOMER,,AE003852.1
FY484_RS00330,crcB,0,381,FY484_RS00330-MONOMER,,crcB
FY484_RS02615,ddmC,0,1962,FY484_RS02615-MONOMER,,ddmC
FY484_RS13495,bioH,0,762,FY484_RS13495-MONOMER,,bioH
FY484_RS16140,VC_A0435,393667,393847,FY484_RS16140-MONOMER,,AE003853.1
FY484_RS04740,vpsF,0,1194,FY484_RS04740-MONOMER,,vpsF
FY484_RS18555,pyrC,0,1029,FY484_RS18555-MONOMER,,pyrC
FY484_RS07145,VC_1422,1518956,1520333,FY484_RS07145-MONOMER,,AE003852.1
FY484_RS09355,VC_1868,2010411,2012292,FY484_RS09355-MONOMER,,AE003852.1
FY484_RS11390,VC_2280,2435760,2436204,FY484_RS11390-MONOMER,,AE003852.1
FY484_RS00215,VC_0042,39102,40548,FY484_RS00215-MONOMER,,AE003852.1
FY484_RS02530,metK,0,1158,FY484_RS02530-MONOMER,,metK
FY484_RS13405,VC_2699,2866488,2867844,FY484_RS13405-MONOMER,,AE003852.1
FY484_RS16000,FY484_RS16000,0,87,FY484_RS16000-MONOMER,,FY484_RS16000
FY484_RS04640,VC_0904,964283,965060,FY484_RS04640-MONOMER,,AE003852.1
FY484_RS18465,VC_A0905,859666,860806,FY484_RS18465-MONOMER,,AE003853.1
FY484_RS07060,dosM,0,1926,FY484_RS07060-MONOMER,,dosM
FY484_RS09270,VC_1852,1991446,1991902,FY484_RS09270-MONOMER,,AE003852.1
FY484_RS11310,VC_2264,2420282,2420696,FY484_RS11310-MONOMER,,AE003852.1
FY484_RS00105,glyQ,0,918,FY484_RS00105-MONOMER,,glyQ
FY484_RS02450,VC_0456,487638,488241,FY484_RS02450-MONOMER,,AE003852.1
FY484_RS13320,maeB,0,1278,FY484_RS13320-MONOMER,,maeB
FY484_RS15835,parD3,0,243,FY484_RS15835-MONOMER,,parD3
FY484_RS04560,VC_0887,946378,946690,FY484_RS04560-MONOMER,,AE003852.1
FY484_RS18350,FY484_RS18350,0,96,FY484_RS18350-MONOMER,,FY484_RS18350
FY484_RS06950,VC_1377,1471031,1471562,FY484_RS06950-MONOMER,,AE003852.1
FY484_RS09190,tolB,0,1353,FY484_RS09190-MONOMER,,tolB
FY484_RS11230,lpxB,0,1140,FY484_RS11230-MONOMER,,lpxB
FY484_RS00010,mioC,0,435,FY484_RS00010-MONOMER,,mioC
FY484_RS02325,VC_0439,469306,469792,FY484_RS02325-MONOMER,,AE003852.1
FY484_RS13225,epmB,0,1023,FY484_RS13225-MONOMER,,epmB
FY484_RS15635,VC_A0355,346567,347194,FY484_RS15635-MONOMER,,AE003853.1
FY484_RS04470,tadA,0,528,FY484_RS04470-MONOMER,,tadA
FY484_RS18225,VC_A0859,808053,808977,FY484_RS18225-MONOMER,,AE003853.1
FY484_RS06855,VC_1359,1447950,1448706,FY484_RS06855-MONOMER,,AE003852.1
FY484_RS09110,VC_1817,1957200,1958964,FY484_RS09110-MONOMER,,AE003852.1
FY484_RS11150,lpcA,0,576,FY484_RS11150-MONOMER,,lpcA
FY484_RS02235,VC_0421,450571,451399,FY484_RS02235-MONOMER,,AE003852.1
FY484_RS13145,argG,0,1215,FY484_RS13145-MONOMER,,argG
FY484_RS15520,VC_A0336,335632,335815,FY484_RS15520-MONOMER,,AE003853.1
FY484_RS04360,acfA,0,648,FY484_RS04360-MONOMER,,acfA
FY484_RS18120,VC_A0833,778081,778960,FY484_RS18120-MONOMER,,AE003853.1
FY484_RS06765,prpF,0,1203,FY484_RS06765-MONOMER,,prpF
FY484_RS08970,VC_1791,1938738,1939779,FY484_RS08970-MONOMER,,AE003852.1
FY484_RS11065,viuA,0,2064,FY484_RS11065-MONOMER,,viuA
FY484_RS02145,mshM,0,846,FY484_RS02145-MONOMER,,mshM
FY484_RS13065,rpe,0,675,FY484_RS13065-MONOMER,,rpe
FY484_RS15360,VC_A0314,324012,324294,FY484_RS15360-MONOMER,,AE003853.1
FY484_RS04280,tcpA,0,675,FY484_RS04280-MONOMER,,tcpA
FY484_RS18025,VC_A0813,758729,760235,FY484_RS18025-MONOMER,,AE003853.1
FY484_RS06680,carR,0,705,FY484_RS06680-MONOMER,,carR
FY484_RS08865,VC_1769,1913627,1916009,FY484_RS08865-MONOMER,,AE003852.1
FY484_RS10980,flgH,0,777,FY484_RS10980-MONOMER,,flgH
FY484_RS02035,cysI,0,1734,FY484_RS02035-MONOMER,,cysI
FY484_RS12980,kefG,0,591,FY484_RS12980-MONOMER,,kefG
FY484_RS15195,intIA,0,963,FY484_RS15195-MONOMER,,intIA
FY484_RS04165,VC_0803,859266,860040,FY484_RS04165-MONOMER,,AE003852.1
FY484_RS17935,VC_A0793,737060,737543,FY484_RS17935-MONOMER,,AE003853.1
FY484_RS06585,VC_1302,1383033,1383648,FY484_RS06585-MONOMER,,AE003852.1
FY484_RS08775,VC_1750,1884532,1885654,FY484_RS08775-MONOMER,,AE003852.1
FY484_RS10820,VC_2176,2321694,2322507,FY484_RS10820-MONOMER,,AE003852.1
FY484_RS01945,rpsF,0,369,FY484_RS01945-MONOMER,,rpsF
FY484_RS12895,rplV,0,333,FY484_RS12895-MONOMER,,rplV
FY484_RS15090,dacA2,0,1137,FY484_RS15090-MONOMER,,dacA2
FY484_RS04070,VC_0783,838376,840359,FY484_RS04070-MONOMER,,AE003852.1
FY484_RS17840,VC_A0773,715285,716707,FY484_RS17840-MONOMER,,AE003853.1
FY484_RS06500,VC_1284,1359013,1360336,FY484_RS06500-MONOMER,,AE003852.1
FY484_RS08680,glgA,0,1455,FY484_RS08680-MONOMER,,glgA
FY484_RS10740,bamC,0,1020,FY484_RS10740-MONOMER,,bamC
FY484_RS01855,hfq,0,264,FY484_RS01855-MONOMER,,hfq
FY484_RS12815,rpmJ,0,114,FY484_RS12815-MONOMER,,rpmJ;FY484_RS12815
FY484_RS14975,VC_A0244,264013,264706,FY484_RS14975-MONOMER,,AE003853.1
FY484_RS03990,xseA,0,1341,FY484_RS03990-MONOMER,,xseA
FY484_RS17740,VC_A0754,698699,699530,FY484_RS17740-MONOMER,,AE003853.1
FY484_RS06410,VC_1267,1341705,1342788,FY484_RS06410-MONOMER,,AE003852.1
FY484_RS08590,VC_1709,1839906,1842675,FY484_RS08590-MONOMER,,AE003852.1
FY484_RS10660,flrA,0,1467,FY484_RS10660-MONOMER,,flrA
FY484_RS01730,VC_0330,348819,349314,FY484_RS01730-MONOMER,,AE003852.1
FY484_RS12735,cysN,0,1431,FY484_RS12735-MONOMER,,cysN
FY484_RS14880,prtV,0,2757,FY484_RS14880-MONOMER,,prtV
FY484_RS03910,iscA,0,324,FY484_RS03910-MONOMER,,iscA
FY484_RS17625,VC_A0730,675366,677196,FY484_RS17625-MONOMER,,AE003853.1
FY484_RS06315,VC_1248,1319245,1320856,FY484_RS06315-MONOMER,,AE003852.1
FY484_RS08485,VC_1688,1821440,1822688,FY484_RS08485-MONOMER,,AE003852.1
FY484_RS10575,fliR,0,783,FY484_RS10575-MONOMER,,fliR
FY484_RS01600,VC_0311,322565,322835,FY484_RS01600-MONOMER,,AE003852.1
FY484_RS12650,VC_2541,2722597,2723233,FY484_RS12650-MONOMER,,AE003852.1
FY484_RS14770,VC_A0200,217757,218882,FY484_RS14770-MONOMER,,AE003853.1
FY484_RS03825,VC_0730,785566,786331,FY484_RS03825-MONOMER,,AE003852.1
FY484_RS17525,torS,0,2955,FY484_RS17525-MONOMER,,torS
FY484_RS06235,VC_1229,1304026,1304902,FY484_RS06235-MONOMER,,AE003852.1
FY484_RS08400,VC_1672,1805138,1805720,FY484_RS08400-MONOMER,,AE003852.1
FY484_RS10490,VC_2101,2260969,2261410,FY484_RS10490-MONOMER,,AE003852.1
FY484_RS01510,fis,0,297,FY484_RS01510-MONOMER,,fis
FY484_RS12570,kdsD,0,975,FY484_RS12570-MONOMER,,kdsD
FY484_RS14670,VC_A0179,196602,197811,FY484_RS14670-MONOMER,,AE003853.1
FY484_RS03720,clpB,0,2574,FY484_RS03720-MONOMER,,clpB
FY484_RS17435,phbC,0,1776,FY484_RS17435-MONOMER,,phbC
FY484_RS06125,VC_1208,1283778,1284099,FY484_RS06125-MONOMER,,AE003852.1
FY484_RS08315,mgtE,0,1353,FY484_RS08315-MONOMER,,mgtE;FY484_RS08315
FY484_RS10410,sucC,0,1167,FY484_RS10410-MONOMER,,sucC
FY484_RS01415,VC_0271,277001,278060,FY484_RS01415-MONOMER,,AE003852.1
FY484_RS07375,VC_1465,1573770,1574355,FY484_RS07375-MONOMER,,AE003852.1
FY484_RS06815,VC_1349,1436614,1440610,FY484_RS06815-MONOMER,,AE003852.1
FY484_RS05440,VC_1066,1132404,1133148,FY484_RS05440-MONOMER,,AE003852.1
FY484_RS04180,VC_0807,862472,863156,FY484_RS04180-MONOMER,,AE003852.1
FY484_RS02020,VC_0382,396392,396563,FY484_RS02020-MONOMER,,AE003852.1
FY484_RS00940,FY484_RS00940,0,234,FY484_RS00940-MONOMER,,FY484_RS00940
FY484_RS19465,FY484_RS19465,0,201,FY484_RS19465-MONOMER,,FY484_RS19465
FY484_RS18770,VC_A0972,918330,919635,FY484_RS18770-MONOMER,,AE003853.1
FY484_RS18300,VC_A0874,827513,827717,FY484_RS18300-MONOMER,,AE003853.1
FY484_RS17645,VC_A0734,679031,679571,FY484_RS17645-MONOMER,,AE003853.1
FY484_RS16840,VC_A0562,499655,499934,FY484_RS16840-MONOMER,,AE003853.1
FY484_RS16325,FY484_RS16325,0,243,FY484_RS16325-MONOMER,,FY484_RS16325
FY484_RS15990,VC_A0409,379770,380229,FY484_RS15990-MONOMER,,AE003853.1
FY484_RS15610,VC_A0351,344576,345173,FY484_RS15610-MONOMER,,AE003853.1
FY484_RS15225,FY484_RS15225,0,327,FY484_RS15225-MONOMER,,FY484_RS15225
FY484_RS14830,VC_A0212,229337,230387,FY484_RS14830-MONOMER,,AE003853.1
FY484_RS14045,VC_A0043,50962,51247,FY484_RS14045-MONOMER,,AE003853.1
FY484_RS12210,vpvA,0,1284,FY484_RS12210-MONOMER,,vpvA
FY484_RS09905,VC_1986,2138925,2139780,FY484_RS09905-MONOMER,,AE003852.1
FY484_RS08875,ddmD,0,3618,FY484_RS08875-MONOMER,,ddmD
FY484_RS08065,VC_1605,1718076,1719693,FY484_RS08065-MONOMER,,AE003852.1
FY484_RS07285,VC_1449,1549276,1549636,FY484_RS07285-MONOMER,,AE003852.1
FY484_RS06435,VC_1272,1346836,1347262,FY484_RS06435-MONOMER,,AE003852.1
FY484_RS05210,luxO,0,1368,FY484_RS05210-MONOMER,,luxO
FY484_RS04095,VC_0789,845284,845557,FY484_RS04095-MONOMER,,AE003852.1
FY484_RS01750,VC_0334,352410,353370,FY484_RS01750-MONOMER,,AE003852.1
FY484_RS00725,VC_0143,134835,135093,FY484_RS00725-MONOMER,,AE003852.1
FY484_RS19605,FY484_RS19605,0,96,FY484_RS19605-MONOMER,,FY484_RS19605
FY484_RS19450,FY484_RS19450,0,114,FY484_RS19450-MONOMER,,FY484_RS19450
FY484_RS18600,VC_A0935,886849,887206,FY484_RS18600-MONOMER,,AE003853.1
FY484_RS18235,FY484_RS18235,0,186,FY484_RS18235-MONOMER,,FY484_RS18235
FY484_RS17585,VC_A0722,666207,666498,FY484_RS17585-MONOMER,,AE003853.1
FY484_RS16725,FY484_RS16725,0,636,FY484_RS16725-MONOMER,,FY484_RS16725
FY484_RS16275,VC_A0457,407777,408392,FY484_RS16275-MONOMER,,AE003853.1
FY484_RS15890,FY484_RS15890,0,39,FY484_RS15890-MONOMER,,FY484_RS15890
FY484_RS15540,VC_A0340,338320,338827,FY484_RS15540-MONOMER,,AE003853.1
FY484_RS15165,tseH,0,672,FY484_RS15165-MONOMER,,tseH
FY484_RS14715,VC_A0189,205608,206613,FY484_RS14715-MONOMER,,AE003853.1
FY484_RS13945,VC_A0023,28057,29098,FY484_RS13945-MONOMER,,AE003853.1
FY484_RS11875,VC_2388,2553476,2553959,FY484_RS11875-MONOMER,,AE003852.1
FY484_RS09625,VC_1925,2075740,2077534,FY484_RS09625-MONOMER,,AE003852.1
FY484_RS08765,VC_1748,1882571,1883396,FY484_RS08765-MONOMER,,AE003852.1
FY484_RS08040,FY484_RS08040,0,120,FY484_RS08040-MONOMER,,FY484_RS08040
FY484_RS07760,VC_1543,1656061,1657240,FY484_RS07760-MONOMER,,AE003852.1
FY484_RS07185,VC_1429,1527204,1528050,FY484_RS07185-MONOMER,,AE003852.1
FY484_RS06045,VC_1191,1265707,1266106,FY484_RS06045-MONOMER,,AE003852.1
FY484_RS04985,VC_0973,1039016,1039832,FY484_RS04985-MONOMER,,AE003852.1
FY484_RS03465,VC_0655,700104,700656,FY484_RS03465-MONOMER,,AE003852.1
FY484_RS01325,wbeO,0,567,FY484_RS01325-MONOMER,,wbeO
FY484_RS00380,VC_0070,70601,70886,FY484_RS00380-MONOMER,,AE003852.1
FY484_RS19565,VC_A0471,416320,416476,FY484_RS19565-MONOMER,,AE003853.1
FY484_RS19380,FY484_RS19380,0,1344,FY484_RS19380-MONOMER,,FY484_RS19380
FY484_RS18530,VC_A0920,871826,872426,FY484_RS18530-MONOMER,,AE003853.1
FY484_RS18190,VC_A0851,802065,803145,FY484_RS18190-MONOMER,,AE003853.1
FY484_RS17515,VC_A0707,649739,651119,FY484_RS17515-MONOMER,,AE003853.1
FY484_RS16650,cqsS,0,1983,FY484_RS16650-MONOMER,,cqsS
FY484_RS16230,VC_A0451,403166,403667,FY484_RS16230-MONOMER,,AE003853.1
FY484_RS15805,VC_A0382a,0,348,FY484_RS15805-MONOMER,,VC_A0382a
FY484_RS15485,VC_A0331,333105,333768,FY484_RS15485-MONOMER,,AE003853.1
FY484_RS15065,VC_A0265,282296,282677,FY484_RS15065-MONOMER,,AE003853.1
FY484_RS14575,VC_A0158,175783,175984,FY484_RS14575-MONOMER,,AE003853.1
FY484_RS13855,VC_A0004,4153,4351,FY484_RS13855-MONOMER,,AE003853.1
FY484_RS11620,VC_2336,2485980,2486325,FY484_RS11620-MONOMER,,AE003852.1
FY484_RS09070,VC_1808,1951670,1952516,FY484_RS09070-MONOMER,,AE003852.1
FY484_RS08545,VC_1699,1832407,1832677,FY484_RS08545-MONOMER,,AE003852.1
FY484_RS07570,FY484_RS07570,0,1350,FY484_RS07570-MONOMER,,FY484_RS07570
FY484_RS07035,cheY2,0,372,FY484_RS07035-MONOMER,,cheY2
FY484_RS05875,VC_1155,1226417,1226963,FY484_RS05875-MONOMER,,AE003852.1
FY484_RS04775,rbmB,0,1227,FY484_RS04775-MONOMER,,rbmB
FY484_RS02685,VC_0504,536875,537103,FY484_RS02685-MONOMER,,AE003852.1
FY484_RS01170,VC_0220,226866,227355,FY484_RS01170-MONOMER,,AE003852.1
FY484_RS00135,VC_0026,22027,23008,FY484_RS00135-MONOMER,,AE003852.1
FY484_RS19530,FY484_RS19530,0,204,FY484_RS19530-MONOMER,,FY484_RS19530
FY484_RS19190,FY484_RS19190,0,135,FY484_RS19190-MONOMER,,FY484_RS19190
FY484_RS18410,VC_A0894,846017,846764,FY484_RS18410-MONOMER,,AE003853.1
FY484_RS18060,VC_A0821,767765,767972,FY484_RS18060-MONOMER,,AE003853.1
FY484_RS17360,VC_A0674,0,627,FY484_RS17360-MONOMER,,VC_A0674
FY484_RS16495,VC_A0491,427397,427871,FY484_RS16495-MONOMER,,AE003853.1
FY484_RS16170,VC_A0441,396967,397897,FY484_RS16170-MONOMER,,AE003853.1
FY484_RS15745,VC_A0370,356491,357187,FY484_RS15745-MONOMER,,AE003853.1
FY484_RS15410,VC_A0322,327417,327870,FY484_RS15410-MONOMER,,AE003853.1
FY484_RS15045,FY484_RS15045,0,510,FY484_RS15045-MONOMER,,FY484_RS15045
FY484_RS14295,VC_A0099,106850,107891,FY484_RS14295-MONOMER,,AE003853.1
FY484_RS13625,VC_2745,2918614,2918938,FY484_RS13625-MONOMER,,AE003852.1
FY484_RS11490,ampG,0,1311,FY484_RS11490-MONOMER,,ampG
FY484_RS09025,VC_1800,1946150,1947122,FY484_RS09025-MONOMER,,AE003852.1
FY484_RS08345,VC_1661,1794165,1794387,FY484_RS08345-MONOMER,,AE003852.1
FY484_RS07425,VC_1474,1580265,1580550,FY484_RS07425-MONOMER,,AE003852.1
FY484_RS07000,VC_1391,1481601,1483008,FY484_RS07000-MONOMER,,AE003852.1
FY484_RS05680,FY484_RS05680,0,171,FY484_RS05680-MONOMER,,FY484_RS05680
FY484_RS04480,VC_0868,931639,931852,FY484_RS04480-MONOMER,,AE003852.1
FY484_RS02255,VC_0425,455458,456256,FY484_RS02255-MONOMER,,AE003852.1
FY484_RS00990,VC_0184,186480,188169,FY484_RS00990-MONOMER,,AE003852.1
FY484_RS00075,VC_0015a,0,423,FY484_RS00075-MONOMER,,VC_0015a
FY484_RS19490,FY484_RS19490,0,132,FY484_RS19490-MONOMER,,FY484_RS19490
FY484_RS18970,VC_A1016,965197,965599,FY484_RS18970-MONOMER,,AE003853.1
FY484_RS18335,makB,0,891,FY484_RS18335-MONOMER,,makB
FY484_RS17925,VC__A0790,0,1380,FY484_RS17925-MONOMER,,VC__A0790
FY484_RS17255,VC_A0649,583831,584374,FY484_RS17255-MONOMER,,AE003853.1
FY484_RS16450,VC_A0483,422783,423452,FY484_RS16450-MONOMER,,AE003853.1
FY484_RS16065,VC_A0421,387024,387450,FY484_RS16065-MONOMER,,AE003853.1
FY484_RS15710,VC_A0364,352408,352675,FY484_RS15710-MONOMER,,AE003853.1
FY484_RS15330,VC_A0310,322166,322532,FY484_RS15330-MONOMER,,AE003853.1
FY484_RS14955,VC_A0240,261048,261678,FY484_RS14955-MONOMER,,AE003853.1
FY484_RS14230,VC_A0085,95458,96661,FY484_RS14230-MONOMER,,AE003853.1
FY484_RS13245,VC_2666,2834957,2835575,FY484_RS13245-MONOMER,,AE003852.1
FY484_RS10615,FY484_RS10615,0,123,FY484_RS10615-MONOMER,,FY484_RS10615
FY484_RS08990,VC_1795,1941350,1941671,FY484_RS08990-MONOMER,,AE003852.1
FY484_RS08240,VC_1639,1764913,1766302,FY484_RS08240-MONOMER,,AE003852.1
FY484_RS07380,VC_1466,1574347,1574515,FY484_RS07380-MONOMER,,AE003852.1
FY484_RS06900,VC_1368,1458334,1458583,FY484_RS06900-MONOMER,,AE003852.1
FY484_RS05495,VC_1077,1145506,1145995,FY484_RS05495-MONOMER,,AE003852.1
FY484_RS04195,VC_0810,865249,865765,FY484_RS04195-MONOMER,,AE003852.1
FY484_RS02025,VC_0383,396520,396790,FY484_RS02025-MONOMER,,AE003852.1
