Gene Name,Accession-1,Left-End-Position,Right-End-Position,Product,Accession-2,replicon
FY484_RS02920,VC_t041,581192,581285,FY484_RS02920-tRNA,,AE003852.1
FY484_RS02715,radC,0,675,FY484_RS02715-MONOMER,,radC;FY484_RS01155
FY484_RS13680,VC_t089,2931399,2931475,FY484_RS13680-tRNA,,AE003852.1
FY484_RS13565,gspE,0,1512,FY484_RS13565-MONOMER,,gspE
FY484_RS02055,VC_t027,403434,403511,FY484_RS02055-tRNA,,AE003852.1
FY484_RS16300,FY484_RS16300,0,174,FY484_RS16300-MONOMER,,FY484_RS16300
FY484_RS10945,VC_t081,2332599,2332684,FY484_RS10945-tRNA,,AE003852.1
FY484_RS04820,vpsQ,0,435,FY484_RS04820-MONOMER,,vpsQ
FY484_RS01630,rrf,0,116,FY484_RS01630-RNA,,rrf;FY484_RS12410
FY484_RS18640,malG,0,891,FY484_RS18640-MONOMER,,malG
FY484_RS10200,VC_t065,2199483,2199574,FY484_RS10200-tRNA,,AE003852.1
FY484_RS07220,ccoS,0,165,FY484_RS07220-MONOMER,,ccoS
FY484_RS00320,VC_t002,58940,59017,FY484_RS00320-tRNA,,AE003852.1
FY484_RS09420,lolE,0,1245,FY484_RS09420-MONOMER,,lolE
FY484_RS04685,VC_t052,973339,973424,FY484_RS04685-tRNA,,AE003852.1
FY484_RS11455,nqrB,0,1248,FY484_RS11455-MONOMER,,nqrB
FY484_RS00280,aroE,0,837,FY484_RS00280-MONOMER,,aroE
FY484_RS17785,VC_At4,704782,704856,FY484_RS17785-tRNA,,AE003853.1
FY484_RS02600,glmS,0,1833,FY484_RS02600-MONOMER,,glmS
FY484_RS02750,VC_t038,550186,550262,FY484_RS02750-tRNA,,AE003852.1
FY484_RS13475,ompR,0,723,FY484_RS13475-MONOMER,,ompR
FY484_RS13665,rrf,0,116,FY484_RS13665-RNA,,rrf;FY484_RS12410
FY484_RS16125,VC_A0431,391357,391753,FY484_RS16125-MONOMER,,AE003853.1
FY484_RS01825,VC_t025,362928,363005,FY484_RS01825-tRNA,,AE003852.1
FY484_RS04725,vpsC,0,555,FY484_RS04725-MONOMER,,vpsC
FY484_RS10930,VC_t078,2332242,2332317,FY484_RS10930-tRNA,,AE003852.1
FY484_RS18535,plsC1,0,1107,FY484_RS18535-MONOMER,,plsC1
FY484_RS01615,VC_t011,325744,325821,FY484_RS01615-tRNA,,AE003852.1
FY484_RS07125,tseL,0,1926,FY484_RS07125-MONOMER,,tseL
FY484_RS09710,VC_t063,2093319,2093396,FY484_RS09710-tRNA,,AE003852.1
FY484_RS09340,VC_1865,2005134,2006688,FY484_RS09340-MONOMER,,AE003852.1
FY484_RS00305,VC_t001,55420,55496,FY484_RS00305-tRNA,,AE003852.1
FY484_RS11375,gpt,0,465,FY484_RS11375-MONOMER,,gpt
FY484_RS03745,VC_t050,767947,768024,FY484_RS03745-tRNA,,AE003852.1
FY484_RS00200,VC_0039,36927,37770,FY484_RS00200-MONOMER,,AE003852.1
FY484_RS02515,rsmE,0,732,FY484_RS02515-MONOMER,,rsmE
FY484_RS03735,VC_r014,764741,767627,FY484_RS03735-rRNA,,AE003852.1
FY484_RS13390,fxsA,0,486,FY484_RS13390-MONOMER,,fxsA
FY484_RS16815,VC_At1,494883,494958,FY484_RS16815-tRNA,,AE003853.1
FY484_RS15965,VC_A0405,377314,377935,FY484_RS15965-MONOMER,,AE003853.1
FY484_RS02405,VC_t035,481287,481363,FY484_RS02405-tRNA,,AE003852.1
FY484_RS04625,VC_0901,960515,962777,FY484_RS04625-MONOMER,,AE003852.1
FY484_RS12430,VC_r018,2679883,2681418,FY484_RS12430-rRNA,,AE003852.1
FY484_RS18445,VC_A0901,855369,855999,FY484_RS18445-MONOMER,,AE003853.1
FY484_RS01810,VC_t022,362428,362504,FY484_RS01810-tRNA,,AE003852.1
FY484_RS07045,VC_1400,1490565,1491222,FY484_RS07045-MONOMER,,AE003852.1
FY484_RS10915,VC_t075,2331930,2332015,FY484_RS10915-tRNA,,AE003852.1
FY484_RS09255,VC_1849,1988800,1989295,FY484_RS09255-MONOMER,,AE003852.1
FY484_RS00890,VC_t009,167582,167658,FY484_RS00890-tRNA,,AE003852.1
FY484_RS11295,rpsB,0,729,FY484_RS11295-MONOMER,,rpsB
FY484_RS08025,VC_t061,1712392,1712469,FY484_RS08025-tRNA,,AE003852.1
FY484_RS00085,VC_0018,14768,15206,FY484_RS00085-MONOMER,,AE003852.1
FY484_RS02435,trmB,0,720,FY484_RS02435-MONOMER,,trmB
FY484_RS03390,VC_t048,683064,683141,FY484_RS03390-tRNA,,AE003852.1
FY484_RS13305,cytR,0,1008,FY484_RS13305-MONOMER,,cytR
FY484_RS13715,VC_t093,2937226,2937301,FY484_RS13715-tRNA,,AE003852.1
FY484_RS15795,VC_A0381,362969,363149,FY484_RS15795-MONOMER,,AE003853.1
FY484_RS02385,VC_t032,478685,478761,FY484_RS02385-tRNA,,AE003852.1
FY484_RS04545,VC_0884,944366,944990,FY484_RS04545-MONOMER,,AE003852.1
FY484_RS12415,VC_r017,2676485,2679372,FY484_RS12415-rRNA,,AE003852.1
FY484_RS18310,dsdC,0,945,FY484_RS18310-MONOMER,,dsdC
FY484_RS01795,VC_t019,361970,362046,FY484_RS01795-tRNA,,AE003852.1
FY484_RS06930,VC_1374,1466366,1468262,FY484_RS06930-MONOMER,,AE003852.1
FY484_RS10900,VC_t072,2331587,2331662,FY484_RS10900-tRNA,,AE003852.1
FY484_RS09175,nadA,0,1062,FY484_RS09175-MONOMER,,nadA
FY484_RS00875,VC_t006,167186,167263,FY484_RS00875-tRNA,,AE003852.1
FY484_RS11215,accA,0,960,FY484_RS11215-MONOMER,,accA
FY484_RS06175,VC_t058,1294129,1294216,FY484_RS06175-tRNA,,AE003852.1
FY484_RS02310,rpmA,0,261,FY484_RS02310-MONOMER,,rpmA
FY484_RS13210,frdC,0,384,FY484_RS13210-MONOMER,,frdC
FY484_RS15620,VC_A0353,345563,345746,FY484_RS15620-MONOMER,,AE003853.1
FY484_RS02940,VC_t045,581765,581842,FY484_RS02940-tRNA,,AE003852.1
FY484_RS04445,VC_0859,924746,925349,FY484_RS04445-MONOMER,,AE003852.1
FY484_RS13700,rrf,0,116,FY484_RS13700-RNA,,rrf;FY484_RS12410
FY484_RS18200,VC_A0853,804394,805138,FY484_RS18200-MONOMER,,AE003853.1
FY484_RS02370,VC_t029,478400,478476,FY484_RS02370-tRNA,,AE003852.1
FY484_RS06840,yccX,0,276,FY484_RS06840-MONOMER,,yccX
FY484_RS12400,rrf,0,116,FY484_RS12400-RNA,,rrf;FY484_RS12410
FY484_RS09095,cry1,0,1386,FY484_RS09095-MONOMER,,cry1
FY484_RS01675,VC_t016,335049,335124,FY484_RS01675-tRNA,,AE003852.1
FY484_RS11135,purM,0,1041,FY484_RS11135-MONOMER,,purM
