Proteins	Genes of polypeptide, complex, or RNA	Common-Name	Locations
USA300HOU_RS09400-MONOMER	USA300HOU_RS09400	bifunctional diaminohydroxyphosphoribosylaminopyrimidine deaminase/5-amino-6-(5-phosphoribosylamino)uracil reductase RibD	
USA300HOU_RS06515-MONOMER	USA300HOU_RS06515	hypothetical protein	
USA300HOU_RS08970-MONOMER	USA300HOU_RS08970	DNA-binding response regulator	CCI-CYTOSOL-GP
USA300HOU_RS09220-MONOMER	USA300HOU_RS09220	hypothetical protein	
USA300HOU_RS09125-MONOMER	USA300HOU_RS09125	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09065-MONOMER	USA300HOU_RS09065	alanine dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS13900-MONOMER	USA300HOU_RS13900	dehydrosqualene desaturase	
USA300HOU_RS10890-MONOMER	USA300HOU_RS10890	ferrichrome-binding protein FhuD	CCI-PM-BAC-POS-GP
USA300HOU_RS03945-MONOMER	USA300HOU_RS03945	protein NrdI	CCI-CYTOSOL-GP
USA300HOU_RS06310-MONOMER	USA300HOU_RS06310	HslU--HslV peptidase ATPase subunit	CCI-CYTOSOL-GP
USA300HOU_RS12385-MONOMER	USA300HOU_RS12385	urease subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS00355-MONOMER	USA300HOU_RS00355	IS110 family transposase	
USA300HOU_RS01790-MONOMER	USA300HOU_RS01790	glyoxalase	
USA300HOU_RS02355-MONOMER	USA300HOU_RS02355	N-acetyltransferase	
USA300HOU_RS06890-MONOMER	USA300HOU_RS06890	DNA topoisomerase IV subunit B	CCI-CYTOSOL-GP
USA300HOU_RS15415-MONOMER	USA300HOU_RS15415	hypothetical protein	
USA300HOU_RS09145-MONOMER	USA300HOU_RS09145	phosphoglycerate dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS02560-MONOMER	USA300HOU_RS02560	ribose-phosphate pyrophosphokinase	CCI-CYTOSOL-GP
USA300HOU_RS08935-MONOMER	USA300HOU_RS08935	transcriptional regulator NrdR	CCI-CYTOSOL-GP
USA300HOU_RS02865-MONOMER	USA300HOU_RS02865	30S ribosomal protein S12	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS10280-MONOMER	USA300HOU_RS10280	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS13430-MONOMER	USA300HOU_RS13430	DUF1433 domain-containing protein	
USA300HOU_RS12425-MONOMER	USA300HOU_RS12425	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS14090-MONOMER	USA300HOU_RS14090	2-dehydropantoate 2-reductase	CCI-PM-BAC-POS-GP
USA300HOU_RS05435-MONOMER	USA300HOU_RS05435	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS04425-MONOMER	USA300HOU_RS04425	exotoxin	CCI-EXTRACELLULAR-GP
USA300HOU_RS10760-MONOMER	USA300HOU_RS10760	DnaD domain protein	
USA300HOU_RS01175-MONOMER	USA300HOU_RS01175	coagulase	CCI-EXTRACELLULAR-GP
USA300HOU_RS01305-MONOMER	USA300HOU_RS01305	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase	CCI-CYTOSOL-GP
CPLX1OEB-14	USA300HOU_RS04105 // USA300HOU_RS04110	excinuclease ABC	
USA300HOU_RS04415-MONOMER	USA300HOU_RS04415	MetQ/NlpA family ABC transporter substrate-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS12160-MONOMER	USA300HOU_RS12160	50S ribosomal protein L2	CCI-CYTOSOL-GP
USA300HOU_RS04840-MONOMER	USA300HOU_RS04840	LysR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS10880-MONOMER	USA300HOU_RS10880	succinyl-diaminopimelate desuccinylase	CCI-CYTOSOL-GP
USA300HOU_RS06965-MONOMER	USA300HOU_RS06965	glutamine amidotransferase	
USA300HOU_RS06645-MONOMER	USA300HOU_RS06645	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS05275-MONOMER	USA300HOU_RS05275	cytochrome ubiquinol oxidase subunit I	CCI-PM-BAC-POS-GP
USA300HOU_RS15075-MONOMER	USA300HOU_RS15075	50S ribosomal protein L33	CCI-RIBOSOME-GP
USA300HOU_RS09060-MONOMER	USA300HOU_RS09060	hypothetical protein	
USA300HOU_RS02345-MONOMER	USA300HOU_RS02345	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14805-MONOMER	USA300HOU_RS14805	streptothricin N-acetyltransferase Sat4	CCI-CYTOSOL-GP
USA300HOU_RS04315-MONOMER	USA300HOU_RS04315	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07195-MONOMER	USA300HOU_RS07195	hypothetical protein	
USA300HOU_RS06200-MONOMER	USA300HOU_RS06200	ribonuclease 3	CCI-CYTOSOL-GP
USA300HOU_RS03080-MONOMER	USA300HOU_RS03080	lipoate--protein ligase family protein	
USA300HOU_RS05175-MONOMER	USA300HOU_RS05175	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS05200-MONOMER	USA300HOU_RS05200	1,4-dihydroxy-2-naphthoyl-CoA synthase	CCI-CYTOSOL-GP
USA300HOU_RS09445-MONOMER	USA300HOU_RS09445	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10335-MONOMER	USA300HOU_RS10335	CamS family sex pheromone protein	
USA300HOU_RS04280-MONOMER	USA300HOU_RS04280	extracellular matrix protein-binding adhesin Emp	CCI-CW-BAC-POS-GP
USA300HOU_RS12190-MONOMER	USA300HOU_RS12190	NCS2 family permease	CCI-PM-BAC-POS-GP
USA300HOU_RS11835-MONOMER	USA300HOU_RS11835	DUF2273 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10945-MONOMER	USA300HOU_RS10945	nitroreductase	CCI-PM-BAC-POS-GP
USA300HOU_RS11290-MONOMER	USA300HOU_RS11290	protein translocase component YidC	CCI-PM-BAC-POS-GP
USA300HOU_RS01805-MONOMER	USA300HOU_RS01805	putative sulfate exporter family transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS05215-MONOMER	USA300HOU_RS05215	serine protease	CCI-EXTRACELLULAR-GP
USA300HOU_RS12145-MONOMER	USA300HOU_RS12145	30S ribosomal protein S3	CCI-CYTOSOL-GP
USA300HOU_RS04705-MONOMER	USA300HOU_RS04705	Na+/H+ antiporter subunit D	CCI-PM-BAC-POS-GP
USA300HOU_RS11610-MONOMER	USA300HOU_RS11610	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS06640-MONOMER	USA300HOU_RS06640	hypothetical protein	
USA300HOU_RS11930-MONOMER	USA300HOU_RS11930	MerR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS00255-MONOMER	USA300HOU_RS00255	hypothetical protein	
USA300HOU_RS01970-MONOMER	USA300HOU_RS01970	DUF1093 domain-containing protein	
USA300HOU_RS12340-MONOMER	USA300HOU_RS12340	molybdate ABC transporter substrate-binding protein	
USA300HOU_RS07570-MONOMER	USA300HOU_RS07570	cytidylate kinase	CCI-CYTOSOL-GP
USA300HOU_RS14635-MONOMER	USA300HOU_RS14635	HoxN/HupN/NixA family nickel/cobalt transporter	
USA300HOU_RS13830-MONOMER	USA300HOU_RS13830	ATP-dependent Clp protease ATP-binding subunit	CCI-CYTOSOL-GP
USA300HOU_RS12585-MONOMER	USA300HOU_RS12585	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS02135-MONOMER	USA300HOU_RS02135	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09115-MONOMER	USA300HOU_RS09115	GAF domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS09265-MONOMER	USA300HOU_RS09265	thioredoxin	CCI-CYTOSOL-GP
USA300HOU_RS11885-MONOMER	USA300HOU_RS11885	tagatose-6-phosphate kinase	CCI-CYTOSOL-GP
USA300HOU_RS11025-MONOMER	USA300HOU_RS11025	hypothetical protein	
USA300HOU_RS14520-MONOMER	USA300HOU_RS14520	1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase	CCI-CYTOSOL-GP
USA300HOU_RS01730-MONOMER	USA300HOU_RS01730	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS13395-MONOMER	USA300HOU_RS13395	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS01620-MONOMER	USA300HOU_RS01620	formate/nitrite transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS05830-MONOMER	USA300HOU_RS05830	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07830-MONOMER	USA300HOU_RS07830	DUF1381 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS12080-MONOMER	USA300HOU_RS12080	50S ribosomal protein L15	CCI-RIBOSOME-GP
USA300HOU_RS02060-MONOMER	USA300HOU_RS02060	purine permease	CCI-PM-BAC-POS-GP
USA300HOU_RS05070-MONOMER	USA300HOU_RS05070	Ktr system potassium uptake protein D	CCI-PM-BAC-POS-GP
USA300HOU_RS12885-MONOMER	USA300HOU_RS12885	general stress protein	
USA300HOU_RS02150-MONOMER	USA300HOU_RS02150	superantigen-like protein SSL8	CCI-EXTRACELLULAR-GP
USA300HOU_RS01445-MONOMER	USA300HOU_RS01445	glycine-glycine endopeptidase LytM	CCI-EXTRACELLULAR-GP
USA300HOU_RS12515-MONOMER	USA300HOU_RS12515	YafY family transcriptional regulator	CCI-PM-BAC-POS-GP
USA300HOU_RS06020-MONOMER	USA300HOU_RS06020	bifunctional pyrimidine operon transcriptional regulator/uracil phosphoribosyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06520-MONOMER	USA300HOU_RS06520	energy coupling factor transporter S component ThiW	CCI-PM-BAC-POS-GP
USA300HOU_RS03485-MONOMER	USA300HOU_RS03485	nucleoside permease	CCI-PM-BAC-POS-GP
USA300HOU_RS10265-MONOMER	USA300HOU_RS10265	glutamine amidotransferase	CCI-CYTOSOL-GP
USA300HOU_RS00595-MONOMER	USA300HOU_RS00595	iron ABC transporter permease	CCI-PM-BAC-POS-GP
USA300HOU_RS07060-MONOMER	USA300HOU_RS07060	phosphate ABC transporter, permease protein PstA	CCI-PM-BAC-POS-GP
USA300HOU_RS11010-MONOMER	USA300HOU_RS11010	YeeE/YedE family protein	
USA300HOU_RS12295-MONOMER	USA300HOU_RS12295	molybdopterin synthase sulfur carrier subunit	
USA300HOU_RS03530-MONOMER	USA300HOU_RS03530	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS09010-MONOMER	USA300HOU_RS09010	ATP-dependent 6-phosphofructokinase	CCI-CYTOSOL-GP
USA300HOU_RS13210-MONOMER	USA300HOU_RS13210	sodium:proton antiporter	CCI-PM-BAC-POS-GP
USA300HOU_RS15615-MONOMER	USA300HOU_RS15615	hypothetical protein	
USA300HOU_RS04320-MONOMER	USA300HOU_RS04320	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10765-MONOMER	USA300HOU_RS10765	single-stranded DNA-binding protein	CCI-CYTOSOL-GP
USA300HOU_RS03515-MONOMER	USA300HOU_RS03515	dihydroxyacetone kinase subunit DhaK	CCI-CYTOSOL-GP
USA300HOU_RS04340-MONOMER	USA300HOU_RS04340	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS01320-MONOMER	USA300HOU_RS01320	CDP-glycerol--glycerophosphate glycerophosphotransferase	CCI-PM-BAC-POS-GP
USA300HOU_RS06810-MONOMER	USA300HOU_RS06810	CAP domain-containing protein	
USA300HOU_RS13880-MONOMER	USA300HOU_RS13880	copper-exporting P-type ATPase A	CCI-PM-BAC-POS-GP
USA300HOU_RS06505-MONOMER	USA300HOU_RS06505	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS00030-MONOMER	USA300HOU_RS00030	DNA gyrase subunit A	CCI-CYTOSOL-GP
USA300HOU_RS06910-MONOMER	USA300HOU_RS06910	protein GlcT	CCI-CYTOSOL-GP
USA300HOU_RS08170-MONOMER	USA300HOU_RS08170	aminopeptidase P family protein	CCI-CYTOSOL-GP
USA300HOU_RS12465-MONOMER	USA300HOU_RS12465	CHAP domain-containing protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS06395-MONOMER	USA300HOU_RS06395	translation initiation factor IF-2	CCI-CYTOSOL-GP
USA300HOU_RS12645-MONOMER	USA300HOU_RS12645	MOSC domain-containing protein	
USA300HOU_RS05695-MONOMER	USA300HOU_RS05695	phenylalanine--tRNA ligase subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS09210-MONOMER	USA300HOU_RS09210	acetoin utilization protein AcuC	CCI-CYTOSOL-GP
USA300HOU_RS10635-MONOMER	USA300HOU_RS10635	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS01210-MONOMER	USA300HOU_RS01210	acyl CoA:acetate/3-ketoacid CoA transferase	
USA300HOU_RS14355-MONOMER	USA300HOU_RS14355	PTS mannose transporter subunit IIABC	CCI-PM-BAC-POS-GP
USA300HOU_RS08805-MONOMER	USA300HOU_RS08805	bifunctional folylpolyglutamate synthase/dihydrofolate synthase	CCI-CYTOSOL-GP
USA300HOU_RS10560-MONOMER	USA300HOU_RS10560	peptidoglycan hydrolase	
USA300HOU_RS13060-MONOMER	USA300HOU_RS13060	hypothetical protein	
USA300HOU_RS09785-MONOMER	USA300HOU_RS09785	protoporphyrinogen oxidase	CCI-CYTOSOL-GP
USA300HOU_RS15625-MONOMER	USA300HOU_RS15625	hypothetical protein	
USA300HOU_RS07805-MONOMER	USA300HOU_RS07805	DUF1514 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08110-MONOMER	USA300HOU_RS08110	thiamine pyrophosphate-dependent dehydrogenase E1 component subunit alpha	CCI-CYTOSOL-GP
USA300HOU_RS09580-MONOMER	USA300HOU_RS09580	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS11195-MONOMER	USA300HOU_RS11195	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10860-MONOMER	USA300HOU_RS10860	site-specific integrase	CCI-CYTOSOL-GP
USA300HOU_RS02760-MONOMER	USA300HOU_RS02760	ATP-dependent Clp protease ATP-binding subunit ClpC	CCI-CYTOSOL-GP
USA300HOU_RS03310-MONOMER	USA300HOU_RS03310	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS14440-MONOMER	USA300HOU_RS14440	hypothetical protein	
USA300HOU_RS04150-MONOMER	USA300HOU_RS04150	YvcK family protein	
USA300HOU_RS02040-MONOMER	USA300HOU_RS02040	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS06460-MONOMER	USA300HOU_RS06460	helix-turn-helix domain-containing protein	
USA300HOU_RS05955-MONOMER	USA300HOU_RS05955	cell division protein FtsA	CCI-CYTOSOL-GP
USA300HOU_RS00725-MONOMER	USA300HOU_RS00725	tetracycline efflux MFS transporter Tet(38)	CCI-PM-BAC-POS-GP
USA300HOU_RS07315-MONOMER	USA300HOU_RS07315	zinc-finger domain-containing protein	
USA300HOU_RS13820-MONOMER	USA300HOU_RS13820	hydroxymethylglutaryl-CoA synthase	CCI-CYTOSOL-GP
USA300HOU_RS03865-MONOMER	USA300HOU_RS03865	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS00500-MONOMER	USA300HOU_RS00500	ATPase	
USA300HOU_RS05680-MONOMER	USA300HOU_RS05680	hypothetical protein	
USA300HOU_RS04040-MONOMER	USA300HOU_RS04040	undecaprenyl/decaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase	CCI-PM-BAC-POS-GP
USA300HOU_RS03730-MONOMER	USA300HOU_RS03730	membrane protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03105-MONOMER	USA300HOU_RS03105	dihydrolipoamide dehydrogenase	CCI-CYTOSOL-GP
USA300HOU_RS12830-MONOMER	USA300HOU_RS12830	N-acetyltransferase	
USA300HOU_RS03355-MONOMER	USA300HOU_RS03355	hypothetical protein	
USA300HOU_RS09020-MONOMER	USA300HOU_RS09020	acetyl-CoA carboxylase carboxyl transferase subunit beta	CCI-CYTOSOL-GP
USA300HOU_RS00570-MONOMER	USA300HOU_RS00570	DUF1648 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS07860-MONOMER	USA300HOU_RS07860	PVL family protein	CCI-CYTOSOL-GP
USA300HOU_RS10675-MONOMER	USA300HOU_RS10675	terminase large subunit	CCI-CYTOSOL-GP
USA300HOU_RS08145-MONOMER	USA300HOU_RS08145	N utilization substance protein B	
USA300HOU_RS11800-MONOMER	USA300HOU_RS11800	IucA/IucC family siderophore biosynthesis protein	CCI-CYTOSOL-GP
USA300HOU_RS00325-MONOMER	USA300HOU_RS00325	arginine deiminase	CCI-CYTOSOL-GP
USA300HOU_RS07730-MONOMER	USA300HOU_RS07730	DUF3168 domain-containing protein	
USA300HOU_RS05865-MONOMER	USA300HOU_RS05865	carbamate kinase 1	CCI-CYTOSOL-GP
USA300HOU_RS13360-MONOMER	USA300HOU_RS13360	ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
USA300HOU_RS10740-MONOMER	USA300HOU_RS10740	hypothetical protein	
USA300HOU_RS03225-MONOMER	USA300HOU_RS03225	DUF1934 domain-containing protein	
USA300HOU_RS05150-MONOMER	USA300HOU_RS05150	glycosyl transferase family 1	CCI-CYTOSOL-GP
USA300HOU_RS10605-MONOMER	USA300HOU_RS10605	hypothetical protein	
USA300HOU_RS08795-MONOMER	USA300HOU_RS08795	prepilin peptidase	CCI-PM-BAC-POS-GP
USA300HOU_RS07700-MONOMER	USA300HOU_RS07700	phage tail family protein	CCI-CYTOSOL-GP
USA300HOU_RS13705-MONOMER	USA300HOU_RS13705	class A sortase SrtA	CCI-PM-BAC-POS-GP
USA300HOU_RS06615-MONOMER	USA300HOU_RS06615	hypothetical protein	
USA300HOU_RS08480-MONOMER	USA300HOU_RS08480	class I SAM-dependent methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS11475-MONOMER	USA300HOU_RS11475	DUF2529 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS09070-MONOMER	USA300HOU_RS09070	universal stress protein UspA	CCI-CYTOSOL-GP
USA300HOU_RS10950-MONOMER	USA300HOU_RS10950	hydrolase in agr operon	CCI-CYTOSOL-GP
USA300HOU_RS10665-MONOMER	USA300HOU_RS10665	Clp protease ClpP	CCI-CYTOSOL-GP
USA300HOU_RS09080-MONOMER	USA300HOU_RS09080	class I SAM-dependent methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS12315-MONOMER	USA300HOU_RS12315	cyclic pyranopterin monophosphate synthase MoaC	CCI-CYTOSOL-GP
USA300HOU_RS02100-MONOMER	USA300HOU_RS02100	NAD(P)-dependent oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS07500-MONOMER	USA300HOU_RS07500	chorismate synthase	CCI-CYTOSOL-GP
USA300HOU_RS04180-MONOMER	USA300HOU_RS04180	sugar-binding transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS09155-MONOMER	USA300HOU_RS09155	HAD family hydrolase	CCI-CYTOSOL-GP
USA300HOU_RS05600-MONOMER	USA300HOU_RS05600	DUF2129 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS11035-MONOMER	USA300HOU_RS11035	tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD	CCI-CYTOSOL-GP
USA300HOU_RS07370-MONOMER	USA300HOU_RS07370	hypothetical protein	
USA300HOU_RS15050-MONOMER	USA300HOU_RS15050	alpha-3 family phenol-soluble modulin	
USA300HOU_RS12820-MONOMER	USA300HOU_RS12820	N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS08835-MONOMER	USA300HOU_RS08835	delta-aminolevulinic acid dehydratase	CCI-CYTOSOL-GP
USA300HOU_RS12150-MONOMER	USA300HOU_RS12150	50S ribosomal protein L22	CCI-CYTOSOL-GP
USA300HOU_RS08020-MONOMER	USA300HOU_RS08020	aldo/keto reductase	CCI-CYTOSOL-GP
USA300HOU_RS05650-MONOMER	USA300HOU_RS05650	iron-regulated surface determinant protein C	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP
USA300HOU_RS12255-MONOMER	USA300HOU_RS12255	MarR family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS15285-MONOMER	USA300HOU_RS15285	hypothetical protein	
USA300HOU_RS04995-MONOMER	USA300HOU_RS04995	RluA family pseudouridine synthase	CCI-CYTOSOL-GP
USA300HOU_RS08500-MONOMER	USA300HOU_RS08500	ribosome assembly RNA-binding protein YhbY	CCI-CYTOSOL-GP
USA300HOU_RS05965-MONOMER	USA300HOU_RS05965	peptidoglycan editing factor PgeF	
USA300HOU_RS03845-MONOMER	USA300HOU_RS03845	7-cyano-7-deazaguanine synthase QueC	CCI-CYTOSOL-GP
USA300HOU_RS12175-MONOMER	USA300HOU_RS12175	50S ribosomal protein L3	CCI-CYTOSOL-GP
USA300HOU_RS08420-MONOMER	USA300HOU_RS08420	molecular chaperone DnaJ	CCI-CYTOSOL-GP
USA300HOU_RS07385-MONOMER	USA300HOU_RS07385	DUF4889 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS09095-MONOMER	USA300HOU_RS09095	tRNA 4-thiouridine(8) synthase ThiI	CCI-CYTOSOL-GP
USA300HOU_RS05990-MONOMER	USA300HOU_RS05990	DivIVA domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS01010-MONOMER	USA300HOU_RS01010	N-acetylmuramic acid 6-phosphate etherase	CCI-CYTOSOL-GP
USA300HOU_RS02870-MONOMER	USA300HOU_RS02870	30S ribosomal protein S7	CCI-CYTOSOL-GP // CCI-RIBOSOME-GP
USA300HOU_RS11155-MONOMER	USA300HOU_RS11155	anti-sigma B factor antagonist	CCI-CYTOSOL-GP
USA300HOU_RS08010-MONOMER	USA300HOU_RS08010	transcriptional repressor	CCI-CYTOSOL-GP
USA300HOU_RS08495-MONOMER	USA300HOU_RS08495	nicotinate-nicotinamide nucleotide adenylyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS09935-MONOMER	USA300HOU_RS09935	PTS transporter subunit IIC	CCI-PM-BAC-POS-GP
USA300HOU_RS12990-MONOMER	USA300HOU_RS12990	formate/nitrite transporter	CCI-PM-BAC-POS-GP
USA300HOU_RS00290-MONOMER	USA300HOU_RS00290	hypothetical protein	
USA300HOU_RS07085-MONOMER	USA300HOU_RS07085	virulence factor B	CCI-CYTOSOL-GP
USA300HOU_RS10885-MONOMER	USA300HOU_RS10885	class I SAM-dependent methyltransferase	
USA300HOU_RS10695-MONOMER	USA300HOU_RS10695	hypothetical protein	
USA300HOU_RS14185-MONOMER	USA300HOU_RS14185	hypothetical protein	
USA300HOU_RS12505-MONOMER	USA300HOU_RS12505	transcriptional regulator	
USA300HOU_RS05120-MONOMER	USA300HOU_RS05120	hypothetical protein	CCI-EXTRACELLULAR-GP
USA300HOU_RS01820-MONOMER	USA300HOU_RS01820	EfeM/EfeO family lipoprotein	
USA300HOU_RS04120-MONOMER	USA300HOU_RS04120	prolipoprotein diacylglyceryl transferase	CCI-PM-BAC-POS-GP
USA300HOU_RS07910-MONOMER	USA300HOU_RS07910	helix-turn-helix domain-containing protein	
USA300HOU_RS06580-MONOMER	USA300HOU_RS06580	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS13215-MONOMER	USA300HOU_RS13215	hypothetical protein	
USA300HOU_RS05245-MONOMER	USA300HOU_RS05245	GNAT family N-acetyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS02165-MONOMER	USA300HOU_RS02165	hypothetical protein	
USA300HOU_RS15355-MONOMER	USA300HOU_RS15355	hypothetical protein	
USA300HOU_RS04440-MONOMER	USA300HOU_RS04440	XRE family transcriptional regulator	CCI-CYTOSOL-GP
USA300HOU_RS08765-MONOMER	USA300HOU_RS08765	rod shape-determining protein MreD	CCI-PM-BAC-POS-GP
USA300HOU_RS10840-MONOMER	USA300HOU_RS10840	ATP-dependent helicase	CCI-CYTOSOL-GP
USA300HOU_RS08710-MONOMER	USA300HOU_RS08710	protein translocase subunit SecDF	CCI-PM-BAC-POS-GP
USA300HOU_RS11100-MONOMER	USA300HOU_RS11100	L-threonine dehydratase biosynthetic IlvA	CCI-CYTOSOL-GP
USA300HOU_RS10800-MONOMER	USA300HOU_RS10800	DUF771 domain-containing protein	
USA300HOU_RS00865-MONOMER	USA300HOU_RS00865	UDP-glucose 4-epimerase	CCI-CYTOSOL-GP
USA300HOU_RS05950-MONOMER	USA300HOU_RS05950	cell division protein DivIB	CCI-CW-BAC-POS-GP
USA300HOU_RS14320-MONOMER	USA300HOU_RS14320	arginine deiminase	CCI-CYTOSOL-GP
USA300HOU_RS06095-MONOMER	USA300HOU_RS06095	hypothetical protein	CCI-PM-BAC-POS-GP
USA300HOU_RS08075-MONOMER	USA300HOU_RS08075	phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating)	CCI-CYTOSOL-GP
USA300HOU_RS04465-MONOMER	USA300HOU_RS04465	hypothetical protein	
USA300HOU_RS09455-MONOMER	USA300HOU_RS09455	transaldolase	
USA300HOU_RS14775-MONOMER	USA300HOU_RS14775	penicillinase repressor BlaI	
USA300HOU_RS03680-MONOMER	USA300HOU_RS03680	TIGR00730 family Rossman fold protein	CCI-CYTOSOL-GP
USA300HOU_RS10325-MONOMER	USA300HOU_RS10325	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase GatCAB subunit C	CCI-CYTOSOL-GP
USA300HOU_RS08245-MONOMER	USA300HOU_RS08245	type II/IV secretion system protein	CCI-CYTOSOL-GP
USA300HOU_RS13340-MONOMER	USA300HOU_RS13340	FMN-binding glutamate synthase family protein	CCI-CYTOSOL-GP
USA300HOU_RS11555-MONOMER	USA300HOU_RS11555	thiol-disulfide oxidoreductase DCC family protein	CCI-PM-BAC-POS-GP
USA300HOU_RS04590-MONOMER	USA300HOU_RS04590	DUF3055 domain-containing protein	CCI-CYTOSOL-GP
USA300HOU_RS13975-MONOMER	USA300HOU_RS13975	NmrA/HSCARG family protein	CCI-CYTOSOL-GP
USA300HOU_RS13555-MONOMER	USA300HOU_RS13555	fibronectin-binding protein A	CCI-CW-BAC-POS-GP
USA300HOU_RS12225-MONOMER	USA300HOU_RS12225	hypothetical protein	CCI-CYTOSOL-GP
USA300HOU_RS07305-MONOMER	USA300HOU_RS07305	virulence factor C	CCI-CYTOSOL-GP
USA300HOU_RS00805-MONOMER	USA300HOU_RS00805	capsular polysaccharide biosynthesis protein Cap5B	CCI-PM-BAC-POS-GP
USA300HOU_RS04740-MONOMER	USA300HOU_RS04740	NADH-dependent flavin oxidoreductase	CCI-CYTOSOL-GP
USA300HOU_RS02810-MONOMER	USA300HOU_RS02810	RNA polymerase sigma factor	CCI-CYTOSOL-GP
USA300HOU_RS01265-MONOMER	USA300HOU_RS01265	hypothetical protein	
USA300HOU_RS05010-MONOMER	USA300HOU_RS05010	enoyl-[acyl-carrier-protein] reductase FabI	CCI-PM-BAC-POS-GP
USA300HOU_RS05035-MONOMER	USA300HOU_RS05035	MFS transporter	
USA300HOU_RS13825-MONOMER	USA300HOU_RS13825	methylated-DNA--[protein]-cysteine S-methyltransferase	CCI-CYTOSOL-GP
USA300HOU_RS06820-MONOMER	USA300HOU_RS06820	hypothetical protein	
USA300HOU_RS07350-MONOMER	USA300HOU_RS07350	amino acid permease	CCI-PM-BAC-POS-GP
USA300HOU_RS12845-MONOMER	USA300HOU_RS12845	DUF2871 domain-containing protein	CCI-PM-BAC-POS-GP
USA300HOU_RS03010-MONOMER	USA300HOU_RS03010	long-chain-fatty-acid--CoA ligase	
