Reaction	Complexes
AP5AH	ALW85_RS03220-MONOMER
APRAUR	ALW85_RS04145-MONOMER
APSR	ALW85_RS04475-MONOMER
ARBabcpp	ALW85_RS07605-MONOMER
ARGSL	ALW85_RS09660-MONOMER
ARGSS	ALW85_RS07520-MONOMER_mod_mg2(1)
ARGabcpp	ALW85_RS11725-MONOMER
ASAD	ALW85_RS03600-MONOMER
ASNS1	CPLX_ASNS1-0
ASPCT	ALW85_RS08685-MONOMER
ASPK	ALW85_RS11130-MONOMER
ASPO2	ALW85_RS09850-MONOMER_mod_fad(1)
ASPO2y	ALW85_RS09850-MONOMER_mod_fad(1)
ASPO3	ALW85_RS09850-MONOMER_mod_fad(1)
ASPO4	ALW85_RS09850-MONOMER_mod_fad(1)
ASPO5	ALW85_RS09850-MONOMER_mod_fad(1)
ASPO6	ALW85_RS09850-MONOMER_mod_fad(1)
ASPT	ALW85_RS11935-MONOMER
ASPTA	ALW85_RS04105-MONOMER
ASPTRS	ALW85_RS11765-MONOMER
ASPabcpp	ALW85_RS09885-MONOMER
ASPt2_2pp	ALW85_RS11180-MONOMER
ASPt2pp	ALW85_RS11180-MONOMER
ATPPRT	CPLX_ATPPRT-0
ATPS4rpp	CPLX_ATPS4rpp-0
BENZOXI2	CPLX_METAOXIGENASE-0
BTDD_RR	ALW85_RS08600-MONOMER
BTS4	ALW85_RS12000-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)
BTS5	ALW85_RS12000-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)
BUTSO3abcpp	CPLX_BUTSO3abcpp-0
BUTSO3tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
BUTtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
BZALDHMono	CPLX_METAOXIGENASE-0
BZALtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
CA2tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
CAT	ALW85_RS09820-MONOMER_mod_hemed(6)
CBIAT	ALW85_RS03325-MONOMER
CBIuabcpp	ALW85_RS05495-MONOMER
CBL1abcpp	ALW85_RS05495-MONOMER
CBLAT	ALW85_RS03325-MONOMER
CBPS	CPLX_CBPS-0_mod_mg2(1) OR CPLX_CBPS-0_mod_mn2(1) OR CPLX_CBPS-0_mod_cobalt2(1) OR CPLX_CBPS-0_mod_cd2(1) OR CPLX_CBPS-0_mod_zn2(1)
CD2abcpp	ALW85_RS06320-MONOMER
CD2t3pp	ALW85_RS04350-MONOMER_mod_fe2(1)
CD2tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
CDPMEK	CPLX_CDPMEK-0
CGLYabcpp	CPLX_CGLYabcpp-0
CHLabcpp	ALW85_RS03035-MONOMER OR ALW85_RS05095-MONOMER
CHORM	ALW85_RS01770-MONOMER
CHORS	ALW85_RS09775-MONOMER_mod_fmnh2(1) OR ALW85_RS09775-MONOMER_mod_fadh2(1)
CITL	ALW85_RS09430-MONOMER
CLPNS120	ALW85_RS00390-MONOMER
CLPNS140	ALW85_RS00390-MONOMER
CLPNS160	ALW85_RS00390-MONOMER
CLPNS161	ALW85_RS00390-MONOMER
CLPNS180	ALW85_RS00390-MONOMER
CLPNS181	ALW85_RS00390-MONOMER
CLtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
CO2tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
COBALT2abcpp	ALW85_RS06320-MONOMER
COBALT2t3pp	ALW85_RS04350-MONOMER_mod_fe2(1)
COBALT2tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
CODH4	ALW85_RS12015-MONOMER
COLIPAabcpp	ALW85_RS12795-MONOMER
CPC4MT	ALW85_RS02810-MONOMER
CPK1	ALW85_RS10065-MONOMER_mod_mg2(1)
CPPPGO	ALW85_RS09770-MONOMER_mod_mn2(1)
CPPPGO2	ALW85_RS01470-MONOMER
CPPPGOAN2	ALW85_RS01470-MONOMER
CRNDabcpp	ALW85_RS09740-MONOMER
CRNDt2rpp	ALW85_RS00550-MONOMER
CRNabcpp	ALW85_RS09740-MONOMER
CRNt2rpp	ALW85_RS00550-MONOMER
CS	ALW85_RS12370-MONOMER
CTBTabcpp	ALW85_RS09740-MONOMER
CTBTt2rpp	ALW85_RS00550-MONOMER
CTPS1	ALW85_RS05440-MONOMER_mod_mg2(1)
CTPS2	ALW85_RS05440-MONOMER_mod_mg2(1)
CU1abcpp	ALW85_RS06320-MONOMER
CU2abcpp	ALW85_RS06320-MONOMER
CU2tex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
CUtex	ALW85_RS13290-MONOMER OR ALW85_RS05345-MONOMER
CYRDAAT	ALW85_RS03325-MONOMER
CYRDAR	ALW85_RS03325-MONOMER
CYSDS	ALW85_RS12505-MONOMER
CYSS	ALW85_RS07550-MONOMER_mod_pydx5p(1)
CYSSADS	ALW85_RS07570-MONOMER
CYSTGL	ALW85_RS03655-MONOMER_mod_pydx5p(1)
CYSTL	ALW85_RS12505-MONOMER
CYSTRS	ALW85_RS00235-MONOMER_mod_zn2(1) OR ALW85_RS06860-MONOMER
CYSTS	ALW85_RS07550-MONOMER_mod_pydx5p(1)
CYSabc2pp	CPLX_CYSabc2pp-0
CYSabcpp	ALW85_RS05620-MONOMER
CYT552OXI	ALW85_RS05280-MONOMER OR CPLX_CYT552OXI-0
CYTBD2pp	CPLX_CYTBD2pp-0
CYTK1	ALW85_RS10210-MONOMER_mod_mg2(1)
CYTK2	ALW85_RS07450-MONOMER_mod_pydx5p(1)
CYTK2_1	ALW85_RS10065-MONOMER_mod_mg2(1)
CYTbc1	CPLX_CYTbc1-0
DADK	ALW85_RS10065-MONOMER_mod_mg2(1)
DAPDC	ALW85_RS10180-MONOMER_mod_pydx5p(1)
DAPE	ALW85_RS08415-MONOMER
DASYN140	ALW85_RS08915-MONOMER_mod_mg2(1)_mod_k(1)
DASYN160	ALW85_RS08915-MONOMER_mod_mg2(1)_mod_k(1)
DASYN161	ALW85_RS08915-MONOMER_mod_mg2(1)_mod_k(1)
DASYN181	ALW85_RS08915-MONOMER_mod_mg2(1)_mod_k(1)
DB4PS	ALW85_RS13330-MONOMER_mod_mg2(1)
