Modified_enzyme	Core_enzyme	Modifications	Source
CPLX-185_mod_pydx5p(1)	CPLX-185	pydx5p(1)	iJL965
CPLX-186_mod_mg2(1)	CPLX-186	mg2(1)	iJL965
CPLX-189_mod_4fe4s(1)_mod_4fe2o2s(1)	CPLX-189	4fe4s(1) AND 4fe2o2s(1)	iJL965
CPLX-190_mod_4fe4s(1)_mod_4fe2o2s(1)	CPLX-190	4fe4s(1) AND 4fe2o2s(1)	iJL965
CPLX-198_mod_mn2(1)	CPLX-198	mn2(1)	iJL965
CPLX-207_mod_k(1)	CPLX-207	k(1)	iJL965
CPLX-209_mod_pydx5p(1)	CPLX-209	pydx5p(1)	iJL965
CPLX-210_mod_pydx5p(1)	CPLX-210	pydx5p(1)	iJL965
CPLX-219_mod_pydx5p(1)	CPLX-219	pydx5p(1)	iJL965
CPLX-231_mod_thmpp(1)	CPLX-231	thmpp(1)	iJL965
CPLX-242_mod_zn2(1)	CPLX-242	zn2(1)	iJL965
CPLX-245_mod_mg2(1)	CPLX-245	mg2(1)	iJL965
CPLX-248_mod_mg2(1)	CPLX-248	mg2(1)	iJL965
CPLX-250_mod_pydx5p(1)_mod_fad(1)_mod_lipo(1)	CPLX-250	pydx5p(1) AND fad(1) AND lipo(1)	iJL965
CPLX-251_mod_pydx5p(1)_mod_fad(1)_mod_lipo(1)	CPLX-251	pydx5p(1) AND fad(1) AND lipo(1)	iJL965
CPLX-252_mod_pydx5p(1)	CPLX-252	pydx5p(1)	iJL965
CPLX-256_mod_fad(1)_mod_2fe2s(1)	CPLX-256	fad(1) AND 2fe2s(1)	iJL965
CPLX-259_mod_mg2(2)	CPLX-259	mg2(2)	iJL965
CPLX-260_mod_mg2(1)	CPLX-260	mg2(1)	iJL965
CPLX-261_Etf1_CPLX_mod_fmn(1)_mod_fad(1)	CPLX-261_Etf1_CPLX	fmn(1) AND fad(1)	iJL965
CPLX-261_Etf2_CPLX_mod_fmn(1)_mod_fad(1)	CPLX-261_Etf2_CPLX	fmn(1) AND fad(1)	iJL965
CPLX-261_Etf3_CPLX_mod_fmn(1)_mod_fad(1)	CPLX-261_Etf3_CPLX	fmn(1) AND fad(1)	iJL965
CPLX-268_mod_pydx5p(1)	CPLX-268	pydx5p(1)	iJL965
RibBA_mono_mod_zn2(1)	RibBA_mono	zn2(1)	iJL965
CPLX-277_mod_pydx5p(1)	CPLX-277	pydx5p(1)	iJL965
CPLX-280_mod_pydx5p(1)_mod_fad(1)_mod_lipo(1)	CPLX-280	pydx5p(1) AND fad(1) AND lipo(1)	iJL965
CPLX-281_mod_pydx5p(1)_mod_fad(1)_mod_lipo(1)	CPLX-281	pydx5p(1) AND fad(1) AND lipo(1)	iJL965
CPLX-282_mod_zn2(1)	CPLX-282	zn2(1)	iJL965
CPLX-283_mod_mn2(1)	CPLX-283	mn2(1)	iJL965
CPLX-284_mod_mn2(2)	CPLX-284	mn2(2)	iJL965
CPLX-288_mod_mg2(1)	CPLX-288	mg2(1)	iJL965
CPLX-293_mod_mg2(1)	CPLX-293	mg2(1)	iJL965
NADH-DHI-CPLX_FdhA_mono_mod_fmn(1)_mod_2fe2s(1)_mod_4fe4s(1)_mod_bmocogdp(1)	NADH-DHI-CPLX_FdhA_mono	fmn(1) AND 2fe2s(1) AND 4fe4s(1) AND bmocogdp(1)	iJL965
NADH-DHI-CPLX_FdhAII_mono_mod_fmn(1)_mod_2fe2s(1)_mod_4fe4s(1)_mod_bmocogdp(1)	NADH-DHI-CPLX_FdhAII_mono	fmn(1) AND 2fe2s(1) AND 4fe4s(1) AND bmocogdp(1)	iJL965
NADH-DHI-CPLX_FdhAIII_mono_mod_fmn(1)_mod_2fe2s(1)_mod_4fe4s(1)_mod_bmocogdp(1)	NADH-DHI-CPLX_FdhAIII_mono	fmn(1) AND 2fe2s(1) AND 4fe4s(1) AND bmocogdp(1)	iJL965
NADH-DHI-II-CPLX_FdhA_mono_mod_fmn(1)_mod_2fe2s(1)_mod_4fe4s(1)_mod_bmocogdp(1)	NADH-DHI-II-CPLX_FdhA_mono	fmn(1) AND 2fe2s(1) AND 4fe4s(1) AND bmocogdp(1)	iJL965
NADH-DHI-II-CPLX_FdhAII_mono_mod_fmn(1)_mod_2fe2s(1)_mod_4fe4s(1)_mod_bmocogdp(1)	NADH-DHI-II-CPLX_FdhA_mono	fmn(1) AND 2fe2s(1) AND 4fe4s(1) AND bmocogdp(1)	iJL965
NADH-DHI-II-CPLX_FdhAIII_mono_mod_fmn(1)_mod_2fe2s(1)_mod_4fe4s(1)_mod_bmocogdp(1)	NADH-DHI-II-CPLX_FdhA_mono	fmn(1) AND 2fe2s(1) AND 4fe4s(1) AND bmocogdp(1)	iJL965
NADH-DHI-CPLX_mod_fmn(1)_mod_2fe2s(1)_mod_4fe4s(1)	NADH-DHI-CPLX	fmn(1) AND 2fe2s(1) AND 4fe4s(1)	iJL965
NADH-DHI-II-CPLX_mod_fmn(1)_mod_2fe2s(1)_mod_4fe4s(1)	NADH-DHI-II-CPLX	fmn(1) AND 2fe2s(1) AND 4fe4s(1)	iJL965
CPLX-314_mod_mg2(1)	CPLX-314	mg2(1)	iJL965
CPLX-315_mod_mg2(1)	CPLX-315	mg2(1)	iJL965
CPLX-317_mod_pydx5p(1)	CPLX-317	pydx5p(1)	iJL965
CPLX-318_mod_zn2(1)	CPLX-318	zn2(1)	iJL965
CPLX-352_mod_zn2(1)	CPLX-352	zn2(1)	iJL965
CPLX-353_mod_4fe4s(1)	CPLX-353	4fe4s(1)	iJL965
CPLX-354_mod_pydx5p(1)	CPLX-354	pydx5p(1)	iJL965
CPLX-359_mod_mg2(1)	CPLX-359	mg2(1)	iJL965
CPLX-360_mod_mg2(1)	CPLX-360	mg2(1)	iJL965
CPLX-361_mod_mg2(1)	CPLX-361	mg2(1)	iJL965
CPLX-363_mod_pyr(1)	CPLX-363	pyr(1)	iJL965
CPLX-365_mod_3fe4s(1)	CPLX-365	3fe4s(1)	iJL965
CPLX-366_mod_4fe4s(1)_mod_bmocogdp(1)	CPLX-366	4fe4s(1) AND bmocogdp(1)	iJL965
CPLX-367_mod_4fe4s(1)_mod_bmocogdp(1)	CPLX-367	4fe4s(1) AND bmocogdp(1)	iJL965
CPLX-368_mod_4fe4s(1)_mod_bmocogdp(1)	CPLX-368	4fe4s(1) AND bmocogdp(1)	iJL965
CPLX-369_mod_pydx5p(1)	CPLX-369	pydx5p(1)	iJL965
CPLX-372_mod_pydx5p(1)	CPLX-372	pydx5p(1)	iJL965
CPLX-375_mod_4fe4s(1)	CPLX-375	4fe4s(1)	iJL965
CPLX-376_mod_bmocogdp(1)	CPLX-376	bmocogdp(1)	iJL965
CPLX-380_mod_pydx5p(1)	CPLX-380	pydx5p(1)	iJL965
Asr2_CPLX_mod_fad(1)_mod_2fe2s(1)	Asr2_CPLX	fad(1) AND 2fe2s(1)	iJL965
CPLX-398_mod_btn(1)	CPLX-398	btn(1)	iJL965
CPLX-405_mod_mg2(1)	CPLX-405	mg2(1)	iJL965
