Reaction	Complexes
FE2abc	LLMG_RS01055-MONOMER
FE3abc	CPLX_FE3abc-0
FLVR_1	LLMG_RS02910-MONOMER
FMETDF	LLMG_RS02790-MONOMER
FMETTRS_1	LLMG_RS10745-MONOMER_mod_mg2(1)_mod_k(1)
FMNAT	LLMG_RS07215-MONOMER
FOLD3	LLMG_RS06770-MONOMER_mod_mg2(1)
FOLR2	LLMG_RS06800-MONOMER
FRDx	LLMG_RS07275-MONOMER
FRUK	LLMG_RS07905-MONOMER_mod_mg2(1)
FRUpts	CPLX_FRUpts-0 OR CPLX_GLCpts-0 OR CPLX_GLCpts-1 OR CPLX_GLCpts-2
FTHFCL_1	LLMG_RS00960-MONOMER
FTHFLi	LLMG_RS08030-MONOMER
G1PACT	LLMG_RS10360-MONOMER_mod_mg2(1)
G1PTMT	LLMG_RS01090-MONOMER_mod_mg2(1)
G3PCT	LLMG_RS08085-MONOMER
G3PD	LLMG_RS05575-MONOMER_mod_fad(1)
G3PD1ir	LLMG_RS05655-MONOMER
G3PD2	LLMG_RS05655-MONOMER
G3PD4	LLMG_RS05575-MONOMER_mod_fad(1)
G5SD	LLMG_RS04530-MONOMER
G6PDA	LLMG_RS04735-MONOMER
G6PDH2r	LLMG_RS12560-MONOMER
G6PI	LLMG_RS12290-MONOMER
GALK2	LLMG_RS11210-MONOMER_mod_mg2(1)
GALM	LLMG_RS11215-MONOMER
GALT	LLMG_RS11205-MONOMER
GALTpts	CPLX_SBTpts-0
GALUi	LLMG_RS05650-MONOMER
GALt2	LLMG_RS11220-MONOMER
GAPD	LLMG_RS02785-MONOMER OR LLMG_RS12755-MONOMER
GARFT	LLMG_RS05025-MONOMER
GF6PTA	LLMG_RS07630-MONOMER
GHMT2r	LLMG_RS02930-MONOMER
GK1	LLMG_RS10780-MONOMER_mod_mg2(1)
GK2	LLMG_RS10780-MONOMER_mod_mg2(1)
GLCNt2ir	LLMG_RS12395-MONOMER
GLCP	CPLX_GLCP-0
GLCS1	CPLX_GLCS1-0
GLCpts	CPLX_GLCpts-0 OR CPLX_GLCpts-1 OR CPLX_GLCpts-2
GLGC	CPLX_GLGC-0
GLNS	LLMG_RS12480-MONOMER_mod_mn2(1)
GLNTRS2	CPLX_GLNTRS2-0
GLNabc	CPLX_GLNabc-0
GLU5K	LLMG_RS04525-MONOMER_mod_mg2(1)
GLUABUTt7	LLMG_RS05965-MONOMER
GLUDC	LLMG_RS05970-MONOMER_mod_pydx5p(1)
GLUPRT	LLMG_RS04970-MONOMER_mod_mg2(1)
GLUR	LLMG_RS06010-MONOMER
GLUSy	CPLX_GLUSy-0_mod_fe2(1)_mod_fad(1)
GLUTRS2	LLMG_RS11690-MONOMER_mod_mg2(1)_mod_zn2(1)
GLUTRS_2	LLMG_RS11690-MONOMER_mod_mg2(1)_mod_zn2(1)
GLUabc	CPLX_GLUabc-0
GLYBabc	CPLX_CHLabc-0 OR CPLX_GLYBabc-0
GLYC3Pt6	LLMG_RS02750-MONOMER
GLYCt	LLMG_RS05570-MONOMER OR LLMG_RS04450-MONOMER OR LLMG_RS11665-MONOMER
GLYK	LLMG_RS05335-MONOMER OR LLMG_RS05580-MONOMER_mod_mg2(1) OR LLMG_RS05580-MONOMER_mod_mn2(1)
GLYTRS_1	CPLX-tRNA-GLY-LIGASE
GLYt2r_copy2	LLMG_RS01925-MONOMER OR LLMG_RS01930-MONOMER
GMPR	LLMG_RS07130-MONOMER
GMPS2	LLMG_RS05125-MONOMER_mod_mg2(1)
GND	LLMG_RS12405-MONOMER OR LLMG_RS03045-MONOMER
GNKr	LLMG_RS12400-MONOMER_mod_mg2(1)
GPDDA1	LLMG_RS11405-MONOMER OR LLMG_RS00415-MONOMER_mod_mg2(1)
