Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Accession-2
B488_RS02300	B488_RS02300	528933	529214	B488_RS02300-MONOMER	B488_04730
B488_RS04440	B488_RS04440	999674	1000804	B488_RS04440-MONOMER	B488_09270
B488_RS04655	B488_RS04655	1048972	1049643	B488_RS04655-MONOMER	B488_09700
B488_RS03840	B488_RS03840	877653	878321	B488_RS03840-MONOMER	B488_08030
B488_RS06655	B488_RS06655	1480131	1480406	B488_RS06655-MONOMER	B488_13600
B488_RS04255	B488_RS04255	966093	966169	B488_RS04255-tRNA	B488_14050
B488_RS03160	B488_RS03160	719113	719619	B488_RS03160-MONOMER	B488_06490
B488_RS01820	B488_RS01820	419815	420489	B488_RS01820-MONOMER	B488_03670
B488_RS07105	B488_RS07105	971194	971436	B488_RS07105-MONOMER	B488_RS07105
B488_RS03330	B488_RS03330	767061	767993	B488_RS03330-MONOMER	B488_06890
B488_RS05905	B488_RS05905	1323684	1325822	B488_RS05905-MONOMER	B488_12120
B488_RS06585	B488_RS06585	1466105	1467590	B488_RS06585-rRNA	B488_14320
B488_RS06100	B488_RS06100	1368488	1368808	B488_RS06100-MONOMER	B488_12530
B488_RS02805	B488_RS02805	632510	632980	B488_RS02805-MONOMER	B488_05760
B488_RS03600	B488_RS03600	831502	832464	B488_RS03600-MONOMER	B488_07450
B488_RS06340	B488_RS06340	1414732	1415667	B488_RS06340-MONOMER	B488_13030
B488_RS01675	B488_RS01675	389056	390411	B488_RS01675-MONOMER	B488_03380
B488_RS00800	B488_RS00800	194392	194802	B488_RS00800-MONOMER	B488_01610
B488_RS00530	B488_RS00530	126738	127250	B488_RS00530-MONOMER	B488_01080
B488_RS05595	B488_RS05595	1245790	1247555	B488_RS05595-MONOMER	B488_11490
B488_RS04955	B488_RS04955	1115049	1116872	B488_RS04955-MONOMER	B488_10210
B488_RS00195	B488_RS00195	52469	52927	B488_RS00195-MONOMER	B488_00390
B488_RS07065	B488_RS07065	229172	229294	B488_RS07065-MONOMER	B488_01890
B488_RS02035	B488_RS02035	479535	479948	B488_RS02035-MONOMER	B488_04170
B488_RS05245	B488_RS05245	1174633	1175673	B488_RS05245-MONOMER	B488_10770
B488_RS02485	B488_RS02485	556469	556948	B488_RS02485-MONOMER	B488_05150
B488_RS02305	B488_RS02305	529304	529633	B488_RS02305-MONOMER	B488_04740
B488_RS04675	B488_RS04675	1050979	1051875	B488_RS04675-MONOMER	B488_09710
B488_RS03165	B488_RS03165	719665	720354	B488_RS03165-MONOMER	B488_06500
B488_RS00665	B488_RS00665	164988	165211	B488_RS00665-MONOMER	B488_01330
B488_RS05630	B488_RS05630	1257792	1257865	B488_RS05630-tRNA	B488_14190
B488_RS05860	B488_RS05860	1316154	1317305	B488_RS05860-MONOMER	B488_12040
B488_RS05965	B488_RS05965	1337884	1339548	B488_RS05965-MONOMER	B488_12250
B488_RS03465	B488_RS03465	799531	801132	B488_RS03465-MONOMER	B488_07170
B488_RS04635	B488_RS04635	1042019	1042822	B488_RS04635-MONOMER	B488_09660
B488_RS05435	B488_RS05435	1216638	1217519	B488_RS05435-MONOMER	B488_11170
B488_RS07070	B488_RS07070	353138	353359	B488_RS07070-MONOMER	B488_RS07070
B488_RS00540	B488_RS00540	127684	128055	B488_RS00540-MONOMER	B488_01090
B488_RS04960	B488_RS04960	1117028	1118251	B488_RS04960-MONOMER	B488_10220
B488_RS05720	B488_RS05720	1282271	1282678	B488_RS05720-MONOMER	B488_11760
B488_RS04145	B488_RS04145	946054	946305	B488_RS04145-MONOMER	B488_08660
B488_RS02040	B488_RS02040	479962	480162	B488_RS02040-MONOMER	B488_04180
B488_RS05250	B488_RS05250	1175670	1176515	B488_RS05250-MONOMER	B488_10780
B488_RS06790	B488_RS06790	530424	530720	B488_RS06790-MONOMER	B488_RS06790
B488_RS04355	B488_RS04355	980720	981265	B488_RS04355-MONOMER	B488_09100
B488_RS06810	B488_RS06810	583686	585899	B488_RS06810-MONOMER	B488_05410
B488_RS04680	B488_RS04680	1051913	1052941	B488_RS04680-MONOMER	B488_09720
B488_RS03845	B488_RS03845	878742	879464	B488_RS03845-MONOMER	B488_08060
B488_RS02925	B488_RS02925	660751	662426	B488_RS02925-MONOMER	B488_06000
B488_RS06660	B488_RS06660	1481039	1483435	B488_RS06660-MONOMER	B488_13610
B488_RS06400	B488_RS06400	1428913	1429389	B488_RS06400-MONOMER	B488_13150
B488_RS06285	B488_RS06285	1404378	1404569	B488_RS06285-MONOMER	B488_12920
B488_RS03170	B488_RS03170	720435	721475	B488_RS03170-MONOMER	B488_06510
B488_RS01825	B488_RS01825	420733	421593	B488_RS01825-MONOMER	B488_03680
B488_RS03335	B488_RS03335	767980	768702	B488_RS03335-MONOMER	B488_06900
B488_RS01415	B488_RS01415	323817	325727	B488_RS01415-MONOMER	B488_02830
B488_RS02810	B488_RS02810	633166	634137	B488_RS02810-MONOMER	B488_05770
B488_RS06105	B488_RS06105	1369338	1370402	B488_RS06105-MONOMER	B488_12550
B488_RS04005	B488_RS04005	913362	914679	B488_RS04005-MONOMER	B488_08370
B488_RS01060	B488_RS01060	249244	249774	B488_RS01060-MONOMER	B488_02150
B488_RS03605	B488_RS03605	832581	833747	B488_RS03605-MONOMER	B488_07460
B488_RS01680	B488_RS01680	390434	391606	B488_RS01680-MONOMER	B488_03390
B488_RS00805	B488_RS00805	194870	196105	B488_RS00805-MONOMER	B488_01620
B488_RS00545	B488_RS00545	128235	129587	B488_RS00545-MONOMER	B488_01100
B488_RS04965	B488_RS04965	1118541	1119083	B488_RS04965-MONOMER	B488_10230
B488_RS00200	B488_RS00200	53557	54324	B488_RS00200-MONOMER	B488_00400
B488_RS00945	B488_RS00945	229691	230890	B488_RS00945-MONOMER	B488_01900
B488_RS02045	B488_RS02045	480165	480404	B488_RS02045-MONOMER	B488_04190
B488_RS05255	B488_RS05255	1176589	1177524	B488_RS05255-MONOMER	B488_10790
B488_RS02490	B488_RS02490	556920	557864	B488_RS02490-MONOMER	B488_05160
B488_RS03740	B488_RS03740	856276	856854	B488_RS03740-MONOMER	B488_07780
B488_RS06795	B488_RS06795	530825	531550	B488_RS06795-MONOMER	B488_04780
B488_RS01070	B488_RS01070	250509	251402	B488_RS01070-MONOMER	B488_02160
B488_RS04510	B488_RS04510	1013745	1014140	B488_RS04510-MONOMER	B488_09410
B488_RS04685	B488_RS04685	1052963	1054249	B488_RS04685-MONOMER	B488_09730
B488_RS03175	B488_RS03175	721992	723167	B488_RS03175-MONOMER	B488_06530
B488_RS06475	B488_RS06475	1443354	1444109	B488_RS06475-MONOMER	B488_13300
B488_RS05980	B488_RS05980	1341346	1341744	B488_RS05980-MONOMER	B488_RS05980
B488_RS03470	B488_RS03470	801278	801715	B488_RS03470-MONOMER	B488_RS03470
B488_RS04200	B488_RS04200	957453	957785	B488_RS04200-MONOMER	B488_08780
B488_RS01075	B488_RS01075	251674	252468	B488_RS01075-MONOMER	B488_02170
B488_RS05440	B488_RS05440	1217557	1218690	B488_RS05440-MONOMER	B488_11180
B488_RS01535	B488_RS01535	353378	354352	B488_RS01535-MONOMER	B488_RS01535
B488_RS00550	B488_RS00550	129604	130239	B488_RS00550-MONOMER	B488_01110
B488_RS04970	B488_RS04970	1119241	1120554	B488_RS04970-MONOMER	B488_10240
B488_RS00205	B488_RS00205	54462	55349	B488_RS00205-MONOMER	B488_00410
B488_RS02050	B488_RS02050	480565	480933	B488_RS02050-MONOMER	B488_04200
B488_RS02320	B488_RS02320	532125	532751	B488_RS02320-MONOMER	B488_04790
B488_RS01080	B488_RS01080	252474	253682	B488_RS01080-MONOMER	B488_02180
