Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS14670-MONOMER	elongation factor G	ABAYE_RS14670	CCI-CYTOSOL-GN
ABAYE_RS11245-MONOMER	FMN-dependent monooxygenase	ABAYE_RS11245	CCI-CYTOSOL-GN
ABAYE_RS19275-MONOMER	thiol:disulfide interchange protein	ABAYE_RS19275	
ABAYE_RS03550-MONOMER	YdiU family protein	ABAYE_RS03550	CCI-CYTOSOL-GN
ABAYE_RS16940-MONOMER	primosomal protein N'	ABAYE_RS16940	CCI-CYTOSOL-GN
ABAYE_RS03720-MONOMER	DUF934 domain-containing protein	ABAYE_RS03720	
ABAYE_RS08045-MONOMER	3-dehydroquinate dehydratase	ABAYE_RS08045	CCI-CYTOSOL-GN
ABAYE_RS03565-MONOMER	glycerophosphodiester phosphodiesterase	ABAYE_RS03565	CCI-CYTOSOL-GN
ABAYE_RS01905-MONOMER	hypothetical protein	ABAYE_RS01905	
ABAYE_RS08020-MONOMER	hypothetical protein	ABAYE_RS08020	CCI-CYTOSOL-GN
ABAYE_RS02095-MONOMER	4-hydroxy-3-methylbut-2-enyl diphosphate reductase	ABAYE_RS02095	CCI-CYTOSOL-GN
ABAYE_RS07080-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS07080	CCI-CYTOSOL-GN
ABAYE_RS09430-MONOMER	hypothetical protein	ABAYE_RS09430	CCI-PM-BAC-NEG-GN
ABAYE_RS07095-MONOMER	paraquat-inducible protein A	ABAYE_RS07095	CCI-PM-BAC-NEG-GN
ABAYE_RS10915-MONOMER	cytosine permease	ABAYE_RS10915	CCI-PM-BAC-NEG-GN
ABAYE_RS02520-MONOMER	YihA family ribosome biogenesis GTP-binding protein	ABAYE_RS02520	CCI-CYTOSOL-GN
ABAYE_RS07160-MONOMER	class I SAM-dependent methyltransferase	ABAYE_RS07160	CCI-CYTOSOL-GN
ABAYE_RS09050-MONOMER	antibiotic biosynthesis monooxygenase	ABAYE_RS09050	
ABAYE_RS01285-MONOMER	D-alanine--D-alanine ligase	ABAYE_RS01285	CCI-CYTOSOL-GN
ABAYE_RS12520-MONOMER	KpsF/GutQ family sugar-phosphate isomerase	ABAYE_RS12520	CCI-CYTOSOL-GN
ABAYE_RS18975-MONOMER	phospholipase C, phosphocholine-specific	ABAYE_RS18975	CCI-EXTRACELLULAR-GN
ABAYE_RS09575-MONOMER	molecular chaperone	ABAYE_RS09575	CCI-PERI-BAC-GN
ABAYE_RS09180-MONOMER	LysR family transcriptional regulator	ABAYE_RS09180	CCI-CYTOSOL-GN
ABAYE_RS17580-MONOMER	DNA-binding response regulator	ABAYE_RS17580	CCI-CYTOSOL-GN
ABAYE_RS10305-MONOMER	AraC family transcriptional regulator	ABAYE_RS10305	
ABAYE_RS00135-MONOMER	oxidoreductase	ABAYE_RS00135	CCI-CYTOSOL-GN
ABAYE_RS14225-MONOMER	enoyl-CoA hydratase	ABAYE_RS14225	CCI-CYTOSOL-GN
