Proteins	Common-Name	Genes of polypeptide, complex, or RNA	Locations
ABAYE_RS07640-MONOMER	EamA family transporter	ABAYE_RS07640	CCI-PM-BAC-NEG-GN
ABAYE_RS10010-MONOMER	chorismate synthase	ABAYE_RS10010	CCI-CYTOSOL-GN
ABAYE_RS11410-MONOMER	LysR family transcriptional regulator	ABAYE_RS11410	CCI-CYTOSOL-GN
ABAYE_RS05055-MONOMER	Holliday junction branch migration protein RuvA	ABAYE_RS05055	CCI-CYTOSOL-GN
ABAYE_RS15560-MONOMER	hypothetical protein	ABAYE_RS15560	
ABAYE_RS09065-MONOMER	quinoprotein glucose dehydrogenase	ABAYE_RS09065	
ABAYE_RS03575-MONOMER	TonB-dependent receptor	ABAYE_RS03575	CCI-OUTER-MEM-GN
ABAYE_RS09695-MONOMER	bifunctional metallophosphatase/5'-nucleotidase	ABAYE_RS09695	
ABAYE_RS18260-MONOMER	MFS transporter	ABAYE_RS18260	CCI-PM-BAC-NEG-GN
ABAYE_RS18910-MONOMER	glycosyl transferase	ABAYE_RS18910	CCI-CYTOSOL-GN
ABAYE_RS02670-MONOMER	30S ribosomal protein S11	ABAYE_RS02670	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS03560-MONOMER	META domain-containing protein	ABAYE_RS03560	
ABAYE_RS05510-MONOMER	type I-F CRISPR-associated endoribonuclease Cas6/Csy4	ABAYE_RS05510	CCI-CYTOSOL-GN
ABAYE_RS14525-MONOMER	type IV pili twitching motility protein PilT	ABAYE_RS14525	CCI-CYTOSOL-GN
ABAYE_RS09020-MONOMER	NAD(P)-dependent oxidoreductase	ABAYE_RS09020	CCI-CYTOSOL-GN
ABAYE_RS00815-MONOMER	YcgN family cysteine cluster protein	ABAYE_RS00815	CCI-CYTOSOL-GN
ABAYE_RS13370-MONOMER	hypothetical protein	ABAYE_RS13370	
ABAYE_RS08105-MONOMER	molybdenum cofactor biosynthesis protein MoaE	ABAYE_RS08105	CCI-CYTOSOL-GN
ABAYE_RS15475-MONOMER	glycosyl transferase	ABAYE_RS15475	CCI-CYTOSOL-GN
ABAYE_RS08205-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS08205	CCI-CYTOSOL-GN
ABAYE_RS15520-MONOMER	S-formylglutathione hydrolase	ABAYE_RS15520	
ABAYE_RS06510-MONOMER	DUF423 domain-containing protein	ABAYE_RS06510	CCI-PM-BAC-NEG-GN
ABAYE_RS17060-MONOMER	Na+/H+ antiporter subunit C	ABAYE_RS17060	CCI-PM-BAC-NEG-GN
ABAYE_RS10850-MONOMER	biotin synthase	ABAYE_RS10850	CCI-CYTOSOL-GN
ABAYE_RS18420-MONOMER	EamA/RhaT family transporter	ABAYE_RS18420	CCI-PM-BAC-NEG-GN
ABAYE_RS06470-MONOMER	bifunctional prephenate dehydrogenase/3-phosphoshikimate 1-carboxyvinyltransferase	ABAYE_RS06470	CCI-CYTOSOL-GN
ABAYE_RS02575-MONOMER	30S ribosomal protein S19	ABAYE_RS02575	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS11700-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS11700	CCI-CYTOSOL-GN
ABAYE_RS08580-MONOMER	M48 family peptidase	ABAYE_RS08580	CCI-PM-BAC-NEG-GN
ABAYE_RS13925-MONOMER	DUF2239 domain-containing protein	ABAYE_RS13925	
ABAYE_RS12830-MONOMER	KR domain-containing protein	ABAYE_RS12830	CCI-CYTOSOL-GN
ABAYE_RS13025-MONOMER	hypothetical protein	ABAYE_RS13025	
ABAYE_RS04090-MONOMER	wax ester/triacylglycerol synthase family O-acyltransferase	ABAYE_RS04090	CCI-CYTOSOL-GN
ABAYE_RS02305-MONOMER	hypothetical protein	ABAYE_RS02305	
ABAYE_RS01470-MONOMER	high-affinity choline transporter BetT	ABAYE_RS01470	CCI-PM-BAC-NEG-GN
ABAYE_RS14765-MONOMER	transcriptional regulator	ABAYE_RS14765	CCI-CYTOSOL-GN
ABAYE_RS05785-MONOMER	aromatic ring-hydroxylating dioxygenase subunit alpha	ABAYE_RS05785	CCI-CYTOSOL-GN
ABAYE_RS16120-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS16120	CCI-CYTOSOL-GN
ABAYE_RS06710-MONOMER	hypothetical protein	ABAYE_RS06710	
ABAYE_RS15325-MONOMER	hypothetical protein	ABAYE_RS15325	CCI-PM-BAC-NEG-GN
ABAYE_RS18475-MONOMER	ATP synthase subunit B	ABAYE_RS18475	CCI-PM-BAC-NEG-GN
ABAYE_RS00005-MONOMER	RepB family plasmid replication initiator protein	ABAYE_RS00005	
ABAYE_RS02540-MONOMER	cystathionine beta-lyase	ABAYE_RS02540	CCI-CYTOSOL-GN
ABAYE_RS13295-MONOMER	hypothetical protein	ABAYE_RS13295	
ABAYE_RS17410-MONOMER	FHA domain-containing protein	ABAYE_RS17410	CCI-PM-BAC-NEG-GN
ABAYE_RS08420-MONOMER	hypothetical protein	ABAYE_RS08420	
ABAYE_RS13710-MONOMER	hypothetical protein	ABAYE_RS13710	
ABAYE_RS17595-MONOMER	peptidase S41	ABAYE_RS17595	CCI-PM-BAC-NEG-GN
ABAYE_RS04755-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS04755	
ABAYE_RS10245-MONOMER	(2Fe-2S)-binding protein	ABAYE_RS10245	CCI-CYTOSOL-GN
ABAYE_RS04340-MONOMER	uroporphyrinogen-III C-methyltransferase	ABAYE_RS04340	CCI-CYTOSOL-GN
ABAYE_RS14865-MONOMER	50S ribosomal protein L25	ABAYE_RS14865	CCI-CYTOSOL-GN
ABAYE_RS09475-MONOMER	alpha/beta hydrolase	ABAYE_RS09475	CCO-MEMBRANE
ABAYE_RS19055-MONOMER	aliphatic sulfonate ABC transporter permease SsuC	ABAYE_RS19055	CCI-PM-BAC-NEG-GN
ABAYE_RS14325-MONOMER	alpha/beta hydrolase	ABAYE_RS14325	CCI-CYTOSOL-GN
ABAYE_RS11900-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS11900	CCI-CYTOSOL-GN
ABAYE_RS12770-MONOMER	hypothetical protein	ABAYE_RS12770	
ABAYE_RS09340-MONOMER	hypothetical protein	ABAYE_RS09340	CCO-MEMBRANE
ABAYE_RS13380-MONOMER	amino acid transporter	ABAYE_RS13380	CCI-PM-BAC-NEG-GN
ABAYE_RS10575-MONOMER	type II secretion system protein GspI	ABAYE_RS10575	
ABAYE_RS07490-MONOMER	2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase	ABAYE_RS07490	
ABAYE_RS13475-MONOMER	hypothetical protein	ABAYE_RS13475	
ABAYE_RS14520-MONOMER	YggS family pyridoxal phosphate-dependent enzyme	ABAYE_RS14520	CCI-CYTOSOL-GN
ABAYE_RS01185-MONOMER	ion channel protein Tsx	ABAYE_RS01185	CCI-OUTER-MEM-GN
ABAYE_RS11545-MONOMER	SGNH/GDSL hydrolase family protein	ABAYE_RS11545	
ABAYE_RS04610-MONOMER	hypothetical protein	ABAYE_RS04610	
ABAYE_RS09925-MONOMER	DMT transporter permease	ABAYE_RS09925	CCI-PM-BAC-NEG-GN
ABAYE_RS02360-MONOMER	glycine--tRNA ligase subunit alpha	ABAYE_RS02360	CCI-CYTOSOL-GN
ABAYE_RS11070-MONOMER	formate-dependent phosphoribosylglycinamide formyltransferase	ABAYE_RS11070	CCI-PM-BAC-NEG-GN
ABAYE_RS16310-MONOMER	gluconokinase	ABAYE_RS16310	CCI-CYTOSOL-GN
ABAYE_RS04545-MONOMER	hypothetical protein	ABAYE_RS04545	
ABAYE_RS03665-MONOMER	SAM-dependent methyltransferase	ABAYE_RS03665	
ABAYE_RS13590-MONOMER	hypothetical protein	ABAYE_RS13590	
ABAYE_RS16555-MONOMER	hypothetical protein	ABAYE_RS16555	CCI-CYTOSOL-GN
ABAYE_RS15835-MONOMER	3-methyl-2-oxobutanoate hydroxymethyltransferase	ABAYE_RS15835	CCI-CYTOSOL-GN
ABAYE_RS12255-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS12255	CCI-CYTOSOL-GN
ABAYE_RS01315-MONOMER	M23 family peptidase	ABAYE_RS01315	CCI-OUTER-MEM-GN
ABAYE_RS06325-MONOMER	ABC transporter substrate-binding protein	ABAYE_RS06325	CCI-PERI-BAC-GN
ABAYE_RS16045-MONOMER	inovirus Gp2 family protein	ABAYE_RS16045	CCI-CYTOSOL-GN
ABAYE_RS14155-MONOMER	L-aspartate dehydrogenase	ABAYE_RS14155	CCI-CYTOSOL-GN
ABAYE_RS17335-MONOMER	DNA-directed RNA polymerase subunit beta	ABAYE_RS17335	CCI-CYTOSOL-GN
ABAYE_RS04785-MONOMER	sulfurtransferase FdhD	ABAYE_RS04785	CCI-CYTOSOL-GN
ABAYE_RS12055-MONOMER	hypothetical protein	ABAYE_RS12055	
ABAYE_RS00390-MONOMER	DUF1819 domain-containing protein	ABAYE_RS00390	CCI-CYTOSOL-GN
ABAYE_RS14550-MONOMER	hypothetical protein	ABAYE_RS14550	CCI-PM-BAC-NEG-GN
ABAYE_RS04280-MONOMER	multidrug efflux RND transporter AdeIJK outer membrane channel subunit AdeK	ABAYE_RS04280	CCI-OUTER-MEM-GN
ABAYE_RS11360-MONOMER	LysR family transcriptional regulator	ABAYE_RS11360	CCI-CYTOSOL-GN
ABAYE_RS15400-MONOMER	LysR family transcriptional regulator	ABAYE_RS15400	CCI-CYTOSOL-GN
ABAYE_RS17205-MONOMER	alpha-ketoglutarate-dependent dioxygenase AlkB	ABAYE_RS17205	CCI-CYTOSOL-GN
ABAYE_RS00690-MONOMER	sulfite exporter TauE/SafE family protein	ABAYE_RS00690	CCI-PM-BAC-NEG-GN
ABAYE_RS05365-MONOMER	hypothetical protein	ABAYE_RS05365	CCO-MEMBRANE
ABAYE_RS09715-MONOMER	molybdenum ABC transporter ATP-binding protein	ABAYE_RS09715	CCI-PM-BAC-NEG-GN
ABAYE_RS06655-MONOMER	hypothetical protein	ABAYE_RS06655	
ABAYE_RS06645-MONOMER	RusA family crossover junction endodeoxyribonuclease	ABAYE_RS06645	
ABAYE_RS02460-MONOMER	STAS domain-containing protein	ABAYE_RS02460	
ABAYE_RS12915-MONOMER	OmpA family protein	ABAYE_RS12915	CCI-OUTER-MEM-GN
ABAYE_RS13100-MONOMER	NAD(P)/FAD-dependent oxidoreductase	ABAYE_RS13100	CCI-CYTOSOL-GN
ABAYE_RS05960-MONOMER	isochorismate synthase	ABAYE_RS05960	CCI-CYTOSOL-GN
ABAYE_RS00885-MONOMER	VOC family protein	ABAYE_RS00885	CCI-CYTOSOL-GN
ABAYE_RS18545-MONOMER	OsmC family peroxiredoxin	ABAYE_RS18545	CCI-CYTOSOL-GN
ABAYE_RS00495-MONOMER	hypothetical protein	ABAYE_RS00495	
ABAYE_RS18805-MONOMER	hypothetical protein	ABAYE_RS18805	
ABAYE_RS07560-MONOMER	hypothetical protein	ABAYE_RS07560	CCI-CYTOSOL-GN
ABAYE_RS19960-MONOMER	N-acetyltransferase	ABAYE_RS19960	CCI-CYTOSOL-GN
ABAYE_RS05685-MONOMER	hypothetical protein	ABAYE_RS05685	
ABAYE_RS05585-MONOMER	diaminobutyrate--2-oxoglutarate transaminase	ABAYE_RS05585	CCI-CYTOSOL-GN
ABAYE_RS09380-MONOMER	hypothetical protein	ABAYE_RS09380	CCI-PM-BAC-NEG-GN
ABAYE_RS18320-MONOMER	MerR family DNA-binding transcriptional regulator	ABAYE_RS18320	CCI-CYTOSOL-GN
ABAYE_RS03600-MONOMER	metal-dependent hydrolase	ABAYE_RS03600	CCI-CYTOSOL-GN
ABAYE_RS03245-MONOMER	hypothetical protein	ABAYE_RS03245	CCI-CYTOSOL-GN
ABAYE_RS14345-MONOMER	dihydrodipicolinate synthase family protein	ABAYE_RS14345	CCI-CYTOSOL-GN
ABAYE_RS15800-MONOMER	translation initiation factor IF-3	ABAYE_RS15800	
ABAYE_RS02920-MONOMER	DUF4256 domain-containing protein	ABAYE_RS02920	CCI-CYTOSOL-GN
ABAYE_RS02130-MONOMER	prepilin-type N-terminal cleavage/methylation domain-containing protein	ABAYE_RS02130	
ABAYE_RS11450-MONOMER	hybrid sensor histidine kinase/response regulator	ABAYE_RS11450	CCI-PM-BAC-NEG-GN
ABAYE_RS15945-MONOMER	hypothetical protein	ABAYE_RS15945	
ABAYE_RS16465-MONOMER	hypothetical protein	ABAYE_RS16465	
ABAYE_RS16420-MONOMER	twin-arginine translocase subunit TatC	ABAYE_RS16420	CCI-PM-BAC-NEG-GN
ABAYE_RS03630-MONOMER	protein-tyrosine-phosphatase	ABAYE_RS03630	CCI-PERI-BAC-GN
ABAYE_RS18120-MONOMER	ISL3 family transposase	ABAYE_RS18120	CCI-CYTOSOL-GN
ABAYE_RS18850-MONOMER	L-lactate permease	ABAYE_RS18850	CCI-PM-BAC-NEG-GN
ABAYE_RS01275-MONOMER	undecaprenyldiphospho-muramoylpentapeptide beta-N- acetylglucosaminyltransferase	ABAYE_RS01275	CCI-PM-BAC-NEG-GN
ABAYE_RS01980-MONOMER	penicillin-binding protein 1A	ABAYE_RS01980	CCI-EXTRACELLULAR-GN // CCO-MEMBRANE
ABAYE_RS11085-MONOMER	LysE family translocator	ABAYE_RS11085	CCI-PM-BAC-NEG-GN
ABAYE_RS04315-MONOMER	50S ribosomal protein L21	ABAYE_RS04315	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS13260-MONOMER	TonB-dependent receptor	ABAYE_RS13260	CCI-OUTER-MEM-GN
ABAYE_RS18510-MONOMER	metal ABC transporter permease	ABAYE_RS18510	CCI-PM-BAC-NEG-GN
ABAYE_RS04045-MONOMER	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB	ABAYE_RS04045	CCI-CYTOSOL-GN
ABAYE_RS16475-MONOMER	hypothetical protein	ABAYE_RS16475	CCI-PM-BAC-NEG-GN
ABAYE_RS11905-MONOMER	ATP-dependent helicase	ABAYE_RS11905	CCI-CYTOSOL-GN
ABAYE_RS15065-MONOMER	hypothetical protein	ABAYE_RS15065	
ABAYE_RS10770-MONOMER	hypothetical protein	ABAYE_RS10770	
ABAYE_RS08750-MONOMER	glucose/quinate/shikimate family membrane-bound PQQ-dependent dehydrogenase	ABAYE_RS08750	CCI-PM-BAC-NEG-GN
ABAYE_RS07120-MONOMER	DNA-binding response regulator	ABAYE_RS07120	CCI-CYTOSOL-GN
ABAYE_RS07090-MONOMER	paraquat-inducible protein A	ABAYE_RS07090	CCI-PM-BAC-NEG-GN
ABAYE_RS15515-MONOMER	DUF2218 domain-containing protein	ABAYE_RS15515	
ABAYE_RS08975-MONOMER	membrane protein	ABAYE_RS08975	
ABAYE_RS11925-MONOMER	phenylacetic acid degradation operon negative regulatory protein PaaX	ABAYE_RS11925	
ABAYE_RS04035-MONOMER	hypothetical protein	ABAYE_RS04035	
ABAYE_RS05845-MONOMER	hypothetical protein	ABAYE_RS05845	CCI-CYTOSOL-GN
ABAYE_RS06530-MONOMER	ATP-dependent RNA helicase RhlB	ABAYE_RS06530	CCI-CYTOSOL-GN
ABAYE_RS16270-MONOMER	PAP2 family protein	ABAYE_RS16270	CCI-PM-BAC-NEG-GN
ABAYE_RS01320-MONOMER	pyruvate dehydrogenase (acetyl-transferring), homodimeric type	ABAYE_RS01320	CCI-CYTOSOL-GN
ABAYE_RS05485-MONOMER	type I-F CRISPR-associated endonuclease Cas1	ABAYE_RS05485	
ABAYE_RS13330-MONOMER	lytic transglycosylase	ABAYE_RS13330	CCI-OUTER-MEM-GN
ABAYE_RS01135-MONOMER	hypothetical protein	ABAYE_RS01135	
ABAYE_RS03195-MONOMER	LemA family protein	ABAYE_RS03195	
ABAYE_RS11620-MONOMER	MFS transporter	ABAYE_RS11620	CCI-PM-BAC-NEG-GN
ABAYE_RS18960-MONOMER	1,6-anhydro-N-acetylmuramyl-L-alanine amidase AmpD	ABAYE_RS18960	CCI-CYTOSOL-GN
ABAYE_RS13555-MONOMER	hypothetical protein	ABAYE_RS13555	
ABAYE_RS02660-MONOMER	50S ribosomal protein L36	ABAYE_RS02660	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS17505-MONOMER	phosphomethylpyrimidine synthase	ABAYE_RS17505	CCI-CYTOSOL-GN
ABAYE_RS03395-MONOMER	phage capsid protein	ABAYE_RS03395	CCI-CYTOSOL-GN
ABAYE_RS13940-MONOMER	capsule assembly Wzi family protein	ABAYE_RS13940	CCI-OUTER-MEM-GN
ABAYE_RS00145-MONOMER	XRE family transcriptional regulator	ABAYE_RS00145	
ABAYE_RS16580-MONOMER	hypothetical protein	ABAYE_RS16580	
ABAYE_RS01500-MONOMER	TetR/AcrR family transcriptional regulator	ABAYE_RS01500	CCI-CYTOSOL-GN
ABAYE_RS07565-MONOMER	ion transporter	ABAYE_RS07565	CCI-PM-BAC-NEG-GN
ABAYE_RS17235-MONOMER	lipid A hydroxylase LpxO	ABAYE_RS17235	CCI-PM-BAC-NEG-GN
ABAYE_RS01600-MONOMER	aldehyde-activating protein	ABAYE_RS01600	
ABAYE_RS13355-MONOMER	BON domain-containing protein	ABAYE_RS13355	CCI-PERI-BAC-GN
ABAYE_RS08760-MONOMER	hypothetical protein	ABAYE_RS08760	CCI-PM-BAC-NEG-GN
ABAYE_RS10795-MONOMER	transketolase	ABAYE_RS10795	CCI-CYTOSOL-GN
ABAYE_RS18690-MONOMER	enoyl-CoA hydratase	ABAYE_RS18690	CCI-CYTOSOL-GN
ABAYE_RS07425-MONOMER	type 1 glutamine amidotransferase domain-containing protein	ABAYE_RS07425	CCI-PERI-BAC-GN
ABAYE_RS01825-MONOMER	RNA-binding transcriptional accessory protein	ABAYE_RS01825	CCI-CYTOSOL-GN
ABAYE_RS17030-MONOMER	2-octaprenylphenol hydroxylase	ABAYE_RS17030	CCI-PM-BAC-NEG-GN
ABAYE_RS08335-MONOMER	amino acid permease	ABAYE_RS08335	CCI-PM-BAC-NEG-GN
ABAYE_RS05430-MONOMER	hypothetical protein	ABAYE_RS05430	CCI-PM-BAC-NEG-GN
ABAYE_RS16930-MONOMER	type II secretion system protein GspG	ABAYE_RS16930	CCI-PM-BAC-NEG-GN
ABAYE_RS13625-MONOMER	DUF2280 domain-containing protein	ABAYE_RS13625	CCI-CYTOSOL-GN
ABAYE_RS10600-MONOMER	DNA polymerase III subunit delta'	ABAYE_RS10600	CCI-CYTOSOL-GN
ABAYE_RS00080-MONOMER	hypothetical protein	ABAYE_RS00080	
ABAYE_RS01505-MONOMER	NADPH:quinone oxidoreductase	ABAYE_RS01505	CCI-CYTOSOL-GN
ABAYE_RS08795-MONOMER	histidine phosphatase family protein	ABAYE_RS08795	CCI-CYTOSOL-GN
ABAYE_RS10355-MONOMER	molecular chaperone HscA	ABAYE_RS10355	CCI-CYTOSOL-GN
ABAYE_RS06345-MONOMER	QacE family quaternary ammonium compound efflux SMR transporter	ABAYE_RS06345	CCI-PM-BAC-NEG-GN
ABAYE_RS14315-MONOMER	homocysteine S-methyltransferase family protein	ABAYE_RS14315	CCI-CYTOSOL-GN
ABAYE_RS09465-MONOMER	DUF2523 domain-containing protein	ABAYE_RS09465	CCI-PM-BAC-NEG-GN
ABAYE_RS17150-MONOMER	EamA/RhaT family transporter	ABAYE_RS17150	CCI-PM-BAC-NEG-GN
ABAYE_RS06415-MONOMER	hemin uptake protein HemP	ABAYE_RS06415	
ABAYE_RS10105-MONOMER	hypothetical protein	ABAYE_RS10105	
ABAYE_RS11215-MONOMER	taurine dioxygenase	ABAYE_RS11215	CCI-CYTOSOL-GN
ABAYE_RS16995-MONOMER	exonuclease V subunit beta	ABAYE_RS16995	CCI-CYTOSOL-GN
ABAYE_RS01025-MONOMER	hypothetical protein	ABAYE_RS01025	CCI-PM-BAC-NEG-GN
ABAYE_RS15195-MONOMER	NADH-quinone oxidoreductase subunit N	ABAYE_RS15195	CCI-PM-BAC-NEG-GN
ABAYE_RS15145-MONOMER	NAD(P)/FAD-dependent oxidoreductase	ABAYE_RS15145	
ABAYE_RS05100-MONOMER	peroxiredoxin	ABAYE_RS05100	CCI-CYTOSOL-GN
ABAYE_RS01580-MONOMER	hydrolase	ABAYE_RS01580	
ABAYE_RS17005-MONOMER	hypothetical protein	ABAYE_RS17005	
ABAYE_RS00200-MONOMER	antibiotic biosynthesis monooxygenase	ABAYE_RS00200	
CPLX1SOZ-19	imidazole glycerol phosphate synthase	ABAYE_RS01735 // ABAYE_RS01780	
ABAYE_RS06555-MONOMER	site-specific integrase	ABAYE_RS06555	
ABAYE_RS10285-MONOMER	ABC transporter	ABAYE_RS10285	
ABAYE_RS13285-MONOMER	RHS repeat protein	ABAYE_RS13285	
ABAYE_RS11825-MONOMER	catalase	ABAYE_RS11825	CCI-PERI-BAC-GN // CCO-MEMBRANE
ABAYE_RS09990-MONOMER	lipoyl synthase	ABAYE_RS09990	CCI-CYTOSOL-GN
ABAYE_RS10290-MONOMER	acyl-CoA dehydrogenase	ABAYE_RS10290	CCI-CYTOSOL-GN
ABAYE_RS14170-MONOMER	cupin domain-containing protein	ABAYE_RS14170	CCI-CYTOSOL-GN
ABAYE_RS19290-MONOMER	hypothetical protein	ABAYE_RS19290	
ABAYE_RS10785-MONOMER	polyisoprenoid-binding protein	ABAYE_RS10785	
ABAYE_RS14085-MONOMER	transketolase	ABAYE_RS14085	
ABAYE_RS01820-MONOMER	two-component system response regulator OmpR	ABAYE_RS01820	CCI-CYTOSOL-GN
ABAYE_RS10390-MONOMER	glutathione S-transferase	ABAYE_RS10390	CCI-CYTOSOL-GN
ABAYE_RS15965-MONOMER	hypothetical protein	ABAYE_RS15965	CCI-OUTER-MEM-GN
ABAYE_RS15660-MONOMER	anti-sigma factor antagonist	ABAYE_RS15660	CCI-CYTOSOL-GN
ABAYE_RS05550-MONOMER	ferredoxin reductase	ABAYE_RS05550	CCI-CYTOSOL-GN
ABAYE_RS04365-MONOMER	alcohol dehydrogenase EutG	ABAYE_RS04365	CCI-CYTOSOL-GN
ABAYE_RS08110-MONOMER	bifunctional molybdenum cofactor biosynthesis protein MoaC/MoaB	ABAYE_RS08110	CCI-CYTOSOL-GN
ABAYE_RS14490-MONOMER	TIGR01777 family protein	ABAYE_RS14490	CCI-CYTOSOL-GN
ABAYE_RS17915-MONOMER	transcriptional regulator	ABAYE_RS17915	
ABAYE_RS00225-MONOMER	creatininase	ABAYE_RS00225	CCI-CYTOSOL-GN
ABAYE_RS19535-MONOMER	hypothetical protein	ABAYE_RS19535	
CPLX1SOZ-28	benzoate 1,2-dioxygenase	ABAYE_RS12815 // ABAYE_RS12820	
ABAYE_RS12075-MONOMER	MFS transporter	ABAYE_RS12075	CCO-MEMBRANE
ABAYE_RS14575-MONOMER	phosphomannomutase/phosphoglucomutase	ABAYE_RS14575	CCI-CYTOSOL-GN
ABAYE_RS10975-MONOMER	amino acid ABC transporter permease	ABAYE_RS10975	CCI-PM-BAC-NEG-GN
ABAYE_RS07660-MONOMER	glutamine--tRNA ligase/YqeY domain fusion protein	ABAYE_RS07660	CCI-CYTOSOL-GN
ABAYE_RS17765-MONOMER	GNAT family N-acetyltransferase	ABAYE_RS17765	
ABAYE_RS09945-MONOMER	MBL fold metallo-hydrolase	ABAYE_RS09945	CCI-CYTOSOL-GN
ABAYE_RS08180-MONOMER	D-amino acid dehydrogenase	ABAYE_RS08180	CCI-PM-BAC-NEG-GN
ABAYE_RS18575-MONOMER	DUF445 domain-containing protein	ABAYE_RS18575	CCI-PM-BAC-NEG-GN
ABAYE_RS01830-MONOMER	sulfate permease	ABAYE_RS01830	CCI-PM-BAC-NEG-GN
ABAYE_RS08465-MONOMER	hypothetical protein	ABAYE_RS08465	
ABAYE_RS14040-MONOMER	rhomboid family intramembrane serine protease	ABAYE_RS14040	CCI-PM-BAC-NEG-GN
ABAYE_RS02550-MONOMER	30S ribosomal protein S10	ABAYE_RS02550	CCI-CYTOSOL-GN
ABAYE_RS04195-MONOMER	MFS transporter	ABAYE_RS04195	CCI-PM-BAC-NEG-GN
CPLX1SOZ-11	cytochrome d ubiquinol oxidase	ABAYE_RS11260 // ABAYE_RS11265	
ABAYE_RS05030-MONOMER	protein TolR	ABAYE_RS05030	CCI-PM-BAC-NEG-GN
ABAYE_RS01945-MONOMER	cell division protein FtsL	ABAYE_RS01945	CCI-PM-BAC-NEG-GN
ABAYE_RS14785-MONOMER	phosphopantetheine adenylyltransferase	ABAYE_RS14785	CCI-CYTOSOL-GN
ABAYE_RS01120-MONOMER	disulfide bond formation protein B	ABAYE_RS01120	CCI-PM-BAC-NEG-GN
ABAYE_RS04065-MONOMER	rod shape-determining protein MreC	ABAYE_RS04065	CCI-CYTOSOL-GN // CCO-MEMBRANE
ABAYE_RS14460-MONOMER	gamma-glutamyltransferase	ABAYE_RS14460	CCI-PERI-BAC-GN
ABAYE_RS07335-MONOMER	protoheme IX farnesyltransferase	ABAYE_RS07335	CCI-PM-BAC-NEG-GN
ABAYE_RS12445-MONOMER	DNA mismatch repair protein MutS	ABAYE_RS12445	CCI-CYTOSOL-GN
ABAYE_RS11815-MONOMER	DUF1330 domain-containing protein	ABAYE_RS11815	
ABAYE_RS04235-MONOMER	AEC family transporter	ABAYE_RS04235	CCO-MEMBRANE
ABAYE_RS16130-MONOMER	ketol-acid reductoisomerase	ABAYE_RS16130	CCI-CYTOSOL-GN
ABAYE_RS03620-MONOMER	bifunctional tetrahydrofolate synthase/dihydrofolate synthase	ABAYE_RS03620	CCI-CYTOSOL-GN
ABAYE_RS13275-MONOMER	hypothetical protein	ABAYE_RS13275	CCI-PM-BAC-NEG-GN
ABAYE_RS06570-MONOMER	hypothetical protein	ABAYE_RS06570	
ABAYE_RS00215-MONOMER	metal/formaldehyde-sensitive transcriptional repressor	ABAYE_RS00215	CCI-CYTOSOL-GN
ABAYE_RS01005-MONOMER	thiamine-phosphate kinase	ABAYE_RS01005	CCI-CYTOSOL-GN
ABAYE_RS05265-MONOMER	GFA family protein	ABAYE_RS05265	
ABAYE_RS16895-MONOMER	electron transfer flavoprotein-ubiquinone oxidoreductase	ABAYE_RS16895	CCI-CYTOSOL-GN
ABAYE_RS15895-MONOMER	NAD(P)-dependent oxidoreductase	ABAYE_RS15895	CCI-CYTOSOL-GN
ABAYE_RS18660-MONOMER	acyl-CoA synthetase	ABAYE_RS18660	CCI-CYTOSOL-GN
ABAYE_RS08125-MONOMER	PLP-dependent aminotransferase family protein	ABAYE_RS08125	CCI-CYTOSOL-GN
ABAYE_RS16665-MONOMER	AraC family transcriptional regulator	ABAYE_RS16665	CCI-CYTOSOL-GN
ABAYE_RS13660-MONOMER	hypothetical protein	ABAYE_RS13660	
ABAYE_RS07360-MONOMER	RDD family protein	ABAYE_RS07360	CCI-PM-BAC-NEG-GN
ABAYE_RS11485-MONOMER	hypothetical protein	ABAYE_RS11485	CCI-CYTOSOL-GN
ABAYE_RS15575-MONOMER	peptidase	ABAYE_RS15575	
ABAYE_RS17975-MONOMER	oxacillin-hydrolyzing class D beta-lactamase OXA-10	ABAYE_RS17975	
ABAYE_RS11740-MONOMER	UTRA domain-containing protein	ABAYE_RS11740	CCI-CYTOSOL-GN
ABAYE_RS14090-MONOMER	MFS transporter	ABAYE_RS14090	CCI-PM-BAC-NEG-GN
ABAYE_RS12375-MONOMER	N-acetyltransferase	ABAYE_RS12375	CCI-CYTOSOL-GN
ABAYE_RS19340-MONOMER	50S ribosomal protein L34	ABAYE_RS19340	CCI-CYTOSOL-GN // CCI-RIBOSOME-GN
ABAYE_RS16395-MONOMER	sel1 repeat family protein	ABAYE_RS16395	
