Category	CLJU
Cell Wall and Capsule	CLJU_c02350
Cell Wall and Capsule	CLJU_c01600
Cell Wall and Capsule	CLJU_c01610
Cell Wall and Capsule	CLJU_c10000
Cell Wall and Capsule	CLJU_c34160
Cell Wall and Capsule	CLJU_c05420
Cell Wall and Capsule	CLJU_c05150
Cell Wall and Capsule	CLJU_c05140
Cell Wall and Capsule	CLJU_c05160
Cell Wall and Capsule	CLJU_c04550
Cell Wall and Capsule	CLJU_c05210
Cell Wall and Capsule	CLJU_c41780
Cell Wall and Capsule	CLJU_c40420
Cell Wall and Capsule	CLJU_c40440
Cell Wall and Capsule	CLJU_c11550
Cell Wall and Capsule	CLJU_c34120
Cell Wall and Capsule	CLJU_c05650
Cell Wall and Capsule	CLJU_c05660
Cell Wall and Capsule	CLJU_c01880
Cell Wall and Capsule	CLJU_c07440
Cell Wall and Capsule	CLJU_c33590
Cell Wall and Capsule	CLJU_c01350
Cell Wall and Capsule	CLJU_c10570
Cell Wall and Capsule	CLJU_c03150
Cell Wall and Capsule	CLJU_c03180
Cell Wall and Capsule	CLJU_c02460
Cell Wall and Capsule	CLJU_c41450
Cell Wall and Capsule	CLJU_c09330
Cell Wall and Capsule	CLJU_c41950
Cell Wall and Capsule	CLJU_c07290
Cell Wall and Capsule	CLJU_c10580
Cell Wall and Capsule	CLJU_c34630
Cell Wall and Capsule	CLJU_c07250
Cell Wall and Capsule	CLJU_c32110
Cell Wall and Capsule	CLJU_c10590
Cell Wall and Capsule	CLJU_c38180
Cell Wall and Capsule	CLJU_c16410
Cell Wall and Capsule	CLJU_c04440
Cell Wall and Capsule	CLJU_c02160
Cell Wall and Capsule	CLJU_c34010
Cell Wall and Capsule	CLJU_c34050
Cell Wall and Capsule	CLJU_c02340
Cell Wall and Capsule	CLJU_c41280
Cell Wall and Capsule	CLJU_c19690
Cell Wall and Capsule	CLJU_c08770
Cell Wall and Capsule	CLJU_c19670
Virulence, Disease and Defense	CLJU_c34600
Virulence, Disease and Defense	CLJU_c25750
Virulence, Disease and Defense	CLJU_c25770
Virulence, Disease and Defense	CLJU_c14170
Virulence, Disease and Defense	CLJU_c32910
Virulence, Disease and Defense	CLJU_c14420
Virulence, Disease and Defense	CLJU_c25780
Virulence, Disease and Defense	CLJU_c14400
Virulence, Disease and Defense	CLJU_c24900
Virulence, Disease and Defense	CLJU_c24890
Virulence, Disease and Defense	CLJU_c24690
Virulence, Disease and Defense	CLJU_c04090
Virulence, Disease and Defense	CLJU_c04080
Virulence, Disease and Defense	CLJU_c08360
Virulence, Disease and Defense	CLJU_c14670
Virulence, Disease and Defense	CLJU_c14380
Virulence, Disease and Defense	CLJU_c42520
Virulence, Disease and Defense	CLJU_c04380
Virulence, Disease and Defense	CLJU_c04370
Virulence, Disease and Defense	CLJU_c41070
Virulence, Disease and Defense	CLJU_c37150
Virulence, Disease and Defense	CLJU_c00060
Virulence, Disease and Defense	CLJU_c00070
Virulence, Disease and Defense	CLJU_c09190
Virulence, Disease and Defense	CLJU_c14140
Virulence, Disease and Defense	CLJU_c08840
Virulence, Disease and Defense	CLJU_c06780
Virulence, Disease and Defense	CLJU_c08400
Virulence, Disease and Defense	CLJU_c01860
Virulence, Disease and Defense	CLJU_c08450
Virulence, Disease and Defense	CLJU_c15500
Virulence, Disease and Defense	CLJU_c08160
Virulence, Disease and Defense	CLJU_c17580
Virulence, Disease and Defense	CLJU_c41080
Virulence, Disease and Defense	CLJU_c41060
Virulence, Disease and Defense	CLJU_c41090
Virulence, Disease and Defense	CLJU_c26750
Virulence, Disease and Defense	CLJU_c42930
Virulence, Disease and Defense	CLJU_c42950
Virulence, Disease and Defense	CLJU_c42940
Virulence, Disease and Defense	CLJU_c41110
Virulence, Disease and Defense	CLJU_c41120
Virulence, Disease and Defense	CLJU_c24430
Virulence, Disease and Defense	CLJU_c24410
Virulence, Disease and Defense	CLJU_c24420
Virulence, Disease and Defense	CLJU_c34450
Virulence, Disease and Defense	CLJU_c20760
Virulence, Disease and Defense	CLJU_c34440
Potassium metabolism	CLJU_c39560
Potassium metabolism	CLJU_c39550
Potassium metabolism	CLJU_c42810
Potassium metabolism	CLJU_c39540
Potassium metabolism	CLJU_c05890
Miscellaneous	CLJU_c27340
Miscellaneous	CLJU_c37470
Miscellaneous	CLJU_c39880
Miscellaneous	CLJU_c23150
Miscellaneous	CLJU_c20850
Miscellaneous	CLJU_c41230
Miscellaneous	CLJU_c39300
Miscellaneous	CLJU_c41240
Miscellaneous	CLJU_c41260
Miscellaneous	CLJU_c23980
Miscellaneous	CLJU_c03090
Miscellaneous	CLJU_c39120
Miscellaneous	CLJU_c26320
Miscellaneous	CLJU_c20110
Miscellaneous	CLJU_c15950
Miscellaneous	CLJU_c16410
Miscellaneous	CLJU_c40590
Miscellaneous	CLJU_c40600
Miscellaneous	CLJU_c03100
Phages, Prophages, Transposable elements, Plasmids	CLJU_c03640
Phages, Prophages, Transposable elements, Plasmids	CLJU_c00400
Phages, Prophages, Transposable elements, Plasmids	CLJU_c03240
Phages, Prophages, Transposable elements, Plasmids	CLJU_c03440
Phages, Prophages, Transposable elements, Plasmids	CLJU_c00350
Phages, Prophages, Transposable elements, Plasmids	CLJU_c03530
Phages, Prophages, Transposable elements, Plasmids	CLJU_c03540
Phages, Prophages, Transposable elements, Plasmids	CLJU_c04260
Phages, Prophages, Transposable elements, Plasmids	CLJU_c31310
Phages, Prophages, Transposable elements, Plasmids	CLJU_c31390
Phages, Prophages, Transposable elements, Plasmids	CLJU_c22020
Membrane Transport	CLJU_c28800
Membrane Transport	CLJU_c28830
Membrane Transport	CLJU_c28790
Membrane Transport	CLJU_c28820
Membrane Transport	CLJU_c28840
Membrane Transport	CLJU_c28810
Membrane Transport	CLJU_c28850
Membrane Transport	CLJU_c20150
Membrane Transport	CLJU_c20140
Membrane Transport	CLJU_c20160
Membrane Transport	CLJU_c22650
Membrane Transport	CLJU_c22660
Membrane Transport	CLJU_c12080
Membrane Transport	CLJU_c12070
Membrane Transport	CLJU_c22540
Membrane Transport	CLJU_c12050
Membrane Transport	CLJU_c12060
Membrane Transport	CLJU_c12040
Membrane Transport	CLJU_c12880
Membrane Transport	CLJU_c12870
Membrane Transport	CLJU_c12860
Membrane Transport	CLJU_c05620
Membrane Transport	CLJU_c09130
Membrane Transport	CLJU_c28430
Membrane Transport	CLJU_c02970
Membrane Transport	CLJU_c33200
Membrane Transport	CLJU_c22230
Membrane Transport	CLJU_c22220
Membrane Transport	CLJU_c32030
Membrane Transport	CLJU_c28590
Membrane Transport	CLJU_c28600
Membrane Transport	CLJU_c24900
Membrane Transport	CLJU_c35050
Membrane Transport	CLJU_c18230
Membrane Transport	CLJU_c23410
Membrane Transport	CLJU_c22310
Membrane Transport	CLJU_c02690
Membrane Transport	CLJU_c24470
Membrane Transport	CLJU_c22300
Membrane Transport	CLJU_c40730
Membrane Transport	CLJU_c29000
Membrane Transport	CLJU_c38250
Membrane Transport	CLJU_c10900
Membrane Transport	CLJU_c12270
Membrane Transport	CLJU_c07180
Membrane Transport	CLJU_c05610
Membrane Transport	CLJU_c29160
RNA Metabolism	CLJU_c37000
RNA Metabolism	CLJU_c10720
RNA Metabolism	CLJU_c17350
RNA Metabolism	CLJU_c21360
RNA Metabolism	CLJU_c13180
RNA Metabolism	CLJU_c40720
RNA Metabolism	CLJU_c01520
RNA Metabolism	CLJU_c38120
RNA Metabolism	CLJU_c11280
RNA Metabolism	CLJU_c08020
RNA Metabolism	CLJU_c21250
RNA Metabolism	CLJU_c13260
RNA Metabolism	CLJU_c12960
RNA Metabolism	CLJU_c32150
RNA Metabolism	CLJU_c12200
RNA Metabolism	CLJU_c39020
RNA Metabolism	CLJU_c07350
RNA Metabolism	CLJU_c39090
RNA Metabolism	CLJU_c13170
RNA Metabolism	CLJU_c12830
RNA Metabolism	CLJU_c34430
RNA Metabolism	CLJU_c01470
RNA Metabolism	CLJU_c08010
RNA Metabolism	CLJU_c01770
RNA Metabolism	CLJU_c41250
RNA Metabolism	CLJU_c29660
RNA Metabolism	CLJU_c12600
RNA Metabolism	CLJU_c12920
RNA Metabolism	CLJU_c17400
RNA Metabolism	CLJU_c42900
RNA Metabolism	CLJU_c39190
RNA Metabolism	CLJU_c23380
RNA Metabolism	CLJU_c22990
RNA Metabolism	CLJU_c04110
RNA Metabolism	CLJU_c09120
RNA Metabolism	CLJU_c06020
RNA Metabolism	CLJU_c10560
RNA Metabolism	CLJU_c03150
RNA Metabolism	CLJU_c07250
RNA Metabolism	CLJU_c10540
RNA Metabolism	CLJU_c01480
RNA Metabolism	CLJU_c22890
RNA Metabolism	CLJU_c06350
RNA Metabolism	CLJU_c26330
RNA Metabolism	CLJU_c18230
RNA Metabolism	CLJU_c33810
RNA Metabolism	CLJU_c03940
RNA Metabolism	CLJU_c33800
RNA Metabolism	CLJU_c06130
RNA Metabolism	CLJU_c42960
RNA Metabolism	CLJU_c41550
RNA Metabolism	CLJU_c26640
RNA Metabolism	CLJU_c00760
RNA Metabolism	CLJU_c21220
RNA Metabolism	CLJU_c36860
RNA Metabolism	CLJU_c08220
RNA Metabolism	CLJU_c11350
RNA Metabolism	CLJU_c12320
RNA Metabolism	CLJU_c41230
RNA Metabolism	CLJU_c33950
RNA Metabolism	CLJU_c24530
RNA Metabolism	CLJU_c16190
RNA Metabolism	CLJU_c13570
RNA Metabolism	CLJU_c12260
RNA Metabolism	CLJU_c27510
RNA Metabolism	CLJU_c12330
RNA Metabolism	CLJU_c10410
RNA Metabolism	CLJU_c40770
RNA Metabolism	CLJU_c41110
RNA Metabolism	CLJU_c12530
