,value
S0584,MONOMER
S0585,MONOMER
S0586,MONOMER
S0587,MONOMER
S0588,MONOMER
S0589,MONOMER
S0590,MONOMER
S0591,MONOMER
S0592,MONOMER
S0593,MONOMER
S0595,MONOMER
S0596,MONOMER
S0597,MONOMER
S0599,MONOMER
S0600,MONOMER
S0601,MONOMER
S0602,MONOMER
S0603,MONOMER
S0604,MONOMER
S0605,MONOMER
S0606,MONOMER
S0607,MONOMER
S0608,MONOMER
S0609,MONOMER
S0611,MONOMER
S0615,MONOMER
S0616,MONOMER
S0617,MONOMER
S0618,MONOMER
S0619,MONOMER
S0620,MONOMER
S0621,MONOMER
S0622,MONOMER
S0623,MONOMER
S0624,MONOMER
S0625,MONOMER
S0626,MONOMER
S0627,MONOMER
S0628,MONOMER
S0630,MONOMER
S0631,tRNA
S0632,tRNA
S0634,tRNA
S0636,tRNA
S0637,tRNA
S0639,tRNA
S0640,tRNA
S0642,MONOMER
S0643,MONOMER
S0644,MONOMER
S0645,MONOMER
S0646,MONOMER
S0647,MONOMER
S0648,MONOMER
S0649,MONOMER
S0650,MONOMER
S0651,MONOMER
S0652,MONOMER
S0654,MONOMER
S0655,MONOMER
S0656,MONOMER
S0657,MONOMER
S0658,MONOMER
S0659,MONOMER
S0660,MONOMER
S0661,MONOMER
S0662,MONOMER
S0663,MONOMER
S0664,MONOMER
S0665,MONOMER
S0666,MONOMER
S0667,MONOMER
S0668,MONOMER
S0669,MONOMER
S0670,MONOMER
S0671,MONOMER
S0672,MONOMER
S0673,MONOMER
S0674,MONOMER
S0675,MONOMER
S0676,MONOMER
S0677,MONOMER
S0679,MONOMER
S0680,MONOMER
S0681,MONOMER
S0682,MONOMER
S0684,MONOMER
S0685,MONOMER
S0686,MONOMER
S0687,MONOMER
S0688,MONOMER
S0689,MONOMER
S0690,MONOMER
S0691,MONOMER
S0692,MONOMER
S0693,MONOMER
S0694,MONOMER
S0695,MONOMER
S0696,MONOMER
S0697,MONOMER
S0698,MONOMER
S0699,MONOMER
S0700,MONOMER
S0701,MONOMER
S0702,MONOMER
S0703,MONOMER
S0704,MONOMER
S0705,MONOMER
S0706,MONOMER
S0707,MONOMER
S0708,MONOMER
S0709,MONOMER
S0710,tRNA
S0711,tRNA
S0712,tRNA
S0713,tRNA
S0714,MONOMER
S0715,MONOMER
S0716,MONOMER
S0718,MONOMER
S0719,MONOMER
S0720,MONOMER
S0721,MONOMER
S0722,MONOMER
S0723,MONOMER
S0724,MONOMER
S0725,MONOMER
S0726,MONOMER
S0727,tRNA
S0728,tRNA
S0729,tRNA
S0730,tRNA
S0731,MONOMER
S0732,MONOMER
S0733,MONOMER
S0734,MONOMER
S0735,MONOMER
S0736,MONOMER
S0737,MONOMER
S0738,MONOMER
S0739,MONOMER
S0740,MONOMER
S0741,MONOMER
S0742,MONOMER
S0743,MONOMER
S0744,MONOMER
S0745,MONOMER
S0746,MONOMER
S0747,MONOMER
S0748,MONOMER
S0749,MONOMER
S0750,MONOMER
S0751,MONOMER
S0752,MONOMER
S0753,MONOMER
S0754,MONOMER
S0755,MONOMER
S0756,MONOMER
S0757,MONOMER
S0758,MONOMER
S0759,MONOMER
S0763,MONOMER
S0764,MONOMER
S0765,MONOMER
S0766,MONOMER
S0767,MONOMER
S0768,MONOMER
S0769,MONOMER
S0770,MONOMER
S0771,MONOMER
S0772,MONOMER
S0773,MONOMER
S0774,MONOMER
S0775,MONOMER
S0776,MONOMER
S0777,MONOMER
S0778,MONOMER
S0779,MONOMER
S0780,MONOMER
S0781,MONOMER
S0782,MONOMER
S0783,MONOMER
S0784,MONOMER
S0785,MONOMER
S0786,MONOMER
S0787,MONOMER
S0788,MONOMER
S0789,MONOMER
S0790,MONOMER
S0791,MONOMER
S0792,MONOMER
S0793,MONOMER
S0794,MONOMER
S0795,MONOMER
S0797,MONOMER
S0799,MONOMER
S0800,MONOMER
S0802,MONOMER
S0803,MONOMER
S0804,MONOMER
S0805,MONOMER
S0806,MONOMER
S0807,MONOMER
S0808,MONOMER
S0810,MONOMER
S0811,MONOMER
S0812,MONOMER
S0813,MONOMER
S0814,MONOMER
S0815,MONOMER
S0816,MONOMER
S0817,MONOMER
S0818,MONOMER
S0819,MONOMER
S0820,MONOMER
S0821,MONOMER
S0822,MONOMER
S0823,MONOMER
S0824,MONOMER
S0825,MONOMER
S0827,MONOMER
S0828,MONOMER
S0829,MONOMER
S0831,MONOMER
S0833,MONOMER
