Complex,Complex_compartment,Protein,Protein_compartment,translocase_pathway
S3909-MONOMER,Plasma_Membrane,S3909(),Plasma_Membrane,s
S3604-MONOMER,Plasma_Membrane,S3604(),Plasma_Membrane,s
S1388-MONOMER,Plasma_Membrane,S1388(),Plasma_Membrane,s
S1591-MONOMER,Plasma_Membrane,S1591(),Plasma_Membrane,s
S0595-MONOMER,Plasma_Membrane,S0595(),Plasma_Membrane,s
S3108-MONOMER,Plasma_Membrane,S3108(),Plasma_Membrane,s
S4615-MONOMER,Plasma_Membrane,S4615(),Plasma_Membrane,s
S4192-MONOMER,Plasma_Membrane,S4192(),Plasma_Membrane,s
CPLX_ALAALAabcpp-0,Plasma_Membrane,S4192(),Plasma_Membrane,s
S0825-MONOMER,Plasma_Membrane,S0825(),Plasma_Membrane,s
CPLX_GTHRDabcpp-0,Plasma_Membrane,S0825(),Plasma_Membrane,s
S1424-MONOMER,Plasma_Membrane,S1424(),Plasma_Membrane,s
CPLX_3PEPTabcpp-0,Plasma_Membrane,S1424(),Plasma_Membrane,s
S1331-MONOMER,Plasma_Membrane,S1331(),Plasma_Membrane,s
CPLX_3PEPTabcpp-0,Plasma_Membrane,S1331(),Plasma_Membrane,s
CPLX_4PEPTabcpp-0,Plasma_Membrane,S1331(),Plasma_Membrane,s
S1332-MONOMER,Plasma_Membrane,S1332(),Plasma_Membrane,s
CPLX_3PEPTabcpp-0,Plasma_Membrane,S1332(),Plasma_Membrane,s
CPLX_4PEPTabcpp-0,Plasma_Membrane,S1332(),Plasma_Membrane,s
S4695-MONOMER,Extracellular_Space,S4695(),Extracellular_Space,s
S0046-MONOMER,Plasma_Membrane,S0046(),Plasma_Membrane,s
S0374-MONOMER,Plasma_Membrane,S0374(),Plasma_Membrane,s
S0443-MONOMER,Plasma_Membrane,S0443(),Plasma_Membrane,s
S3798-MONOMER,Plasma_Membrane,S3798(),Plasma_Membrane,s
S4657-MONOMER,Plasma_Membrane,S4657(),Plasma_Membrane,s
S3235-MONOMER,Plasma_Membrane,S3235(),Plasma_Membrane,s
S0438-MONOMER,Plasma_Membrane,S0438(),Plasma_Membrane,s
S0320-MONOMER,Plasma_Membrane,S0320(),Plasma_Membrane,s
S0156-MONOMER,Plasma_Membrane,S0156(),Plasma_Membrane,s
S1333-MONOMER,Plasma_Membrane,S1333(),Plasma_Membrane,s
