TU_start	TU_end	Genes	Strand	Rho_independent	Stable_RNA
1272230	1276153	CLJU_c11700 CLJU_c11710 CLJU_c11720 CLJU_c11730 CLJU_c11740 CLJU_c11750	1	f	f
127422	129893	CLJU_c01270 CLJU_c01280	1	t	f
1276552	1279345	CLJU_c11760 CLJU_c11770 CLJU_c11780	1	f	f
1279428	1280022	CLJU_c11790	1	f	f
1280149	1282359	CLJU_c11800 CLJU_c11810 CLJU_c11820	1	t	f
1282713	1285278	CLJU_c11830	1	f	f
1285396	1286329	CLJU_c11840	1	f	f
1285396	1287153	CLJU_c11850	-1	f	f
1287221	1288433	CLJU_c11860	-1	f	f
1287221	1298223	CLJU_c11870 CLJU_c11880 CLJU_c11890 CLJU_c11900 CLJU_c11910 CLJU_c11920 CLJU_c11930 CLJU_c11940 CLJU_c11950 CLJU_c11960 CLJU_c11970 CLJU_c11980	1	f	f
1298297	1298594	CLJU_c11990	1	f	f
1298297	1300010	CLJU_c12000	-1	f	f
1298693	1301672	CLJU_c12010	1	f	f
1302055	1302601	CLJU_c12020	1	f	f
1302055	1302795	CLJU_c12030	-1	f	f
1302597	1304502	CLJU_c12040	1	f	f
1304623	1309253	CLJU_c12050 CLJU_c12060 CLJU_c12070 CLJU_c12080 CLJU_c12090	1	f	f
130484	135623	CLJU_c01290 CLJU_c01300 CLJU_c01310	1	f	t
1309468	1311552	CLJU_c12100 CLJU_c12110 CLJU_c12120	1	f	f
1311702	1312209	CLJU_c12130	1	f	f
1312291	1313320	CLJU_c12140	1	t	f
1313691	1316331	CLJU_c12150	1	f	f
1316392	1316644	CLJU_c12160	1	f	f
1316707	1317121	CLJU_c12170	1	f	f
1317299	1317560	CLJU_c12180	1	t	f
1317794	1320354	CLJU_c12190 CLJU_c12200 CLJU_c12210	1	f	f
1320528	1322352	CLJU_c12220	1	f	f
1322409	1324285	CLJU_c12230 CLJU_c12240	1	t	f
1324370	1326035	CLJU_c12250	1	f	f
1326117	1326819	CLJU_c12260	1	f	f
1327092	1328148	CLJU_c12270	1	f	f
1328283	1329558	CLJU_c12280	1	t	f
1329860	1332344	CLJU_c12290 CLJU_c12300	1	t	f
1332556	1333354	CLJU_c12310	1	f	f
1333531	1334257	CLJU_c12320	1	f	f
1334330	1335104	CLJU_c12330	1	f	f
1335380	1335647	CLJU_c12340	1	f	f
1335714	1336170	CLJU_c12350	1	t	f
1336323	1339482	CLJU_c12360 CLJU_c12370 CLJU_c12380	1	f	f
1339651	1340554	CLJU_c12390	1	f	f
1340618	1343874	CLJU_c12400 CLJU_c12410 CLJU_c12420 CLJU_c12430	1	f	f
1344159	1345771	CLJU_c12440 CLJU_c12450	1	f	f
1345947	1349603	CLJU_c12460 CLJU_c12470 CLJU_c12480	1	f	f
1349680	1351159	CLJU_c12490	1	f	f
1351513	1354701	CLJU_c12500 CLJU_c12510 CLJU_c12520 CLJU_c12530 CLJU_c12540	1	f	f
1354793	1356995	CLJU_c12550	1	f	f
1357100	1359192	CLJU_c12560 CLJU_c12570 CLJU_c12580	1	f	f
135893	136619	CLJU_c01320	-1	t	f
1359280	1366498	CLJU_c12590 CLJU_c12600 CLJU_c12610 CLJU_c12620 CLJU_c12630 CLJU_c12640 CLJU_c12650	1	f	f
1366620	1366794	CLJU_c12660	1	f	f
1366620	1367121	CLJU_c12670	-1	f	f
1366929	1369356	CLJU_c12680 CLJU_c12690	1	f	f
136795	136869	CLJU_c01330	1	f	t
1369413	1371453	CLJU_c12700	1	f	f
1371839	1373446	CLJU_c12710 CLJU_c12720 CLJU_c12730	1	f	f
1372921	1374595	CLJU_c12740	-1	f	f
137372	137810	CLJU_c01340	1	f	f
137372	139809	CLJU_c01350 CLJU_c01360	-1	f	f
1374675	1375905	CLJU_c12750	-1	f	f
1374675	1378558	CLJU_c12760 CLJU_c12770 CLJU_c12780	1	f	f
1378621	1379324	CLJU_c12790 CLJU_c12800	1	t	f
1379436	1380450	CLJU_c12810	1	f	f
1380568	1380802	CLJU_c12820	1	t	f
1381076	1382870	CLJU_c12830 CLJU_c12840	1	f	f
1383005	1387515	CLJU_c12850 CLJU_c12860	1	f	f
1387639	1389341	CLJU_c12870 CLJU_c12880	1	f	f
138867	142454	CLJU_c01370 CLJU_c01380 CLJU_c01390	1	f	f
1389400	1389904	CLJU_c12890 CLJU_c12900	1	f	f
1390028	1391236	CLJU_c12910 CLJU_c12920	1	f	f
1391368	1394054	CLJU_c12930 CLJU_c12940 CLJU_c12950 CLJU_c12960	1	f	f
1393196	1394429	CLJU_c12970	-1	f	f
1394768	1396286	CLJU_c12980	-1	f	f
1394768	1397557	CLJU_c12990	1	f	f
1397669	1399778	CLJU_c13000	1	f	f
1400094	1400871	CLJU_c13010	1	f	f
1401215	1401923	CLJU_c13020	1	f	f
1402173	1403094	CLJU_c13030	1	t	f
1403190	1404482	CLJU_c13040 CLJU_c13050	1	f	f
1404642	1405410	CLJU_c13060	1	f	f
1405483	1406281	CLJU_c13070	1	t	f
1406680	1409959	CLJU_c13080 CLJU_c13090 CLJU_c13100	1	f	f
1410223	1417636	CLJU_c13110 CLJU_c13120 CLJU_c13130 CLJU_c13140 CLJU_c13150 CLJU_c13160 CLJU_c13170 CLJU_c13180 CLJU_c13190	1	f	f
1417751	1418015	CLJU_c13200	1	f	f
1418077	1420231	CLJU_c13210	1	f	f
1420338	1421637	CLJU_c13220	1	f	f
1421723	1421996	CLJU_c13230	1	f	f
1422102	1422768	CLJU_c13240	1	f	f
1422951	1425210	CLJU_c13250	1	f	f
1425269	1427181	CLJU_c13260 CLJU_c13270	1	f	f
142584	144999	CLJU_c01400 CLJU_c01410 CLJU_c01420 CLJU_c01430	1	f	f
1427326	1428415	CLJU_c13280	1	t	f
1428650	1430195	CLJU_c13290	1	t	f
1430345	1430594	CLJU_c13300	1	f	f
1430751	1433285	CLJU_c13310 CLJU_c13320 CLJU_c13330	1	f	f
1433356	1434550	CLJU_c13340	1	f	f
1434674	1434935	CLJU_c13350	1	f	f
1434674	1435193	CLJU_c13360	-1	t	f
1434977	1436871	CLJU_c13370	1	f	f
1437006	1437939	CLJU_c13380	1	f	f
1437006	1439393	CLJU_c13390	-1	t	f
1437950	1440809	CLJU_c13400	1	t	f
1439753	1442166	CLJU_c13410	-1	t	f
1440924	1442970	CLJU_c13420	1	f	f
1442361	1444572	CLJU_c13430	-1	t	f
1444738	1445341	CLJU_c13440	-1	f	f
1444738	1446175	CLJU_c13450	1	t	f
1445797	1448300	CLJU_c13460	-1	t	f
1446299	1450436	CLJU_c13470 CLJU_c13480	1	f	f
1450726	1451872	CLJU_c13490	1	t	f
1451926	1452358	CLJU_c13500 CLJU_c13510	1	f	f
1452082	1456170	CLJU_c13520 CLJU_c13530	-1	f	f
145244	145418	CLJU_c01440	1	f	f
1454778	1457290	CLJU_c13540	1	f	f
145564	147207	CLJU_c01450 CLJU_c01460	1	f	f
1457410	1457638	CLJU_c13550	1	f	f
1457810	1458962	CLJU_c13560	1	t	f
1459114	1461135	CLJU_c13570 CLJU_c13580	1	f	f
14598	15102	CLJU_c00120	1	f	f
1461228	1461354	CLJU_c13590	1	f	f
1461552	1462344	CLJU_c13600	1	f	f
1462421	1463066	CLJU_c13610	1	f	f
1463225	1465099	CLJU_c13620 CLJU_c13630	1	f	f
1465324	1465777	CLJU_c13640	1	f	f
1465324	1466131	CLJU_c13650	-1	f	f
1465957	1468783	CLJU_c13660 CLJU_c13670	1	t	f
1467796	1469397	CLJU_c13680	-1	t	f
1468824	1470543	CLJU_c13690 CLJU_c13700	1	f	f
1470665	1471763	CLJU_c13710	1	t	f
1471940	1472198	CLJU_c13720	1	f	f
1472348	1472693	CLJU_c13730	1	f	f
1472780	1474290	CLJU_c13740 CLJU_c13750	1	t	f
147381	148980	CLJU_c01470 CLJU_c01480	1	f	f
1474834	1476868	CLJU_c13760	1	t	f
1474834	1479097	CLJU_c13770 CLJU_c13780	-1	f	f
1478380	1481672	CLJU_c13790 CLJU_c13800 CLJU_c13810	1	f	f
1480940	1482655	CLJU_c13820	-1	f	f
1481914	1484859	CLJU_c13830	1	f	f
1484923	1485658	CLJU_c13840	1	t	f
1484923	1486096	CLJU_c13850	-1	t	f
1485700	1487765	CLJU_c13860	1	t	f
1486373	1489275	CLJU_c13870	-1	t	f
1487865	1492806	CLJU_c13880 CLJU_c13890 CLJU_c13900	1	f	f
1491420	1493681	CLJU_c13910	-1	f	f
149244	150282	CLJU_c01490	1	f	f
1493858	1495017	CLJU_c13920 CLJU_c13930	-1	t	f
1494450	1497555	CLJU_c13940 CLJU_c13950	1	t	f
1497756	1500318	CLJU_c13960 CLJU_c13970 CLJU_c13980	1	f	f
1500381	1500660	CLJU_c13990	1	f	f
1500723	1501152	CLJU_c14000	1	f	f
1501446	1501788	CLJU_c14010	1	t	f
1501446	1502132	CLJU_c14020	-1	t	f
1502276	1502712	CLJU_c14030 CLJU_c14040	-1	f	f
1502424	1503632	CLJU_c14050 CLJU_c14060	1	f	f
