,value
STM0339,MONOMER
STM0340,MONOMER
STM0341,MONOMER
STM0342,MONOMER
STM0343,MONOMER
STM0344,MONOMER
STM0345,MONOMER
STM0346,MONOMER
STM0347,MONOMER
STM0348,MONOMER
STM0349,MONOMER
STM0350,MONOMER
STM0351,MONOMER
STM0352,MONOMER
STM0353,MONOMER
STM0354,MONOMER
STM0355,MONOMER
STM0356,MONOMER
STM0357,MONOMER
STM0358,MONOMER
STM0359,MONOMER
STM0360,MONOMER
STM0361,MONOMER
STM0362,MONOMER
STM0363,MONOMER
STM0364,MONOMER
STM0365,MONOMER
STM0366,MONOMER
STM0367,MONOMER
STM0368,MONOMER
STM0369,MONOMER
STM0370,MONOMER
STM0371,MONOMER
STM0372,MONOMER
STM0373,MONOMER
STM0374,MONOMER
STM0375,MONOMER
STM0376,MONOMER
STM0377,MONOMER
STM0378,MONOMER
STM0379,MONOMER
STM0380,MONOMER
STM0381,MONOMER
STM0382,MONOMER
STM0383,MONOMER
STM0384,MONOMER
STM0385,MONOMER
STM0386,MONOMER
STM0387,MONOMER
STM0388,MONOMER
STM0389,MONOMER
STM0390,MONOMER
STM0391,MONOMER
STM0392,MONOMER
STM0393,MONOMER
STM0394,MONOMER
STM0395,MONOMER
STM0396,MONOMER
STM0397,MONOMER
STM0398,MONOMER
STM0399,MONOMER
STM0400,MONOMER
STM0401,MONOMER
STM0402,MONOMER
STM0403,MONOMER
STM0404,MONOMER
STM0405,MONOMER
STM0406,MONOMER
STM0407,MONOMER
STM0408,MONOMER
STM0409,MONOMER
STM0410,MONOMER
STM0411,MONOMER
STM0412,MONOMER
STM0413,MONOMER
STM0414,MONOMER
STM0415,MONOMER
STM0416,MONOMER
STM0417,MONOMER
STM0418,MONOMER
STM0419,MONOMER
STM0420,MONOMER
STM0421,MONOMER
STM0422,MONOMER
STM0423,MONOMER
STM0424,MONOMER
STM0425,MONOMER
STM0426,MONOMER
STM0427,MONOMER
STM0428,MONOMER
STM0429,MONOMER
STM0430,MONOMER
STM0431,MONOMER
STM0432,MONOMER
STM0433,MONOMER
STM0434,MONOMER
STM0435,MONOMER
STM0436,MONOMER
STM0436A,MONOMER
STM0437,MONOMER
STM0438,MONOMER
STM0439,MONOMER
STM0440,MONOMER
STM0441,MONOMER
STM0442,MONOMER
STM0443,MONOMER
STM0444,MONOMER
STM0445,MONOMER
STM0446,MONOMER
STM0447,MONOMER
STM0448,MONOMER
STM0449,MONOMER
STM0450,MONOMER
STM0451,MONOMER
STM0452,MONOMER
STM0453,MONOMER
STM0454,MONOMER
STM0455,MONOMER
STM0456,MONOMER
STM0457,MONOMER
STM0458,MONOMER
STM0459,MONOMER
STM0460,MONOMER
STM0461,MONOMER
STM0462,MONOMER
STM0463,MONOMER
STM0464,MONOMER
STM0465,MONOMER
STM0466,MONOMER
STM0467,ncRNA
STM0468,MONOMER
STM0469,MONOMER
STM0470,MONOMER
STM0471,MONOMER
STM0472,MONOMER
STM0473,MONOMER
STM0474,MONOMER
STM0475,MONOMER
STM0476,MONOMER
STM0477,MONOMER
STM0478,MONOMER
STM0479,MONOMER
STM0480,MONOMER
STM0481,MONOMER
STM0482,MONOMER
STM0483,MONOMER
STM0484,MONOMER
STM0485,MONOMER
STM0486,MONOMER
STM0487,MONOMER
STM0488,MONOMER
STM0489,MONOMER
STM0490,MONOMER
STM0491,MONOMER
STM0492,MONOMER
STM0493,MONOMER
STM0494,MONOMER
STM0495,MONOMER
STM0496,MONOMER
STM0497,MONOMER
STM0498,MONOMER
STM0499,MONOMER
STM0500,MONOMER
STM0501,MONOMER
STM0502,MONOMER
STM0503,MONOMER
STM0504,MONOMER
STM0505,MONOMER
STM0506,MONOMER
STM0507,MONOMER
STM0508,MONOMER
STM0509,MONOMER
STM0510,MONOMER
STM0511,MONOMER
STM0512,MONOMER
STM0513,MONOMER
STM0514,MONOMER
STM0515,MONOMER
STM0516,MONOMER
STM0517,MONOMER
STM0518,MONOMER
STM0519,MONOMER
STM0520,MONOMER
STM0521,MONOMER
STM0522,MONOMER
STM0523,MONOMER
STM0524,MONOMER
STM0525,MONOMER
STM0526,MONOMER
STM0527,MONOMER
STM0528,MONOMER
STM0529,MONOMER
STM0530,MONOMER
STM0531,MONOMER
STM0532,MONOMER
STM0533,MONOMER
STM0534,MONOMER
STM0535,MONOMER
STM0536,MONOMER
STM0537,MONOMER
STM0538,MONOMER
STM0539,MONOMER
STM0540,MONOMER
STM0541,MONOMER
STM0542,MONOMER
STM0543,MONOMER
STM0544,MONOMER
STM0545,MONOMER
STM0546,MONOMER
STM0547,MONOMER
STM0548,MONOMER
STM0549,MONOMER
STM0550,MONOMER
STM0551,MONOMER
STM0552,MONOMER
STM0553,tRNA
STM0554,MONOMER
STM0556,MONOMER
STM0557,MONOMER
STM0558,MONOMER
STM0559,MONOMER
STM0561,MONOMER
STM0562,MONOMER
STM0563,MONOMER
STM0564,MONOMER
STM0565,MONOMER
STM0566,MONOMER
STM0567,MONOMER
STM0568,MONOMER
STM0569,MONOMER
STM0570,MONOMER
STM0571,MONOMER
STM0572,MONOMER
STM0573,MONOMER
STM0574,MONOMER
STM0575,MONOMER
STM0576,MONOMER
STM0577,MONOMER
STM0578,MONOMER
STM0579,MONOMER
STM0580,MONOMER
STM0581,MONOMER
STM0582,MONOMER
STM0583,MONOMER
STM0584,MONOMER
STM0585,MONOMER
STM0586,MONOMER
STM0587,MONOMER
STM0588,MONOMER
STM0589,MONOMER
STM0590,MONOMER
STM0591,MONOMER
STM0592,MONOMER
STM0593,MONOMER
STM0594,MONOMER
STM0595,MONOMER
STM0596,MONOMER
STM0597,MONOMER
STM0598,MONOMER
STM0599,MONOMER
STM0600,MONOMER
STM0601,MONOMER
STM0602,MONOMER
STM0603,MONOMER
STM0604,MONOMER
STM0605,MONOMER
STM0606,MONOMER
STM0607,MONOMER
STM0608,MONOMER
STM0609,MONOMER
STM0610,MONOMER
STM0611,MONOMER
STM0612,MONOMER
STM0613,MONOMER
STM0614,MONOMER
STM0615,MONOMER
STM0616,MONOMER
STM0617,MONOMER
STM0618,MONOMER
STM0619,MONOMER
STM0620,MONOMER
STM0621,MONOMER
STM0622,MONOMER
STM0623,MONOMER
STM0624,MONOMER
STM0625,MONOMER
STM0626,MONOMER
STM0627,MONOMER
STM0628,MONOMER
STM0629,MONOMER
STM0630,MONOMER
STM0631,MONOMER
STM0632,MONOMER
STM0633,MONOMER
STM0634,MONOMER
STM0635,MONOMER
STM0636,MONOMER
STM0637,MONOMER
STM0638,MONOMER
STM0639,MONOMER
STM0640,MONOMER
STM0641,MONOMER
STM0642,MONOMER
STM0643,MONOMER
STM0644,MONOMER
STM0645,MONOMER
STM0646,MONOMER
STM0647,MONOMER
STM0648,MONOMER
STM0649,MONOMER
STM0650,MONOMER
STM0651,MONOMER
STM0652,MONOMER
STM0653,MONOMER
STM0654,MONOMER
STM0655,MONOMER
STM0656,MONOMER
STM0657,MONOMER
STM0658,MONOMER
STM0659,MONOMER
STM0660,MONOMER
STM0661,MONOMER
STM0662,MONOMER
STM0663,MONOMER
STM0664,MONOMER
STM0665,MONOMER
STM0666,MONOMER
STM0667,MONOMER
STM0668,MONOMER
STM0669,MONOMER
STM0670,MONOMER
STM0671,MONOMER
STM0672,MONOMER
STM0673,tRNA
STM0674,tRNA
STM0675,tRNA
STM0676,tRNA
STM0677,tRNA
