,name,genes,source
TM0759-MONOMER,acyltransferase,TM0759(),GenBank
TM0760-MONOMER,glycosyltransferase family 4 protein,TM0760(),GenBank
TM0761-MONOMER,MFS transporter,TM0761(),GenBank
TM0762-MONOMER,30S ribosomal protein S2,TM0762(1),GenBank
TM0763-MONOMER,heavy metal-binding domain-containing protein,TM0763(),GenBank
TM0764-MONOMER,ABC transporter permease subunit,TM0764(),GenBank
TM0765-MONOMER,ABC transporter ATP-binding protein,TM0765(),GenBank
TM0766-MONOMER,GntR family transcriptional regulator,TM0766(),GenBank
TM0767-MONOMER,DUF1923 family maltosyltransferase,TM0767(),GenBank
TM0768-MONOMER,ribosome biogenesis GTPase YlqF,TM0768(),GenBank
TM0769-MONOMER,phospho-sugar mutase,TM0769(),GenBank
TM0770-MONOMER,TIGR03960 family B12-binding radical SAM protein,TM0770(),GenBank
TM0771-MONOMER,DNA polymerase III subunit delta',TM0771(),GenBank
TM0772-MONOMER,stage 0 sporulation family protein,TM0772(),GenBank
TM0773-MONOMER,DUF2905 domain-containing protein,TM0773(),GenBank
TM0774-MONOMER,50S ribosomal protein L7ae family protein,TM0774(),GenBank
TM0775-MONOMER,translation initiation factor IF-2,TM0775(1),GenBank
TM0776-MONOMER,RNA-guided endonuclease TnpB family protein,TM0776(),GenBank
TM0777-MONOMER,IS200/IS605 family transposase,TM0777(),GenBank
TM0778-MONOMER,hypothetical protein,TM0778(),GenBank
TM0779-MONOMER,Mut7-C RNAse domain-containing protein,TM0779(),GenBank
TM0780-MONOMER,peroxiredoxin,TM0780(1),GenBank
TM0781-MONOMER,hypothetical protein,TM0781(),GenBank
TM0782-MONOMER,glycosidase,TM0782(),GenBank
TM0784-MONOMER,hypothetical protein,TM0784(),GenBank
TM0785-MONOMER,family 1 encapsulin nanocompartment shell protein,TM0785(),GenBank
TM0786-MONOMER,ferritin-like domain-containing protein,TM0786(),GenBank
TM0787-MONOMER,sulfide-dependent adenosine diphosphate thiazole synthase,TM0787(),GenBank
TM0788-MONOMER,phosphomethylpyrimidine synthase ThiC,TM0788(1),GenBank
TM0789-MONOMER,sugar phosphate isomerase/epimerase,TM0789(),GenBank
TM0790-MONOMER,thiamine-phosphate synthase family protein,TM0790(),GenBank
TM0791-MONOMER,preQ(1) synthase,TM0791(),GenBank
TM0792-MONOMER,queuosine precursor transporter,TM0792(),GenBank
TM0793-MONOMER,ABC transporter ATP-binding protein,TM0793(),GenBank
TM0794-MONOMER,hypothetical protein,TM0794(),GenBank
TM0795-MONOMER,PfkB family carbohydrate kinase,TM0795(),GenBank
TM0796-MONOMER,DUF1611 domain-containing protein,TM0796(),GenBank
TM0797-MONOMER,2-phosphosulfolactate phosphatase family protein,TM0797(),GenBank
TM0798-MONOMER,ACP S-malonyltransferase,TM0798(),GenBank
TM0799-MONOMER,biotin transporter BioY,TM0799(),GenBank
TM0800-MONOMER,enoyl-[acyl-carrier-protein] reductase FabK,TM0800(),GenBank
TM0801-MONOMER,3-hydroxyacyl-ACP dehydratase FabZ,TM0801(),GenBank
TM0802-MONOMER,beta-ketoacyl-ACP synthase II,TM0802(2),GenBank
TM0803-MONOMER,CTP synthase,TM0803(4),GenBank
TM0804-MONOMER,PHP domain-containing protein,TM0804(),GenBank
TM0805-MONOMER,MraY family glycosyltransferase,TM0805(),GenBank
TM0806-MONOMER,O-antigen ligase,TM0806(),GenBank
TM0807-MONOMER,peroxiredoxin,TM0807(),GenBank
TM0808-MONOMER,ROK family transcriptional regulator,TM0808(),GenBank
TM0809-MONOMER,beta-N-acetylglucosaminidase,TM0809(1),GenBank
TM0810-MONOMER,sugar ABC transporter substrate-binding protein,TM0810(),GenBank
TM0811-MONOMER,sugar ABC transporter permease,TM0811(),GenBank
TM0812-MONOMER,carbohydrate ABC transporter permease,TM0812(),GenBank
TM0813-MONOMER,SIS domain-containing protein,TM0813(),GenBank
TM0814-MONOMER,N-acetylglucosamine-6-phosphate deacetylase,TM0814(4),GenBank
TM0815-MONOMER,MATE family efflux transporter,TM0815(),GenBank
TM0816-MONOMER,MarR family transcriptional regulator,TM0816(),GenBank
TM0817-MONOMER,RND family transporter,TM0817(),GenBank
TM0818-MONOMER,WecB/TagA/CpsF family glycosyltransferase,TM0818(1),GenBank
TM0819-MONOMER,solute carrier family 23 protein,TM0819(1),GenBank
TM0820-MONOMER,iron-containing alcohol dehydrogenase,TM0820(),GenBank
TM0821-MONOMER,phenylalanine--tRNA ligase subunit alpha,TM0821(),GenBank
TM0822-MONOMER,phenylalanine--tRNA ligase subunit beta,TM0822(),GenBank
TM0823-MONOMER,TetR/AcrR family transcriptional regulator,TM0823(),GenBank
TM0824-MONOMER,radical SAM protein,TM0824(),GenBank
TM0825-MONOMER,radical SAM protein,TM0825(),GenBank
TM0826-MONOMER,hypothetical protein,TM0826(),GenBank
TM0827-MONOMER,ATP-binding cassette domain-containing protein,TM0827(),GenBank
TM0828-MONOMER,1-phosphofructokinase family hexose kinase,TM0828(2),GenBank
TM0829-MONOMER,CBS domain-containing protein,TM0829(),GenBank
TM0830-MONOMER,tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))- methylthiotransferase MtaB,TM0830(),GenBank
TM0831-MONOMER,aminotransferase class IV,TM0831(6),GenBank
TM0832-MONOMER,DciA family protein,TM0832(),GenBank
TM0833-MONOMER,DNA topoisomerase (ATP-hydrolyzing) subunit B,TM0833(),GenBank
TM_RS09650-MONOMER,DUF4894 domain-containing protein,TM_RS09650(),GenBank
TM0835-MONOMER,cell division protein FtsA,TM0835(),GenBank
TM0836-MONOMER,cell division protein FtsZ,TM0836(),GenBank
TM0837-MONOMER,GspE/PulE family protein,TM0837(),GenBank
TM0838-MONOMER,COG1361 S-layer family protein,TM0838(),GenBank
TM0839-MONOMER,FtsW/RodA/SpoVE family cell cycle protein,TM0839(),GenBank
TM0840-MONOMER,hypothetical protein,TM0840(),GenBank
TM0841-MONOMER,PEGA domain-containing protein,TM0841(),GenBank
TM0842-MONOMER,response regulator,TM0842(),GenBank
TM0843-MONOMER,glutamate formimidoyltransferase,TM0843(),GenBank
TM0844-MONOMER,23S rRNA (pseudouridine(1915)-N(3))-methyltransferase RlmH,TM0844(2),GenBank
TM0845-MONOMER,hemolysin family protein,TM0845(),GenBank
TM0846-MONOMER,cytidine deaminase,TM0846(),GenBank
TM0847-MONOMER,GTPase Era,TM0847(2),GenBank
TM0848-MONOMER,ribosome biogenesis GTPase YqeH,TM0848(),GenBank
TM0849-MONOMER,molecular chaperone DnaJ,TM0849(2),GenBank
TM0850-MONOMER,nucleotide exchange factor GrpE,TM0850(2),GenBank
TM0851-MONOMER,heat-inducible transcriptional repressor HrcA,TM0851(),GenBank
TM0852-MONOMER,L-threonylcarbamoyladenylate synthase,TM0852(1),GenBank
TM0853-MONOMER,GAF domain-containing sensor histidine kinase,TM0853(),GenBank
TM0854-MONOMER,HDOD domain-containing protein,TM0854(),GenBank
TM0855-MONOMER,30S ribosome-binding factor RbfA,TM0855(1),GenBank
TM0856-MONOMER,tRNA pseudouridine(55) synthase TruB,TM0856(1),GenBank
TM0857-MONOMER,riboflavin biosynthesis protein RibF,TM0857(1),GenBank
TM0858-MONOMER,ECF transporter S component,TM0858(),GenBank
TM0859-MONOMER,preprotein translocase subunit YajC,TM0859(),GenBank
TM0860-MONOMER,protein translocase subunit SecD,TM0860(),GenBank
TM0861-MONOMER,protein translocase subunit SecF,TM0861(),GenBank
TM0862-MONOMER,glucose-1-phosphate thymidylyltransferase,TM0862(1),GenBank
TM0863-MONOMER,50S ribosomal protein L9,TM0863(),GenBank
TM0864-MONOMER,ribonuclease Z,TM0864(2),GenBank
TM0865-MONOMER,NfeD family protein,TM0865(),GenBank
TM0866-MONOMER,SPFH/Band 7/PHB domain protein,TM0866(),GenBank
TM0867-MONOMER,hypothetical protein,TM0867(),GenBank
TM0868-MONOMER,thioredoxin family protein,TM0868(),GenBank
TM0869-MONOMER,thioredoxin-disulfide reductase,TM0869(),GenBank
TM0870-MONOMER,penicillin-binding protein,TM0870(1),GenBank
TM0871-MONOMER,hypothetical protein,TM0871(),GenBank
TM0872-MONOMER,16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH,TM0872(),GenBank
TM0873-MONOMER,ATP-dependent Clp protease ATP-binding subunit,TM0873(),GenBank
TM0874-MONOMER,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,TM0874(),GenBank
TM0875-MONOMER,DUF3855 domain-containing protein,TM0875(),GenBank
TM0876-MONOMER,cation diffusion facilitator family transporter,TM0876(2),GenBank
TM0877-MONOMER,phosphopyruvate hydratase,TM0877(2),GenBank
TM0878-MONOMER,2-oxoacid:acceptor oxidoreductase subunit alpha,TM0878(),GenBank
TM0879-MONOMER,4Fe-4S binding protein,TM0879(),GenBank
TM0880-MONOMER,sodium ion-translocating decarboxylase subunit beta,TM0880(),GenBank
TM0881-MONOMER,homoserine O-succinyltransferase,TM0881(2),GenBank
TM0882-MONOMER,O-acetyl-L-homoserine sulfhydrylase,TM0882(4),GenBank
TM0883-MONOMER,type III pantothenate kinase,TM0883(),GenBank
TM0884-MONOMER,radical SAM protein,TM0884(),GenBank
TM0885-MONOMER,pyruvate kinase alpha/beta domain-containing protein,TM0885(),GenBank
TM0886-MONOMER,transglycosylase domain-containing protein,TM0886(2),GenBank
TM0887-MONOMER,methylated-DNA--[protein]-cysteine S-methyltransferase,TM0887(),GenBank
TM0888-MONOMER,thiamine diphosphokinase,TM0888(),GenBank
TM0889-MONOMER,1-deoxy-D-xylulose-5-phosphate reductoisomerase,TM0889(2),GenBank
TM0890-MONOMER,site-2 protease family protein,TM0890(),GenBank
TM0891-MONOMER,flavodoxin-dependent (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase,TM0891(1),GenBank
TM0892-MONOMER,CBS domain-containing protein,TM0892(),GenBank
TM0893-MONOMER,undecaprenyl-diphosphate phosphatase,TM0893(1),GenBank
TM0894-MONOMER,MBL fold metallo-hydrolase,TM0894(),GenBank
TM0895-MONOMER,glycogen synthase,TM0895(1),GenBank
TM0896-MONOMER,galactose-1-phosphate uridylyltransferase,TM0896(),GenBank
TM0897-MONOMER,stage V sporulation protein S,TM0897(),GenBank
TM0898-MONOMER,hypothetical protein,TM0898(),GenBank
TM0899-MONOMER,hypothetical protein,TM0899(),GenBank
TM0900-MONOMER,hypothetical protein,TM0900(),GenBank
TM0901-MONOMER,hypothetical protein,TM0901(),GenBank
TM0902-MONOMER,FliA/WhiG family RNA polymerase sigma factor,TM0902(1),GenBank
TM0903-MONOMER,chemoreceptor glutamine deamidase CheD,TM0903(),GenBank
TM0904-MONOMER,CheY-P phosphatase CheC,TM0904(),GenBank
TM0905-MONOMER,flagellar brake protein,TM0905(),GenBank
TM0906-MONOMER,MinD/ParA family protein,TM0906(),GenBank
TM0907-MONOMER,flagellar biosynthesis protein FlhF,TM0907(),GenBank
TM0908-MONOMER,flagellar biosynthesis protein FlhA,TM0908(),GenBank
TM0909-MONOMER,flagellar biosynthesis protein FlhB,TM0909(),GenBank
TM0910-MONOMER,flagellar biosynthetic protein FliR,TM0910(),GenBank
TM0911-MONOMER,S-methyl-5-thioribose-1-phosphate isomerase,TM0911(),GenBank
TM0912-MONOMER,peptidyl-prolyl cis-trans isomerase,TM0912(),GenBank
TM0913-MONOMER,nucleoside triphosphate pyrophosphohydrolase,TM0913(2),GenBank
TM0914-MONOMER,TIGR00153 family protein,TM0914(),GenBank
TM0915-MONOMER,ribonuclease HII,TM0915(),GenBank
TM0916-MONOMER,ATP-dependent Clp protease proteolytic subunit,TM0916(),GenBank
TM0917-MONOMER,inorganic phosphate transporter,TM0917(),GenBank
TM0918-MONOMER,methyl-accepting chemotaxis protein,TM0918(),GenBank
TM0919-MONOMER,OsmC family protein,TM0919(),GenBank
TM0920-MONOMER,iron-containing alcohol dehydrogenase family protein,TM0920(),GenBank
TM0921-MONOMER,lytic transglycosylase domain-containing protein,TM0921(),GenBank
TM0922-MONOMER,NAD(P)H-hydrate dehydratase,TM0922(),GenBank
TM0923-MONOMER,tetratricopeptide repeat protein,TM0923(),GenBank
TM0924-MONOMER,radical SAM protein,TM0924(),GenBank
TM0925-MONOMER,tRNA (guanosine(46)-N7)-methyltransferase TrmB,TM0925(1),GenBank
TM0926-MONOMER,chromosomal replication initiator protein DnaA,TM0926(),GenBank
TM0927-MONOMER,ferredoxin,TM0927(),GenBank
TM0928-MONOMER,DUF4895 domain-containing protein,TM0928(),GenBank
TM0929-MONOMER,VWA-like domain-containing protein,TM0929(),GenBank
TM0930-MONOMER,MoxR family ATPase,TM0930(),GenBank
TM0931-MONOMER,hypothetical protein,TM0931(),GenBank
TM0932-MONOMER,restriction endonuclease,TM0932(),GenBank
TM0933-MONOMER,PD40 domain-containing protein,TM0933(),GenBank
TM0934-MONOMER,ArsB/NhaD family transporter,TM0934(),GenBank
TM0935-MONOMER,CBS domain-containing protein,TM0935(),GenBank
TM0936-MONOMER,5-methylthioadenosine/S-adenosylhomocysteine deaminase,TM0936(),GenBank
TM0937-MONOMER,PadR family transcriptional regulator,TM0937(),GenBank
TM0938-MONOMER,class I SAM-dependent methyltransferase,TM0938(2),GenBank
TM0939-MONOMER,aspartate 1-decarboxylase,TM0939(1),GenBank
TM0940-MONOMER,RluA family pseudouridine synthase,TM0940(1),GenBank
TM0941-MONOMER,hypothetical protein,TM0941(),GenBank
TM0942-MONOMER,DUF5693 family protein,TM0942(),GenBank
TM0943-MONOMER,type I glutamate--ammonia ligase,TM0943(12),GenBank
TM0944-MONOMER,hypothetical protein,TM0944(),GenBank
TM0945-MONOMER,PhoPQ-activated pathogenicity-related family protein,TM0945(),GenBank
TM0946-MONOMER,LVIVD repeat-containing protein,TM0946(),GenBank
TM0947-MONOMER,DUF429 domain-containing protein,TM0947(),GenBank
TM0948-MONOMER,radical SAM protein,TM0948(),GenBank
TM0949-MONOMER,LacI family DNA-binding transcriptional regulator,TM0949(),GenBank
TM0950-MONOMER,DUF5605 domain-containing protein,TM0950(),GenBank
TM0951-MONOMER,L-fucose/L-arabinose isomerase family protein,TM0951(),GenBank
TM0952-MONOMER,glycerol kinase GlpK,TM0952(),GenBank
TM0953-MONOMER,transketolase family protein,TM0953(),GenBank
TM0954-MONOMER,transketolase,TM0954(),GenBank
TM0955-MONOMER,hypothetical protein,TM0955(),GenBank
TM0956-MONOMER,sugar ABC transporter ATP-binding protein,TM0956(),GenBank
TM0957-MONOMER,DUF2291 domain-containing protein,TM0957(),GenBank
TM0958-MONOMER,D-ribose ABC transporter substrate-binding protein,TM0958(),GenBank
TM0959-MONOMER,D-ribose pyranase,TM0959(),GenBank
TM0960-MONOMER,ribokinase,TM0960(2),GenBank
TM0961-MONOMER,LemA family protein,TM0961(),GenBank
TM0962-MONOMER,YgcG family protein,TM0962(),GenBank
TM0963-MONOMER,M3 family oligoendopeptidase,TM0963(),GenBank
TM0964-MONOMER,nickel pincer cofactor biosynthesis protein LarC,TM0964(),GenBank
TM0965-MONOMER,nickel pincer cofactor biosynthesis protein LarB,TM0965(),GenBank
TM0966-MONOMER,ATP-dependent sacrificial sulfur transferase LarE,TM0966(),GenBank
TM0967-MONOMER,tyrosine-type recombinase/integrase,TM0967(),GenBank
TM0968-MONOMER,GNAT family protein,TM0968(4),GenBank
TM0969-MONOMER,hypothetical protein,TM0969(),GenBank
TM_RS09655-MONOMER,hypothetical protein,TM_RS09655(),GenBank
TM0972-MONOMER,GGDEF domain-containing protein,TM0972(),GenBank
TM_RS09575-MONOMER,methyl-accepting chemotaxis protein,TM_RS09575(),GenBank
TM0974-MONOMER,hypothetical protein,TM0974(),GenBank
TM0975-MONOMER,hypothetical protein,TM0975(),GenBank
TM0977-MONOMER,hypothetical protein,TM0977(),GenBank
TM0978-MONOMER,sulfurtransferase TusA family protein,TM0978(),GenBank
TM0979-MONOMER,sulfurtransferase complex subunit TusB,TM0979(),GenBank
TM0980-MONOMER,hypothetical protein,TM0980(),GenBank
TM0981-MONOMER,DsrE/DsrF/TusD sulfur relay family protein,TM0981(),GenBank
TM0982-MONOMER,YeeE/YedE family protein,TM0982(),GenBank
TM0983-MONOMER,sulfurtransferase TusA family protein,TM0983(),GenBank
TM0984-MONOMER,alpha-2-macroglobulin,TM0984(),GenBank
TM0985-MONOMER,hypothetical protein,TM0985(),GenBank
TM0986-MONOMER,DUF1175 domain-containing protein,TM0986(),GenBank
TM0987-MONOMER,DUF1156 domain-containing protein,TM0987(),GenBank
TM0988-MONOMER,ATP-binding protein,TM0988(),GenBank
TM0989-MONOMER,hypothetical protein,TM0989(),GenBank
TM0990-MONOMER,helicase-related protein,TM0990(),GenBank
TM0991-MONOMER,DUF262 domain-containing protein,TM0991(),GenBank
TM0992-MONOMER,hypothetical protein,TM0992(),GenBank
TM_RS05060-MONOMER,transposase,TM_RS05060(),GenBank
TM0993-MONOMER,hypothetical protein,TM0993(),GenBank
TM0996-MONOMER,thioredoxin family protein,TM0996(),GenBank
TM0997-MONOMER,permease,TM0997(),GenBank
TM0998-MONOMER,metalloregulator ArsR/SmtB family transcription factor,TM0998(),GenBank
TM1000-MONOMER,HEPN domain-containing protein,TM1000(),GenBank
TM1001-MONOMER,nucleotidyltransferase domain-containing protein,TM1001(),GenBank
TM1002-MONOMER,PAS domain-containing protein,TM1002(),GenBank
TM1003-MONOMER,RNA-guided endonuclease TnpB family protein,TM1003(),GenBank
TM_RS09665-MONOMER,transposase,TM_RS09665(),GenBank
TM1004-MONOMER,DUF438 domain-containing protein,TM1004(),GenBank
TM1005-MONOMER,AraC family transcriptional regulator,TM1005(),GenBank
TM1006-MONOMER,aldo/keto reductase,TM1006(),GenBank
TM1007-MONOMER,MFS transporter,TM1007(),GenBank
TM1009-MONOMER,aldo/keto reductase,TM1009(1),GenBank
TM1010-MONOMER,cupin domain-containing protein,TM1010(),GenBank
TM1011-MONOMER,ATP-binding protein,TM1011(),GenBank
TM1012-MONOMER,hypothetical protein,TM1012(),GenBank
TM1013-MONOMER,hypothetical protein,TM1013(),GenBank
TM1014-MONOMER,DUF505 domain-containing protein,TM1014(),GenBank
TM1015-MONOMER,glutamate dehydrogenase,TM1015(6),GenBank
TM1016-MONOMER,hypothetical protein,TM1016(),GenBank
TM1017-MONOMER,DMT family transporter,TM1017(),GenBank
TM1018-MONOMER,hypothetical protein,TM1018(),GenBank
TM1019-MONOMER,hypothetical protein,TM1019(),GenBank
TM1020-MONOMER,hypothetical protein,TM1020(),GenBank
TM1021-MONOMER,MFS transporter,TM1021(),GenBank
TM1022-MONOMER,carboxylesterase,TM1022(),GenBank
TM1023-MONOMER,VanZ family protein,TM1023(),GenBank
TM1024-MONOMER,S24 family peptidase,TM1024(),GenBank
TM_RS05200-MONOMER,hypothetical protein,TM_RS05200(),GenBank
TM1026-MONOMER,RNA-guided endonuclease TnpB family protein,TM1026(),GenBank
TM1027-MONOMER,hypothetical protein,TM1027(),GenBank
TM1028-MONOMER,ABC transporter ATP-binding protein,TM1028(),GenBank
TM1029-MONOMER,ABC transporter permease subunit,TM1029(),GenBank
TM1030-MONOMER,TetR/AcrR family transcriptional regulator,TM1030(),GenBank
TM1031-MONOMER,glutaredoxin family protein,TM1031(1),GenBank
TM1032-MONOMER,MFS transporter,TM1032(),GenBank
TM1033-MONOMER,mannose-1-phosphate guanylyltransferase,TM1033(1),GenBank
TM1034-MONOMER,UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing),TM1034(1),GenBank
TM1035-MONOMER,bifunctional phosphoribosyl-AMP cyclohydrolase/phosphoribosyl-ATP diphosphatase HisIE,TM1035(1),GenBank
TM1036-MONOMER,imidazole glycerol phosphate synthase subunit HisF,TM1036(),GenBank
TM1037-MONOMER,1-(5-phosphoribosyl)-5-((5- phosphoribosylamino)methylideneamino)imidazole-4- carboxamide isomerase,TM1037(1),GenBank
TM1038-MONOMER,imidazole glycerol phosphate synthase subunit HisH,TM1038(),GenBank
TM1039-MONOMER,imidazoleglycerol-phosphate dehydratase,TM1039(2),GenBank
TM1040-MONOMER,histidinol-phosphate transaminase,TM1040(2),GenBank
TM1041-MONOMER,histidinol dehydrogenase,TM1041(2),GenBank
TM1042-MONOMER,ATP phosphoribosyltransferase,TM1042(2),GenBank
TM1043-MONOMER,HisS family protein,TM1043(),GenBank
TM1044-MONOMER,RNA-guided endonuclease TnpB family protein,TM1044(),GenBank
TM1045-MONOMER,ArsB/NhaD family transporter,TM1045(2),GenBank
TM1046-MONOMER,alpha/beta fold hydrolase,TM1046(),GenBank
TM1047-MONOMER,septum site-determining protein MinC,TM1047(),GenBank
TM1048-MONOMER,M42 family metallopeptidase,TM1048(),GenBank
TM1049-MONOMER,M42 family metallopeptidase,TM1049(),GenBank
TM1050-MONOMER,M42 family metallopeptidase,TM1050(),GenBank
TM1051-MONOMER,hypothetical protein,TM1051(),GenBank
TM1052-MONOMER,ComEA family DNA-binding protein,TM1052(),GenBank
TM1053-MONOMER,OmpH family outer membrane protein,TM1053(),GenBank
TM1054-MONOMER,LPS export ABC transporter ATP-binding protein,TM1054(),GenBank
TM1055-MONOMER,TIGR00725 family protein,TM1055(),GenBank
TM1056-MONOMER,divalent-cation tolerance protein CutA,TM1056(),GenBank
TM1057-MONOMER,potassium channel protein,TM1057(4),GenBank
TM1058-MONOMER,FMN-binding glutamate synthase family protein,TM1058(),GenBank
TM1059-MONOMER,stage V sporulation protein S,TM1059(),GenBank
TM1060-MONOMER,MFS transporter,TM1060(),GenBank
TM1061-MONOMER,DUF2264 domain-containing protein,TM1061(),GenBank
TM1062-MONOMER,glycoside hydrolase family 2 protein,TM1062(),GenBank
TM1063-MONOMER,ATP-binding cassette domain-containing protein,TM1063(),GenBank
TM1064-MONOMER,ABC transporter ATP-binding protein,TM1064(),GenBank
TM1065-MONOMER,ABC transporter permease,TM1065(),GenBank
TM1066-MONOMER,ABC transporter permease,TM1066(),GenBank
TM1067-MONOMER,ABC transporter substrate-binding protein,TM1067(),GenBank
TM1068-MONOMER,alpha-glucosidase AglA,TM1068(),GenBank
TM1069-MONOMER,DeoR/GlpR family DNA-binding transcription regulator,TM1069(),GenBank
TM1070-MONOMER,sensory rhodopsin transducer,TM1070(),GenBank
TM1071-MONOMER,L-rhamnose isomerase,TM1071(),GenBank
TM1072-MONOMER,rhamnulose-1-phosphate aldolase,TM1072(4),GenBank
TM1073-MONOMER,rhamnulokinase,TM1073(1),GenBank
TM1074-MONOMER,alpha-L-rhamnosidase,TM1074(),GenBank
TM1075-MONOMER,ATP-dependent sacrificial sulfur transferase LarE,TM1075(),GenBank
TM1076-MONOMER,metallophosphoesterase,TM1076(),GenBank
TM1077-MONOMER,pantoate--beta-alanine ligase,TM1077(2),GenBank
TM1078-MONOMER,DUF501 domain-containing protein,TM1078(),GenBank
TM1079-MONOMER,50S ribosomal protein L11 methyltransferase,TM1079(),GenBank
TM1080-MONOMER,ribose 5-phosphate isomerase B,TM1080(2),GenBank
TM1081-MONOMER,anti-sigma factor antagonist,TM1081(),GenBank
TM1082-MONOMER,transcriptional repressor LexA,TM1082(),GenBank
TM1083-MONOMER,archease,TM1083(),GenBank
TM1084-MONOMER,DNA gyrase subunit A,TM1084(),GenBank
TM1085-MONOMER,methionine--tRNA ligase,TM1085(2),GenBank
TM1086-MONOMER,DUF4438 domain-containing protein,TM1086(),GenBank
TM1087-MONOMER,rhomboid family intramembrane serine protease,TM1087(),GenBank
TM_RS05520-MONOMER,NAD-binding protein,TM_RS05520(),GenBank
TM1088-MONOMER,TrkA family potassium uptake protein,TM1088(),GenBank
TM1089-MONOMER,TrkH family potassium uptake protein,TM1089(),GenBank
TM1090-MONOMER,histidine--tRNA ligase,TM1090(2),GenBank
TM1091-MONOMER,hypothetical protein,TM1091(),GenBank
TM1092-MONOMER,hypothetical protein,TM1092(),GenBank
TM1093-MONOMER,arginine--tRNA ligase,TM1093(1),GenBank
TM1094-MONOMER,23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD,TM1094(1),GenBank
TM1095-MONOMER,adenylosuccinate lyase,TM1095(1),GenBank
TM1096-MONOMER,adenylosuccinate synthase,TM1096(2),GenBank
TM1097-MONOMER,ornithine carbamoyltransferase,TM1097(3),GenBank
TM_RS09680-MONOMER,CPBP family glutamic-type intramembrane protease,TM_RS09680(),GenBank
TM1099-MONOMER,dTMP kinase,TM1099(1),GenBank
TM1100-MONOMER,ABC transporter permease,TM1100(),GenBank
TM1101-MONOMER,phosphodiesterase,TM1101(),GenBank
TM1102-MONOMER,ribonuclease III,TM1102(2),GenBank
TM1103-MONOMER,radical SAM protein,TM1103(),GenBank
TM1104-MONOMER,Na+/H+ antiporter subunit C,TM1104(),GenBank
TM1105-MONOMER,cation:proton antiporter,TM1105(),GenBank
TM1106-MONOMER,Na+/H+ antiporter subunit E,TM1106(),GenBank
TM1107-MONOMER,hypothetical protein,TM1107(),GenBank
TM1108-MONOMER,monovalent cation/H(+) antiporter subunit G,TM1108(),GenBank
TM1109-MONOMER,Na(+)/H(+) antiporter subunit B,TM1109(),GenBank
TM1110-MONOMER,Na(+)/H(+) antiporter subunit B,TM1110(),GenBank
TM_RS05640-MONOMER,hypothetical protein,TM_RS05640(),GenBank
TM1112-MONOMER,cupin domain-containing protein,TM1112(),GenBank
TM1113-MONOMER,hypothetical protein,TM1113(),GenBank
TM1114-MONOMER,hypothetical protein,TM1114(),GenBank
TM1115-MONOMER,hypothetical protein,TM1115(),GenBank
TM1116-MONOMER,DUF916 domain-containing protein,TM1116(),GenBank
TM1117-MONOMER,general secretion pathway protein GspD,TM1117(),GenBank
TM1118-MONOMER,hypothetical protein,TM1118(),GenBank
TM1119-MONOMER,BTAD domain-containing putative transcriptional regulator,TM1119(),GenBank
TM1120-MONOMER,ABC transporter substrate-binding protein,TM1120(),GenBank
TM1121-MONOMER,sugar ABC transporter permease,TM1121(),GenBank
TM1122-MONOMER,carbohydrate ABC transporter permease,TM1122(),GenBank
TM1123-MONOMER,flagellar filament capping protein FliD,TM1123(),GenBank
TM1124-MONOMER,flagellar protein FlaG,TM1124(),GenBank
TM1125-MONOMER,hypothetical protein,TM1125(),GenBank
TM1126-MONOMER,hypothetical protein,TM1126(),GenBank
TM1127-MONOMER,prepilin-type N-terminal cleavage/methylation domain-containing protein,TM1127(),GenBank
TM1128-MONOMER,ferritin,TM1128(),GenBank
TM1129-MONOMER,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase,TM1129(),GenBank
TM1130-MONOMER,phosphate acetyltransferase,TM1130(),GenBank
TM1131-MONOMER,PLP-dependent aminotransferase family protein,TM1131(),GenBank
TM1132-MONOMER,MoxR family ATPase,TM1132(),GenBank
TM1133-MONOMER,DUF58 domain-containing protein,TM1133(),GenBank
TM1134-MONOMER,hypothetical protein,TM1134(),GenBank
TM1135-MONOMER,ABC transporter substrate-binding protein,TM1135(),GenBank
TM1136-MONOMER,branched-chain amino acid ABC transporter permease,TM1136(),GenBank
TM1137-MONOMER,branched-chain amino acid ABC transporter permease,TM1137(),GenBank
TM1138-MONOMER,ABC transporter ATP-binding protein,TM1138(),GenBank
TM1139-MONOMER,ABC transporter ATP-binding protein,TM1139(),GenBank
TM1140-MONOMER,CBS and ACT domain-containing protein,TM1140(),GenBank
TM1141-MONOMER,cytochrome c biogenesis CcdA family protein,TM1141(),GenBank
TM1142-MONOMER,thioredoxin fold domain-containing protein,TM1142(),GenBank
TM1143-MONOMER,methyl-accepting chemotaxis protein,TM1143(),GenBank
TM1144-MONOMER,hypothetical protein,TM1144(),GenBank
TM1145-MONOMER,HD-GYP domain-containing protein,TM1145(),GenBank
TM_RS05820-MONOMER,helix-turn-helix transcriptional regulator,TM_RS05820(),GenBank
