,name,genes,source
TM0137-MONOMER,tryptophan synthase subunit alpha,TM0137(),GenBank
TM0138-MONOMER,tryptophan synthase subunit beta,TM0138(),GenBank
TM0139-MONOMER,phosphoribosylanthranilate isomerase,TM0139(),GenBank
TM0140-MONOMER,indole-3-glycerol-phosphate synthase,TM0140(1),GenBank
TM0141-MONOMER,bifunctional anthranilate synthase component II/anthranilate phosphoribosyltransferase,TM0141(1),GenBank
TM0142-MONOMER,anthranilate synthase component I family protein,TM0142(),GenBank
TM0143-MONOMER,PleD family two-component system response regulator,TM0143(),GenBank
TM_RS00700-MONOMER,zinc ribbon domain-containing protein,TM_RS00700(),GenBank
TM0145-MONOMER,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD,TM0145(),GenBank
TM0146-MONOMER,ATP-dependent Clp protease ATP-binding subunit ClpX,TM0146(),GenBank
TM0147-MONOMER,ribosome silencing factor,TM0147(),GenBank
TM0148-MONOMER,glutamine--fructose-6-phosphate transaminase (isomerizing),TM0148(2),GenBank
TM0149-MONOMER,phosphate acyltransferase PlsX,TM0149(1),GenBank
TM0150-MONOMER,50S ribosomal protein L32,TM0150(),GenBank
TM0151-MONOMER,DUF177 domain-containing protein,TM0151(),GenBank
TM0152-MONOMER,lactate utilization protein,TM0152(),GenBank
TM0153-MONOMER,DUF4914 family protein,TM0153(),GenBank
TM_RS00750-MONOMER,prephenate dehydratase,TM_RS00750(),GenBank
TM0156-MONOMER,alkaline phosphatase,TM0156(2),GenBank
TM0157-MONOMER,flavin reductase family protein,TM0157(),GenBank
TM_RS00765-MONOMER,DUF370 domain-containing protein,TM_RS00765(),GenBank
TM0158-MONOMER,prolipoprotein diacylglyceryl transferase,TM0158(1),GenBank
TM0159-MONOMER,RdgB/HAM1 family non-canonical purine NTP pyrophosphatase,TM0159(2),GenBank
TM0160-MONOMER,bifunctional nuclease family protein,TM0160(),GenBank
TM0161-MONOMER,polyprenyl synthetase family protein,TM0161(1),GenBank
TM0162-MONOMER,alpha/beta hydrolase,TM0162(),GenBank
TM0163-MONOMER,tetratricopeptide repeat protein,TM0163(),GenBank
TM0164-MONOMER,DUF368 domain-containing protein,TM0164(),GenBank
TM0165-MONOMER,Holliday junction branch migration protein RuvA,TM0165(),GenBank
TM0166-MONOMER,bifunctional folylpolyglutamate synthase/dihydrofolate synthase,TM0166(1),GenBank
TM0167-MONOMER,phosphopentomutase,TM0167(1),GenBank
TM0168-MONOMER,leucine--tRNA ligase,TM0168(1),GenBank
TM0169-MONOMER,redox-sensing transcriptional repressor Rex,TM0169(),GenBank
TM0170-MONOMER,DUF4911 domain-containing protein,TM0170(),GenBank
TM0171-MONOMER,YqeG family HAD IIIA-type phosphatase,TM0171(),GenBank
TM0172-MONOMER,adenosylhomocysteinase,TM0172(),GenBank
TM0173-MONOMER,reverse gyrase,TM0173(),GenBank
TM0174-MONOMER,sodium-translocating pyrophosphatase,TM0174(),GenBank
TM0175-MONOMER,phosphopantetheine-binding protein,TM0175(),GenBank
TM0176-MONOMER,DUF89 domain-containing protein,TM0176(),GenBank
TM0177-MONOMER,YitT family protein,TM0177(),GenBank
TM0178-MONOMER,primosomal protein N',TM0178(),GenBank
TM0179-MONOMER,hypothetical protein,TM0179(),GenBank
TM0180-MONOMER,hypothetical protein,TM0180(),GenBank
TM0181-MONOMER,DNA polymerase III subunit delta,TM0181(),GenBank
TM0182-MONOMER,TIGR04013 family B12-binding domain/radical SAM domain-containing protein,TM0182(),GenBank
TM0183-MONOMER,carbon-nitrogen hydrolase family protein,TM0183(),GenBank
TM0184-MONOMER,phosphoglucosamine mutase,TM0184(1),GenBank
TM0185-MONOMER,SRPBCC domain-containing protein,TM0185(),GenBank
TM0186-MONOMER,cyclic di-GMP phosphodiesterase,TM0186(),GenBank
TM0187-MONOMER,HAMP domain-containing sensor histidine kinase,TM0187(),GenBank
TM0188-MONOMER,tRNA (N6-threonylcarbamoyladenosine(37)-N6)-methyltransferase TrmO,TM0188(),GenBank
TM0189-MONOMER,iron ABC transporter substrate-binding protein,TM0189(),GenBank
TM0190-MONOMER,iron ABC transporter permease,TM0190(),GenBank
TM0191-MONOMER,ABC transporter ATP-binding protein,TM0191(),GenBank
TM0192-MONOMER,stage V sporulation protein S,TM0192(),GenBank
TM0193-MONOMER,iron export ABC transporter permease subunit FetB,TM0193(),GenBank
TM0194-MONOMER,ABC transporter ATP-binding protein,TM0194(),GenBank
TM0196-MONOMER,adenosine-specific kinase,TM0196(),GenBank
TM0197-MONOMER,tRNA-5-methyluridine(54) 2-sulfurtransferase,TM0197(),GenBank
TM0198-MONOMER,ATP-dependent Clp protease ATP-binding subunit,TM0198(),GenBank
TM0199-MONOMER,DNA repair protein RadA,TM0199(),GenBank
TM0200-MONOMER,DNA integrity scanning diadenylate cyclase DisA,TM0200(),GenBank
TM0201-MONOMER,"NADH-dependent [FeFe] hydrogenase, group A6",TM0201(),GenBank
TM0202-MONOMER,ABC transporter substrate-binding protein,TM0202(),GenBank
TM0203-MONOMER,ABC transporter permease,TM0203(),GenBank
TM0204-MONOMER,ABC transporter ATP-binding protein,TM0204(),GenBank
TM0205-MONOMER,ATP-dependent DNA helicase RecG,TM0205(),GenBank
TM0206-MONOMER,hypoxanthine phosphoribosyltransferase,TM0206(4),GenBank
TM0207-MONOMER,MBL fold metallo-hydrolase,TM0207(),GenBank
TM0208-MONOMER,pyruvate kinase,TM0208(4),GenBank
TM0209-MONOMER,6-phosphofructokinase,TM0209(4),GenBank
TM0210-MONOMER,DUF2007 domain-containing protein,TM0210(),GenBank
TM0211-MONOMER,glycine cleavage system aminomethyltransferase GcvT,TM0211(),GenBank
TM0212-MONOMER,glycine cleavage system protein GcvH,TM0212(),GenBank
TM0213-MONOMER,aminomethyl-transferring glycine dehydrogenase subunit GcvPA,TM0213(),GenBank
TM0214-MONOMER,aminomethyl-transferring glycine dehydrogenase subunit GcvPB,TM0214(),GenBank
TM0215-MONOMER,RidA family protein,TM0215(),GenBank
TM0216-MONOMER,glycine--tRNA ligase subunit alpha,TM0216(),GenBank
TM0217-MONOMER,glycine--tRNA ligase subunit beta,TM0217(),GenBank
TM0218-MONOMER,flagellar protein export ATPase FliI,TM0218(),GenBank
TM0219-MONOMER,FliH/SctL family protein,TM0219(),GenBank
TM0220-MONOMER,flagellar motor switch protein FliG,TM0220(),GenBank
TM0221-MONOMER,flagellar basal-body MS-ring/collar protein FliF,TM0221(),GenBank
TM0222-MONOMER,energy-coupling factor ABC transporter ATP-binding protein EcfA2,TM0222(),GenBank
TM0223-MONOMER,S4 domain-containing protein,TM0223(),GenBank
TM0224-MONOMER,biotin--[acetyl-CoA-carboxylase] ligase,TM0224(),GenBank
TM0225-MONOMER,aminocyclopropane-1-carboxylate deaminase/D-cysteine desulfhydrase family protein,TM0225(2),GenBank
TM0226-MONOMER,DUF554 domain-containing protein,TM0226(),GenBank
TM0227-MONOMER,NAD(P)H-dependent oxidoreductase subunit E,TM0227(),GenBank
TM0228-MONOMER,NADH-quinone oxidoreductase subunit NuoF,TM0228(),GenBank
TM0229-MONOMER,AEC family transporter,TM0229(),GenBank
TM0230-MONOMER,metallophosphoesterase,TM0230(),GenBank
TM0231-MONOMER,UDP-N-acetylmuramate--L-alanine ligase,TM0231(1),GenBank
TM0232-MONOMER,undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase,TM0232(1),GenBank
TM0233-MONOMER,FtsW/RodA/SpoVE family cell cycle protein,TM0233(),GenBank
TM0234-MONOMER,UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase,TM0234(1),GenBank
TM0235-MONOMER,phospho-N-acetylmuramoyl-pentapeptide- transferase,TM0235(1),GenBank
TM0236-MONOMER,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase,TM0236(1),GenBank
TM0237-MONOMER,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2, 6-diaminopimelate ligase",TM0237(1),GenBank
TM0238-MONOMER,hypothetical protein,TM0238(),GenBank
TM0239-MONOMER,glucose-1-phosphate adenylyltransferase subunit GlgD,TM0239(),GenBank
TM0240-MONOMER,glucose-1-phosphate adenylyltransferase,TM0240(4),GenBank
TM0241-MONOMER,DUF4899 domain-containing protein,TM0241(),GenBank
TM_RS01250-MONOMER,hypothetical protein,TM_RS01250(),GenBank
TM0243-MONOMER,radical SAM protein,TM0243(),GenBank
TM0244-MONOMER,electron transport complex subunit RsxC,TM0244(),GenBank
TM0245-MONOMER,RnfABCDGE type electron transport complex subunit D,TM0245(),GenBank
TM0246-MONOMER,RnfABCDGE type electron transport complex subunit G,TM0246(),GenBank
TM0247-MONOMER,electron transport complex subunit E,TM0247(),GenBank
