Gene Name	Left-End-Position	Right-End-Position	Product	Accession-1
SYNPCC7942_2003	2072093	2072806	SYNPCC7942_2003-MONOMER	SYNPCC7942_RS10160
SYNPCC7942_0092	90583	90930	SYNPCC7942_0092-MONOMER	SYNPCC7942_RS00465
SYNPCC7942_0955	963272	963790	SYNPCC7942_0955-MONOMER	SYNPCC7942_RS04910
SYNPCC7942_1951	2024828	2025190	SYNPCC7942_1951-MONOMER	SYNPCC7942_RS09900
SYNPCC7942_0052	54512	55030	SYNPCC7942_0052-MONOMER	SYNPCC7942_RS00260
SYNPCC7942_0907	916954	917166	SYNPCC7942_0907-MONOMER	
SYNPCC7942_1909	1985142	1985738	SYNPCC7942_1909-MONOMER	SYNPCC7942_RS09680
SYNPCC7942_0013	12321	13028	SYNPCC7942_0013-MONOMER	SYNPCC7942_RS00065
SYNPCC7942_0869	871262	871852	SYNPCC7942_0869-MONOMER	SYNPCC7942_RS04480
SYNPCC7942_1866	1936389	1936799	SYNPCC7942_1866-MONOMER	SYNPCC7942_RS09470
SYNPCC7942_0837	832179	832811	SYNPCC7942_0837-MONOMER	SYNPCC7942_RS04330
SYNPCC7942_1822	1894291	1894503	SYNPCC7942_1822-MONOMER	
SYNPCC7942_0803	796507	797289	SYNPCC7942_0803-MONOMER	SYNPCC7942_RS04155
SYNPCC7942_1781	1847468	1847743	SYNPCC7942_1781-MONOMER	SYNPCC7942_RS09050
SYNPCC7942_0767	759413	759847	SYNPCC7942_0767-MONOMER	
SYNPCC7942_1754	1822345	1822497	SYNPCC7942_1754-MONOMER	
SYNPCC7942_0744	738159	739610	SYNPCC7942_0744-MONOMER	SYNPCC7942_RS03855
SYNPCC7942_1702	1768545	1768682	SYNPCC7942_1702-MONOMER	
SYNPCC7942_0718	713678	714331	SYNPCC7942_0718-MONOMER	SYNPCC7942_RS03700
SYNPCC7942_1663	1733401	1733760	SYNPCC7942_1663-MONOMER	SYNPCC7942_RS13630
SYNPCC7942_B2652	22166	22417	SYNPCC7942_B2652-MONOMER	SYNPCC7942_RS13470
SYNPCC7942_0682	675946	676905	SYNPCC7942_0682-MONOMER	SYNPCC7942_RS03495
SYNPCC7942_1629	1698071	1698712	SYNPCC7942_1629-MONOMER	SYNPCC7942_RS08310
SYNPCC7942_B2626	497	1321	SYNPCC7942_B2626-MONOMER	SYNPCC7942_RS13640
SYNPCC7942_0643	636762	636965	SYNPCC7942_0643-MONOMER	SYNPCC7942_RS03300
SYNPCC7942_1580	1644011	1644436	SYNPCC7942_1580-MONOMER	SYNPCC7942_RS08070
SYNPCC7942_2591	2674605	2675273	SYNPCC7942_2591-MONOMER	SYNPCC7942_RS13195
SYNPCC7942_0593	580422	581174	SYNPCC7942_0593-MONOMER	SYNPCC7942_RS13615
SYNPCC7942_1537	1596668	1596877	SYNPCC7942_1537-MONOMER	SYNPCC7942_RS07855
SYNPCC7942_2533	2613998	2614378	SYNPCC7942_2533-MONOMER	SYNPCC7942_RS12860
SYNPCC7942_0550	532654	533037	SYNPCC7942_0550-MONOMER	SYNPCC7942_RS02800
SYNPCC7942_1482	1532605	1534170	SYNPCC7942_1482-MONOMER	SYNPCC7942_RS07575
SYNPCC7942_2486	2566725	2568305	SYNPCC7942_2486-MONOMER	
SYNPCC7942_0521	506835	507422	SYNPCC7942_0521-MONOMER	SYNPCC7942_RS02645
SYNPCC7942_1436	1490759	1491205	SYNPCC7942_1436-MONOMER	SYNPCC7942_RS07345
SYNPCC7942_2447	2524094	2524315	SYNPCC7942_2447-MONOMER	SYNPCC7942_RS12435
SYNPCC7942_0491	479700	479837	SYNPCC7942_0491-MONOMER	SYNPCC7942_RS02500
SYNPCC7942_1387	1432853	1433680	SYNPCC7942_1387-MONOMER	SYNPCC7942_RS07100
SYNPCC7942_2403	2477464	2477748	SYNPCC7942_2403-MONOMER	SYNPCC7942_RS12210
SYNPCC7942_0436	426845	427150	SYNPCC7942_0436-MONOMER	SYNPCC7942_RS02230
SYNPCC7942_1348	1381032	1381331	SYNPCC7942_1348-MONOMER	SYNPCC7942_RS06890
SYNPCC7942_2364	2430162	2430767	SYNPCC7942_2364-MONOMER	SYNPCC7942_RS12010
