Reaction,Complexes
ACOAD3f,GMET_RS08630-MONOMER OR GMET_RS11075-MONOMER OR GMET_RS08605-MONOMER OR GMET_RS16570-MONOMER OR GMET_RS16575-MONOMER OR GMET_RS11070-MONOMER OR GMET_RS11440-MONOMER OR GMET_RS11135-MONOMER
ACOAD4f,GMET_RS08630-MONOMER OR GMET_RS11075-MONOMER OR GMET_RS08605-MONOMER OR GMET_RS16570-MONOMER OR GMET_RS16575-MONOMER OR GMET_RS11070-MONOMER OR GMET_RS11440-MONOMER OR GMET_RS11135-MONOMER
ACOAD5f,GMET_RS08630-MONOMER OR GMET_RS11075-MONOMER OR GMET_RS08605-MONOMER OR GMET_RS16570-MONOMER OR GMET_RS16575-MONOMER OR GMET_RS11070-MONOMER OR GMET_RS11440-MONOMER OR GMET_RS11135-MONOMER
ACOAD6f,GMET_RS08630-MONOMER OR GMET_RS11075-MONOMER OR GMET_RS08605-MONOMER OR GMET_RS16570-MONOMER OR GMET_RS16575-MONOMER OR GMET_RS11070-MONOMER OR GMET_RS11440-MONOMER OR GMET_RS11135-MONOMER
ACOAD7f,GMET_RS08630-MONOMER OR GMET_RS11075-MONOMER OR GMET_RS08605-MONOMER OR GMET_RS16570-MONOMER OR GMET_RS16575-MONOMER OR GMET_RS11070-MONOMER OR GMET_RS11440-MONOMER OR GMET_RS11135-MONOMER
ACOAD8f,GMET_RS08630-MONOMER OR GMET_RS11075-MONOMER OR GMET_RS08605-MONOMER OR GMET_RS16570-MONOMER OR GMET_RS16575-MONOMER OR GMET_RS11070-MONOMER OR GMET_RS11440-MONOMER OR GMET_RS11135-MONOMER
ACOATA,GMET_RS08530-MONOMER OR GMET_RS08060-MONOMER OR GMET_RS08040-MONOMER OR GMET_RS16400-MONOMER
ACONTa,GMET_RS05080-MONOMER_mod_4fe4s(1) OR GMET_RS09660-MONOMER_mod_4fe4s(1) OR GMET_RS13850-MONOMER
ACONTb,GMET_RS05080-MONOMER_mod_4fe4s(1) OR GMET_RS09660-MONOMER_mod_4fe4s(1) OR GMET_RS13850-MONOMER
ACOTA,GMET_RS01025-MONOMER_mod_pydx5p(1)
ACPPAT120,GMET_RS08035-MONOMER
ACPPAT140,GMET_RS08035-MONOMER
ACPPAT141,GMET_RS08035-MONOMER
ACPPAT160,GMET_RS08035-MONOMER
ACPPAT161,GMET_RS08035-MONOMER
ACPPAT180,GMET_RS08035-MONOMER
ACPPAT181,GMET_RS08035-MONOMER
ACPS,GMET_RS00340-MONOMER
ACPS1,GMET_RS09520-MONOMER_mod_mg2(1) OR GMET_RS09520-MONOMER_mod_mn2(1)
ACS,GMET_RS11795-MONOMER
ACS2,GMET_RS11795-MONOMER
ACt2rpp,GMET_RS15200-MONOMER OR GMET_RS03705-MONOMER OR GMET_RS16480-MONOMER
ACt4pp,GMET_RS15200-MONOMER OR GMET_RS03705-MONOMER OR GMET_RS16480-MONOMER
ACtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
ADCL,GMET_RS15095-MONOMER
ADCPS1,GMET_RS02430-MONOMER
ADCPS2,GMET_RS02430-MONOMER
ADCS,GMET_RS15095-MONOMER
ADCYRS,GMET_RS02425-MONOMER
ADD,GMET_RS11085-MONOMER_mod_mn2(1)
ADK1,GMET_RS03255-MONOMER_mod_mg2(1)
ADK2,GMET_RS03255-MONOMER_mod_mg2(1)
ADK3,GMET_RS03255-MONOMER_mod_mg2(1)
ADK4,GMET_RS03255-MONOMER_mod_mg2(1)
ADNK1,GMET_RS13460-MONOMER
ADOCBIK,GMET_RS02330-MONOMER
ADOCBLS,GMET_RS02340-MONOMER
ADPRDP,GMET_RS00240-MONOMER OR GMET_RS09015-MONOMER_mod_mg2(1) OR GMET_RS09015-MONOMER_mod_mn2(1) OR GMET_RS05865-MONOMER OR GMET_RS04945-MONOMER
ADPT,GMET_RS07170-MONOMER_mod_mg2(1) OR GMET_RS07170-MONOMER_mod_mn2(1)
ADSL1r,GMET_RS09815-MONOMER
ADSL2r,GMET_RS09815-MONOMER
ADSS,GMET_RS16335-MONOMER_mod_mg2(1)
AGM3PA,GMET_RS05980-MONOMER OR GMET_RS07185-MONOMER
AGM3PApp,GMET_RS05980-MONOMER OR GMET_RS07185-MONOMER
AGM3PH,GMET_RS14650-MONOMER OR GMET_RS15920-MONOMER OR GMET_RS04170-MONOMER
AGM4PA,GMET_RS05980-MONOMER OR GMET_RS07185-MONOMER
AGM4PApp,GMET_RS05980-MONOMER OR GMET_RS07185-MONOMER
AGM4PH,GMET_RS14650-MONOMER OR GMET_RS15920-MONOMER OR GMET_RS04170-MONOMER
AGMDA,GMET_RS03570-MONOMER
AGMH,GMET_RS14650-MONOMER OR GMET_RS15920-MONOMER OR GMET_RS04170-MONOMER
AGPAT120,GMET_RS01810-MONOMER OR GMET_RS04675-MONOMER
AGPAT140,GMET_RS01810-MONOMER OR GMET_RS04675-MONOMER
AGPAT141,GMET_RS01810-MONOMER OR GMET_RS04675-MONOMER
AGPAT160,GMET_RS04675-MONOMER OR GMET_RS01810-MONOMER
AGPAT161,GMET_RS04675-MONOMER OR GMET_RS01810-MONOMER
AGPAT180,GMET_RS04675-MONOMER OR GMET_RS01810-MONOMER
AGPAT181,GMET_RS04675-MONOMER OR GMET_RS01810-MONOMER
AGPR,GMET_RS03040-MONOMER
AHCi,GMET_RS06515-MONOMER
AHSERL2,GMET_RS07870-MONOMER OR GMET_RS12040-MONOMER OR GMET_RS04100-MONOMER
AICART,GMET_RS14580-MONOMER
AIRCr,GMET_RS14570-MONOMER
AKGDH,CPLX_AKGDH-0 OR CPLX_AKGDH-1_mod_mg2(1)_mod_lipoyl(1)
ALAALAr,Gmet_0415-MONOMER
ALAD_L,GMET_RS05515-MONOMER
ALAR,GMET_RS14595-MONOMER_mod_pydx5p(1)
ALATA_L,GMET_RS15900-MONOMER
ALATRS,GMET_RS01010-MONOMER_mod_zn2(4)
ALCD1,GMET_RS05275-MONOMER
ALCD19,GMET_RS05235-MONOMER
ALCD2x,GMET_RS05235-MONOMER OR GMET_RS05275-MONOMER
ALCD3ir,GMET_RS05235-MONOMER OR GMET_RS05275-MONOMER
ALCD4,GMET_RS05235-MONOMER OR GMET_RS05275-MONOMER
ALDD2x,GMET_RS03950-MONOMER
AM3PA,GMET_RS05980-MONOMER OR GMET_RS07185-MONOMER
AM4PA,GMET_RS05980-MONOMER OR GMET_RS07185-MONOMER
AMALT1,GMET_RS12045-MONOMER
AMALT2,GMET_RS12045-MONOMER
AMALT3,GMET_RS12045-MONOMER
AMALT4,GMET_RS12045-MONOMER
AMAOTr,GMET_RS07945-MONOMER_mod_pydx5p(1)
AMMQLT8,GMET_RS05850-MONOMER
AMPMS2,GMET_RS14605-MONOMER
ANPRT,GMET_RS12555-MONOMER
ANS,CPLX_ANS-0_mod_mg2(1)
AOXSr2,GMET_RS04215-MONOMER_mod_pydx5p(1)
APG3PAT120,GMET_RS15145-MONOMER
APG3PAT140,GMET_RS15145-MONOMER
APG3PAT141,GMET_RS15145-MONOMER
APG3PAT160,GMET_RS15145-MONOMER
APG3PAT161,GMET_RS15145-MONOMER
APG3PAT180,GMET_RS15145-MONOMER
APG3PAT181,GMET_RS15145-MONOMER
APH120,GMET_RS13680-MONOMER
APH140,GMET_RS13680-MONOMER
APH141,GMET_RS13680-MONOMER
APH160,GMET_RS13680-MONOMER
APH161,GMET_RS13680-MONOMER
APH180,GMET_RS13680-MONOMER
APH181,GMET_RS13680-MONOMER
APRAUR,GMET_RS08160-MONOMER
APSR,GMET_RS14320-MONOMER
ARGDC,GMET_RS04525-MONOMER_mod_mg2(1)_mod_pydx5p(4)
ARGSL,GMET_RS01050-MONOMER
ARGSS,GMET_RS01035-MONOMER_mod_mg2(1)
ARGTRS,GMET_RS07225-MONOMER_mod_mg2(1)
ASAD,GMET_RS03015-MONOMER OR GMET_RS03020-MONOMER
ASNS1,GMET_RS10220-MONOMER OR GMET_RS10950-MONOMER_mod_mg2(1)
ASNTRS,GMET_RS12145-MONOMER
ASO3t4pp,GMET_RS02595-MONOMER
ASO4rt2rpp,GMET_RS15695-MONOMER
ASO4t4pp,GMET_RS02595-MONOMER
ASO4tex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
ASP1DC,GMET_RS08260-MONOMER
ASPCT,GMET_RS08900-MONOMER
ASPK,GMET_RS09500-MONOMER
ASPO2,GMET_RS09870-MONOMER_mod_fad(1)
ASPT,GMET_RS15445-MONOMER_mod_mg2(1) OR GMET_RS15445-MONOMER_mod_mn2(1) OR GMET_RS15445-MONOMER_mod_cobalt2(1)
ASPTA,GMET_RS16665-MONOMER OR GMET_RS03670-MONOMER OR GMET_RS17215-MONOMER OR GMET_RS15900-MONOMER OR GMET_RS10485-MONOMER
ASPTRS,GMET_RS06835-MONOMER
ASR2,GMET_RS02600-MONOMER
ATPPRT,GMET_RS01910-MONOMER OR GMET_RS09595-MONOMER
ATPS10rpp,CPLX_ATPS10rpp-0
BACCL,GMET_RS10035-MONOMER
BCOALIG,GMET_RS10800-MONOMER
BCOALIG2,GMET_RS10800-MONOMER
BCR6pp,CPLX_BCR6pp-0 OR CPLX_BCR6pp-1 OR CPLX_BCR6pp-2 OR CPLX_BCR6pp-3
BMOCOS,GMET_RS05195-MONOMER OR GMET_RS01680-MONOMER OR GMET_RS09085-MONOMER
BMOGDS1,GMET_RS01505-MONOMER OR GMET_RS05330-MONOMER
BMOGDS2,GMET_RS01505-MONOMER OR GMET_RS05330-MONOMER
BPNT,GMET_RS07155-MONOMER_mod_cobalt2(1)
BSCT,CPLX_BSCT-0
BTOHtex,GMET_RS09225-MONOMER OR GMET_RS13670-MONOMER
BTS5,GMET_RS07955-MONOMER_mod_4fe4s(1)_mod_2fe2s(1)
BUTAFDOR,GMET_RS05230-MONOMER
