Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
STM1265	STM1265	1347519	1348112	STM1265-MONOMER
STM2120	STM2120	2204989	2206845	STM2120-MONOMER
STM2901	STM2901	3045270	3045719	STM2901-MONOMER
STM3886	STM3886	4096557	4097555	STM3886-MONOMER
STM1743	STM1743	1836618	1837625	STM1743-MONOMER
STM4386	STM4386	4627454	4628104	STM4386-MONOMER
STM0839	STM0839	907240	907983	STM0839-MONOMER
STM0687	STM0687	749537	750943	STM0687-MONOMER
STM3061	STM3061	3222356	3222904	STM3061-MONOMER
STM2473	STM2473	2582529	2583479	STM2473-MONOMER
STM0731	STM0731	797200	797586	STM0731-MONOMER
STM1141	STM1141	1229317	1229712	STM1141-MONOMER
STM0315	STM0315	360204	360818	STM0315-MONOMER
STM1616	STM1616	1705464	1705901	STM1616-MONOMER
STM0655	STM0655	718201	718908	STM0655-MONOMER
STM2930	STM2930	3070752	3071462	STM2930-MONOMER
STM3519	STM3519	3681374	3682591	STM3519-MONOMER
STM0183	STM0183	213398	213877	STM0183-MONOMER
STM0565	STM0565	621813	622049	STM0565-MONOMER
STM3409	STM3409	3579778	3581154	STM3409-MONOMER
STM2242	STM2242	2343419	2343622	STM2242-MONOMER
STM2103	STM2103	2185569	2186963	STM2103-MONOMER
STM0479	STM0479	537933	538868	STM0479-MONOMER
STM3869	STM3869	4078549	4079019	STM3869-MONOMER
STM4008	STM4008	4217000	4217428	STM4008-MONOMER
STM4364	STM4364	4607728	4608732	STM4364-MONOMER
STM0389	STM0389	441418	441609	STM0389-MONOMER
STM0662	STM0662	726613	727338	STM0662-MONOMER
STM4493	STM4493	4741390	4742211	STM4493-MONOMER
STM2451	STM2451	2561204	2562103	STM2451-MONOMER
STM4586	STM4586	4842684	4843553	STM4586-MONOMER
STM1117	STM1117	1203688	1204929	STM1117-MONOMER
STM0793	STM0793	858797	860086	STM0793-MONOMER
STM1590	STM1590	1678339	1678854	STM1590-MONOMER
STM2240	STM2240	2339566	2340555	STM2240-MONOMER
STM2910	STM2910	3052909	3053289	STM2910-MONOMER
STM2580	STM2580	2723926	2724831	STM2580-MONOMER
STM0165	STM0165	194201	194995	STM0165-MONOMER
STM0290	STM0290	332087	332533	STM0290-MONOMER
STM3382	STM3382	3552273	3553724	STM3382-MONOMER
STM1241	STM1241	1329456	1329695	STM1241-MONOMER
STM2087	STM2087	2167616	2168617	STM2087-MONOMER
STM4444	STM4444	4685783	4686427	STM4444-MONOMER
STM3852	STM3852	4059253	4059918	STM3852-MONOMER
STM1718	STM1718	1815121	1815711	STM1718-MONOMER
STM4344	STM4344	4586111	4587088	STM4344-MONOMER
STM2142	STM2142	2236269	2237540	STM2142-MONOMER
STM0641	STM0641	703958	704425	STM0641-MONOMER
STM3041	STM3041	3200752	3201633	STM3041-MONOMER
STM2430	STM2430	2543230	2544201	STM2430-MONOMER
STM0077	STM0077	90461	91747	STM0077-MONOMER
STM1100	STM1100	1187494	1187934	STM1100-MONOMER
STM0289	STM0289	329874	332063	STM0289-MONOMER
STM1570	STM1570	1650435	1653482	STM1570-MONOMER
STM2184	STM2184	2280225	2280944	STM2184-MONOMER
STM2891	STM2891	3034342	3035253	STM2891-MONOMER
STM3502	STM3502	3659617	3660336	STM3502-MONOMER
STM0143	STM0143	166319	167704	STM0143-MONOMER
STM0259	STM0259	299098	299868	STM0259-MONOMER
STM3359	STM3359	3526683	3527621	STM3359-MONOMER
STM2214	STM2214	2313657	2314229	STM2214-MONOMER
STM2070	STM2070	2148428	2149252	STM2070-MONOMER
STM1696	STM1696	1788154	1788960	STM1696-MONOMER
STM3831	STM3831	4034218	4035063	STM3831-MONOMER
STM3984	STM3984	4191702	4193033	STM3984-MONOMER
STM4326	STM4326	4570961	4572397	STM4326-MONOMER
STM2554	STM2554	2692347	2693486	STM2554-MONOMER
STM0621	STM0621	683832	685361	STM0621-MONOMER
STM4473	STM4473	4715004	4715507	STM4473-MONOMER
STM1081	STM1081	1172160	1172708	STM1081-MONOMER
STM4468	STM4468	4711239	4711691	STM4468-MONOMER
STM1551	STM1551	1626832	1627080	STM1551-MONOMER
STM0775	STM0775	839527	840573	STM0775-MONOMER
STM2874	STM2874	3016349	3017527	STM2874-MONOMER
STM2205	STM2205	2305285	2306223	STM2205-MONOMER
STM0126	STM0126	147400	148716	STM0126-MONOMER
STM2558	STM2558	2698537	2699868	STM2558-MONOMER
STM3341	STM3341	3510054	3510554	STM3341-MONOMER
STM0280	STM0280	319232	319768	STM0280-MONOMER
STM2046	STM2046	2123320	2123802	STM2046-MONOMER
STM1222	STM1222	1307668	1308714	STM1222-MONOMER
STM3814	STM3814	4013927	4015858	STM3814-MONOMER
STM1713	STM1713	1808401	1809375	STM1713-MONOMER
STM4306	STM4306	4554339	4554965	STM4306-MONOMER
STM1700	STM1700	1792130	1792918	STM1700-MONOMER
STM0605	STM0605	666645	667880	STM0605-MONOMER
STM2576	STM2576	2721691	2721951	STM2576-MONOMER
STM1062	STM1062	1151993	1153900	STM1062-MONOMER
STM3015	STM3015	3174988	3175695	STM3015-MONOMER
STM1530	STM1530	1606408	1607526	STM1530-MONOMER
STM4489	STM4489	4731981	4735496	STM4489-MONOMER
STM2854	STM2854	2999802	3000158	STM2854-MONOMER
STM0263	STM0263	302872	303339	STM0263-MONOMER
STM0110	STM0110	129057	129662	STM0110-MONOMER
STM2233	STM2233	2334012	2334455	STM2233-MONOMER
STM2026	STM2026	2105208	2105999	STM2026-MONOMER
STM3485	STM3485	3639715	3640992	STM3485-MONOMER
STM3324	STM3324	3487666	3487938	STM3324-MONOMER
STM0310	STM0310	355282	355860	STM0310-MONOMER
STM3793	STM3793	3993603	3994523	STM3793-MONOMER
STM2189	STM2189	2284962	2286482	STM2189-MONOMER
STM0585	STM0585	641561	643816	STM0585-MONOMER
STM1737	STM1737	1831254	1831982	STM1737-MONOMER
STM4292	STM4292	4533735	4534403	STM4292-MONOMER
STM3961	STM3961	4165873	4166889	STM3961-MONOMER
STM1044	STM1044	1130041	1130574	STM1044-MONOMER
STM2591	STM2591	2741403	2742002	STM2591-MONOMER
STM1510	STM1510	1587979	1588665	STM1510-MONOMER
STM4450	STM4450	4691698	4691982	STM4450-MONOMER
STM2836	STM2836	2981084	2981443	STM2836-MONOMER
STM4512	STM4512	4766111	4767283	STM4512-MONOMER
STM0091	STM0091	103481	104470	STM0091-MONOMER
STM0748	STM0748	815967	817259	STM0748-MONOMER
STM1997	STM1997	2079889	2081157	STM1997-MONOMER
STM2256	STM2256	2354294	2354743	STM2256-MONOMER
STM3308	STM3308	3476215	3476508	STM3308-MONOMER
STM2537	STM2537	2677648	2677848	STM2537-MONOMER
STM3770	STM3770	3970526	3971275	STM3770-MONOMER
STM0334	STM0334	377574	377846	STM0334-MONOMER
STM0563	STM0563	619261	620115	STM0563-MONOMER
STM1200	STM1200	1283614	1284255	STM1200-MONOMER
STM4273	STM4273	4511524	4513173	STM4273-MONOMER
STM1764	STM1764	1858407	1862150	STM1764-MONOMER
STM1028	STM1028	1115213	1115665	STM1028-MONOMER
STM1680	STM1680	1773794	1774522	STM1680-MONOMER
STM1490	STM1490	1567091	1568380	STM1490-MONOMER
STM2608	STM2608	2755588	2757519	STM2608-MONOMER
STM2811	STM2811	2958284	2959279	STM2811-MONOMER
STM2992	STM2992	3142848	3144179	STM2992-MONOMER
STM0068	STM0068	80548	80943	STM0068-MONOMER
STM4538	STM4538	4796645	4797481	STM4538-MONOMER
STM1975	STM1975	2063060	2063527	STM1975-MONOMER
STM0236	STM0236	278672	279964	STM0236-MONOMER
STM3286	STM3286	3453617	3456295	STM3286-MONOMER
STM2275	STM2275	2379348	2380232	STM2275-MONOMER
STM0543	STM0543	604118	604675	STM0543-MONOMER
STM3464	STM3464	3613976	3614845	STM3464-MONOMER
STM3743	STM3743	3936198	3936887	STM3743-MONOMER
STM0361	STM0361	410167	411177	STM0361-MONOMER
STM4246	STM4246	4466607	4468022	STM4246-MONOMER
STM2165	STM2165	2260073	2260990	STM2165-MONOMER
STM1012	STM1012	1105053	1105463	STM1012-MONOMER
STM1784	STM1784	1881812	1882903	STM1784-MONOMER
STM1467	STM1467	1540803	1541978	STM1467-MONOMER
STM3937	STM3937	4144325	4145065	STM3937-MONOMER
STM2788	STM2788	2936028	2937542	STM2788-MONOMER
STM2626	STM2626	2767863	2768846	STM2626-MONOMER
STM0050	STM0050	58946	60148	STM0050-MONOMER
STM4429	STM4429	4672432	4673232	STM4429-MONOMER
STM1957	STM1957	2045732	2046190	STM1957-MONOMER
STM4561	STM4561	4815897	4816514	STM4561-MONOMER
STM3261	STM3261	3430322	3431365	STM3261-MONOMER
STM0732	STM0732	797995	798384	STM0732-MONOMER
STM0523	STM0523	583961	585322	STM0523-MONOMER
STM2295	STM2295	2402596	2403021	STM2295-MONOMER
STM3725	STM3725	3920636	3921115	STM3725-MONOMER
STM2519	STM2519	2651457	2652929	STM2519-MONOMER
STM4230	STM4230	4450896	4452005	STM4230-MONOMER
STM0385	STM0385	438130	439242	STM0385-MONOMER
STM0994	STM0994	1080212	1084678	STM0994-MONOMER
STM1182	STM1182	1264443	1265393	STM1182-MONOMER
STM2763	STM2763	2905479	2906075	STM2763-MONOMER
STM1802	STM1802	1901599	1902669	STM1802-MONOMER
STM1449	STM1449	1523478	1524752	STM1449-MONOMER
STM1657	STM1657	1751271	1752425	STM1657-MONOMER
STM0030	STM0030	33364	34368	STM0030-MONOMER
STM1332	STM1332	1410078	1411301	STM1332-MONOMER
STM1931	STM1931	2026129	2026686	STM1931-MONOMER
STM2969	STM2969	3118849	3120213	STM2969-MONOMER
STM3244	STM3244	3411393	3412382	STM3244-MONOMER
STM0877	STM0877	948388	949500	STM0877-MONOMER
STM0502	STM0502	562489	563166	STM0502-MONOMER
STM0220	STM0220	257847	259043	STM0220-MONOMER
STM3708	STM3708	3902894	3903919	STM3708-MONOMER
STM4090	STM4090	4298167	4299096	STM4090-MONOMER
STM4206	STM4206	4426932	4427294	STM4206-MONOMER
STM3443	STM3443	3597381	3597857	STM3443-MONOMER
STM0973	STM0973	1055099	1057381	STM0973-MONOMER
STM3601	STM3601	3773388	3774365	STM3601-MONOMER
STM2738	STM2738	2876183	2876815	STM2738-MONOMER
STM2141	STM2141	2234963	2236015	STM2141-MONOMER
STM1430	STM1430	1507911	1508936	STM1430-MONOMER
STM3137	STM3137	3298914	3300326	STM3137-MONOMER
STM0004	STM0004	3734	5020	STM0004-MONOMER
STM3917	STM3917	4125597	4126856	STM3917-MONOMER
STM1913	STM1913	2008209	2010287	STM1913-MONOMER
PSLT042	PSLT042	32923	33960	PSLT042-MONOMER
STM3214	STM3214	3379166	3379933	STM3214-MONOMER
STM4408	STM4408	4645217	4645855	STM4408-MONOMER
