	From Builder	From OSM
FRUpts2pp	CPLX-165	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
FRUptspp	CPLX-158	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
FUSAtpp	CPLX0-3932 OR TRANS-CPLX-201	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
G3PAT120	CPLX_G3PAT120-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
G3PAT140	CPLX_G3PAT120-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
G3PAT141	CPLX_G3PAT120-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
G3PAT160	CPLX_G3PAT120-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
G3PAT161	CPLX_G3PAT120-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
G3PAT180	CPLX_G3PAT120-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
G3PAT181	CPLX_G3PAT120-0	CPLX_AACPS1-0 OR CPLX_ACOATA-0 OR CPLX_ACPPAT120-0 OR CPLX_G3PAT120-0 OR CPLX_MCOATA-0 OR CPLX_UAGAAT-0
GALTptspp	CPLX0-231	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
GAMptspp	CPLX-165	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
GDPMNH	CPLX0-7712_mod_mg2(1)	CPLX0-7712_mod_mg2(1) OR CPLX0-7712_mod_mn2(1)
GLCptspp	CPLX-157 OR CPLX-164 OR CPLX-165	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
GLUN	CPLX0-7694 OR CPLX0-7695 OR PABASYN-COMPI-MONOMER	CPLX0-7694 OR CPLX0-7695 OR PABASYN-COMPI-MONOMER OR PABASYN-CPLX_mod_mg2(1)
GLYCK	GLY3KIN-MONOMER_mod_mg2(1)	GLY3KIN-MONOMER_mod_ca2(1) OR GLY3KIN-MONOMER_mod_cobalt2(1) OR GLY3KIN-MONOMER_mod_fe2(1) OR GLY3KIN-MONOMER_mod_mg2(1) OR GLY3KIN-MONOMER_mod_mn2(1)
GLYCL	GCVMULTI-CPLX_mod_lipo(1)	2OXOGLUTARATEDEH-CPLX_mod_mg2(1)_mod_lipoyl(1) OR GCVMULTI-CPLX_mod_lipoyl(1) OR PYRUVATEDEH-CPLX_mod_mg2(1)_mod_fad(1)_mod_thmpp(1)_mod_lipoyl(1)
GLYK	GLYCEROL-KIN-CPLX_mod_mg2(1)	GLYCEROL-KIN-CPLX_mod_mg2(1) OR GLYCEROL-KIN-CPLX_mod_mn2(1)
GRTT	FPPSYN-MONOMER_mod_mg2(1)	FPPSYN-MONOMER_mod_mg2(1) OR FPPSYN-MONOMER_mod_mn2(1)
GRXR	CPLX0-7817 OR GLUTAREDOXIN-MONOMER OR GRXB-MONOMER OR GRXC-MONOMER	CPLX0-7817 OR CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2 OR CPLX_PAPSR2-3 OR CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3 OR GLUTAREDOXIN-MONOMER OR GRXB-MONOMER OR GRXB-MONOMER_EG12237-MONOMER OR GRXC-MONOMER
HEMEOS	HEMEOSYN-MONOMER_mod_mg2(1)	HEMEOSYN-MONOMER_mod_ca2(1) OR HEMEOSYN-MONOMER_mod_mg2(1)
HISTP	IMIDHISTID-CPLX_mod_mg2(1)	IMIDHISTID-CPLX_mod_mg2(1) OR IMIDHISTID-CPLX_mod_mn2(1)
HISabcpp	ABC-14-CPLX	ABC-14-CPLX OR ABC-3-CPLX
HMPK1	HMP-P-KIN-CPLX OR PDXK-CPLX_mod_zn2(1)	HMP-P-KIN-CPLX OR PDXK-CPLX_mod_mg2(1) OR PDXK-CPLX_mod_zn2(1)
HYD1pp	FORMHYDROG2-CPLX_mod_ni2(1)_mod_fe2(1) OR FORMHYDROGI-CPLX_mod_ni2(1)_mod_4fe4s(1) OR HYDROG3-CPLX_mod_ni2(1)	FHLMULTI-CPLX OR FORMHYDROG2-CPLX_mod_ni2(1)_mod_fe2(1) OR FORMHYDROGI-CPLX_mod_ni2(1)_mod_4fe4s(1) OR HYDROG3-CPLX_mod_ni2(1)
I2FE2SR	CPLX_I2FE2SR-0	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_I2FE2ST-0 OR CPLX_MOADSUx-0 OR CPLX_THZPSN3-0 OR IscS_mod_pydx5p(2) OR IscS_mod_pydx5p(2)_mod_SH(1) OR IscU_mod_2fe1s(1) OR IscU_mod_2fe2s(1) OR IscU_mod_2fe2s(1)_mod_2fe1s(1) OR IscU_mod_2fe2s(1)_mod_fe2(1) OR IscU_mod_2fe2s(1)_mod_fe2(2) OR IscU_mod_2fe2s(2) OR IscU_mod_4fe4s(1) OR IscU_mod_fe2(1) OR IscU_mod_fe2(2)
I2FE2SS	CPLX_I2FE2SS-0	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_I2FE2ST-0 OR CPLX_MOADSUx-0 OR CPLX_S2FE2SS-0 OR CPLX_THZPSN3-0 OR IscS_mod_pydx5p(2) OR IscS_mod_pydx5p(2)_mod_SH(1) OR IscU_mod_2fe1s(1) OR IscU_mod_2fe2s(1) OR IscU_mod_2fe2s(1)_mod_2fe1s(1) OR IscU_mod_2fe2s(1)_mod_fe2(1) OR IscU_mod_2fe2s(1)_mod_fe2(2) OR IscU_mod_2fe2s(2) OR IscU_mod_4fe4s(1) OR IscU_mod_fe2(1) OR IscU_mod_fe2(2)
I2FE2SS2	CPLX_I2FE2SS-0	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_I2FE2ST-0 OR CPLX_MOADSUx-0 OR CPLX_S2FE2SS-0 OR CPLX_THZPSN3-0 OR IscS_mod_pydx5p(2) OR IscS_mod_pydx5p(2)_mod_SH(1) OR IscU_mod_2fe1s(1) OR IscU_mod_2fe2s(1) OR IscU_mod_2fe2s(1)_mod_2fe1s(1) OR IscU_mod_2fe2s(1)_mod_fe2(1) OR IscU_mod_2fe2s(1)_mod_fe2(2) OR IscU_mod_2fe2s(2) OR IscU_mod_4fe4s(1) OR IscU_mod_fe2(1) OR IscU_mod_fe2(2)
I2FE2ST	CPLX_I2FE2ST-0	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_I2FE2ST-0 OR IscU_mod_2fe1s(1) OR IscU_mod_2fe2s(1) OR IscU_mod_2fe2s(1)_mod_2fe1s(1) OR IscU_mod_2fe2s(1)_mod_fe2(1) OR IscU_mod_2fe2s(1)_mod_fe2(2) OR IscU_mod_2fe2s(2) OR IscU_mod_4fe4s(1) OR IscU_mod_fe2(1) OR IscU_mod_fe2(2)
