	From Builder	From OSM
METSOXR1	CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1 OR EG10124-MONOMER_mod_bmocogdp(1)
METSOXR2	CPLX_METSOXR2-0 OR CPLX_METSOXR2-1	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
MINCYCtpp	CPLX0-3932 OR TRANS-CPLX-201	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
MNLptspp	CPLX-166	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
MOADSUx	CPLX_MOADSUx-0	CPLX_I2FE2SR-0 OR CPLX_I2FE2SS-0 OR CPLX_MOADSUx-0 OR CPLX_MPTS-0 OR CPLX_THZPSN3-0 OR IscS_mod_pydx5p(2) OR IscS_mod_pydx5p(2)_mod_SH(1)
MOGDS	EG11829-MONOMER_EG11828-MONOMER OR EG11829-MONOMER_mod_mg2(1)	EG11829-MONOMER_EG11828-MONOMER OR EG11829-MONOMER_mod_mg2(1) OR EG11829-MONOMER_mod_mn2(1)
MPTG	CPLX0-3951_G6561-MONOMER OR CPLX0-7717_G6561-MONOMER OR G7322-MONOMER_G6561-MONOMER	CPLX0-3951 OR CPLX0-3951_G6561-MONOMER OR CPLX0-7717 OR CPLX0-7717_G6561-MONOMER OR G7322-MONOMER_G6561-MONOMER
MPTG2	CPLX0-3951_G6561-MONOMER OR CPLX0-7717_G6561-MONOMER OR G7322-MONOMER_G6561-MONOMER	CPLX0-3951 OR CPLX0-3951_G6561-MONOMER OR CPLX0-7717 OR CPLX0-7717_G6561-MONOMER OR G7322-MONOMER_G6561-MONOMER
MPTS	CPLX_MPTS-0	CPLX_MOADSUx-0 OR CPLX_MPTS-0
NADS1	NAD-SYNTH-CPLX_mod_mg2(1)	NAD-SYNTH-CPLX_mod_mg2(1) OR NAD-SYNTH-CPLX_mod_mn2(1)
NDPK1	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)
NDPK2	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)
NDPK3	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)
NDPK4	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)
NDPK5	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)
NDPK6	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)
NDPK7	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)
NDPK8	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	ADENYL-KIN-MONOMER_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1) OR NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)
NMNAT	NICONUCADENYLYLTRAN-MONOMER_mod_mg2(1) OR PD04413_mod_mg2(1)	NICONUCADENYLYLTRAN-MONOMER_mod_mg2(1) OR PD04413_mod_ca2(1) OR PD04413_mod_cd2(1) OR PD04413_mod_cobalt2(1) OR PD04413_mod_cu2(1) OR PD04413_mod_mg2(1) OR PD04413_mod_mn2(1) OR PD04413_mod_ni2(1) OR PD04413_mod_zn2(1)
NO3R1bpp	NAP-CPLX_mod_bmocogdp(1)	NAP-CPLX_mod_bmocogdp(1) OR NAPAB-CPLX_NAPC-MONOMER_mod_bmocogdp(1)
NO3R2bpp	NAPAB-CPLX_NAPC-MONOMER_mod_bmocogdp(1)	NAP-CPLX_mod_bmocogdp(1) OR NAPAB-CPLX_NAPC-MONOMER_mod_bmocogdp(1)
NOVBCNtpp	CPLX0-3932 OR TRANS-CPLX-201	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
NTD10pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD11pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD12pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD1pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD2pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD3pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD4pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD5pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD6pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD7pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD8pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTD9pp	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_zn2(1)	APHA-CPLX_mod_mg2(1) OR USHA-MONOMER_mod_cobalt2(1) OR USHA-MONOMER_mod_zn2(1)
NTPP3	CPLX0-7692_mod_mg2(1) OR G6954-MONOMER_mod_mg2(1) OR G7164-MONOMER	CPLX0-7692_mod_mg2(1) OR G6954-MONOMER_mod_mg2(1) OR G6954-MONOMER_mod_mn2(1) OR G7164-MONOMER
NTPP4	CPLX0-7692_mod_mg2(1) OR G6954-MONOMER_mod_mg2(1)	CPLX0-7692_mod_mg2(1) OR G6954-MONOMER_mod_mg2(1) OR G6954-MONOMER_mod_mn2(1)
OGMEACPS	CPLX0-252	CPLX0-252 OR CPLX_ACOATA-0
ORNabcpp	ABC-3-CPLX	ABC-14-CPLX OR ABC-3-CPLX
OXDHCOAT	CPLX_OXDHCOAT-0	CPLX_OXDHCOAT-0 OR G6715-MONOMER OR G6718-MONOMER
PANTS	PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2(1)_mod_k(1)	PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2(1)_mod_k(1) OR PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2(1)_mod_nh4(1) OR PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mn2(1)_mod_k(1) OR PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mn2(1)_mod_nh4(1)
PAPSR	CPLX_PAPSR-0 OR CPLX_PAPSR-1	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2 OR CPLX_PAPSR2-3 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
PAPSR2	CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2 OR CPLX_PAPSR2-3	CPLX0-7817 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2 OR CPLX_PAPSR2-3 OR CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3 OR GLUTAREDOXIN-MONOMER OR GRXB-MONOMER OR GRXB-MONOMER_EG12237-MONOMER OR GRXC-MONOMER
PDH	PYRUVATEDEH-CPLX_mod_mg2(1)_mod_fad(1)_mod_thmpp(1)_mod_lipo(1)	2OXOGLUTARATEDEH-CPLX_mod_mg2(1)_mod_lipoyl(1) OR GCVMULTI-CPLX_mod_lipoyl(1) OR PYRUVATEDEH-CPLX_mod_mg2(1)_mod_fad(1)_mod_thmpp(1)_mod_lipoyl(1)
PHETA1	ASPAMINOTRANS-DIMER_mod_pydx5p(1) OR BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6) OR TYRB-DIMER_mod_pydx5p(1)	ASPAMINOTRANS-DIMER_mod_pydx5p(1) OR BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(1) OR BRANCHED-CHAINAMINOTRANSFER-CPLX_mod_pydx5p(6) OR TYRB-DIMER_mod_pydx5p(1)
POR5	CPLX_POR5-0 OR CPLX_POR5-1	CPLX_FLDR2-0 OR CPLX_FLDR2-1 OR CPLX_MECDPDH5-0 OR CPLX_MECDPDH5-1 OR CPLX_POR5-0 OR CPLX_POR5-1 OR CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3
PPCDC	CPLX0-341_mod_fmn(1)	CPLX0-341_mod_fmn(1) OR CPLX0-341_mod_mg2(1)
PPCK	PEPCARBOXYKIN-MONOMER_mod_mg2(1)	PEPCARBOXYKIN-MONOMER_mod_ca2(1) OR PEPCARBOXYKIN-MONOMER_mod_mg2(1) OR PEPCARBOXYKIN-MONOMER_mod_mn2(1)
PPNCL2	CPLX0-341_mod_fmn(1)	CPLX0-341_mod_fmn(1) OR CPLX0-341_mod_mg2(1)
PRPPS	PRPPSYN-MONOMER_mod_mg2(1)_mod_pi(1)	PRPPSYN-MONOMER_mod_mg2(1)_mod_pi(1) OR PRPPSYN-MONOMER_mod_mn2(1)_mod_pi(1)
PYDAMK	PDXK-CPLX_mod_zn2(1)	PDXK-CPLX_mod_mg2(1) OR PDXK-CPLX_mod_zn2(1)
PYDXK	PDXK-CPLX_mod_zn2(1) OR PDXY-MONOMER	PDXK-CPLX_mod_mg2(1) OR PDXK-CPLX_mod_zn2(1) OR PDXY-MONOMER
PYDXNK	PDXK-CPLX_mod_zn2(1)	PDXK-CPLX_mod_mg2(1) OR PDXK-CPLX_mod_zn2(1)
PYK	PKI-COMPLEX_mod_mg2(1)_mod_k(1) OR PKII-CPLX_mod_mg2(1)_mod_k(1)	PKI-COMPLEX_mod_mg2(1)_mod_k(1) OR PKI-COMPLEX_mod_mn2(1)_mod_k(1) OR PKII-CPLX_mod_mg2(1)_mod_k(1) OR PKII-CPLX_mod_mn2(1)_mod_k(1)
REPHACCOAI	G6715-MONOMER	CPLX_OXDHCOAT-0 OR G6715-MONOMER
RFAMPtpp	CPLX0-3932 OR TRANS-CPLX-201	CPLX0-2141 OR CPLX0-3932 OR EG11009-MONOMER OR TRANS-CPLX-201
RNDR1	CPLX_RNDR1-0 OR CPLX_RNDR1-1	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
RNDR1b	CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3	CPLX0-7817 OR CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2 OR CPLX_PAPSR2-3 OR CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3 OR GLUTAREDOXIN-MONOMER OR GRXB-MONOMER OR GRXB-MONOMER_EG12237-MONOMER OR GRXC-MONOMER
RNDR2	CPLX_RNDR1-0 OR CPLX_RNDR1-1	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
RNDR2b	CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3	CPLX0-7817 OR CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2 OR CPLX_PAPSR2-3 OR CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3 OR GLUTAREDOXIN-MONOMER OR GRXB-MONOMER OR GRXB-MONOMER_EG12237-MONOMER OR GRXC-MONOMER
RNDR3	CPLX_RNDR1-0 OR CPLX_RNDR1-1	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
RNDR3b	CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3	CPLX0-7817 OR CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2 OR CPLX_PAPSR2-3 OR CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3 OR GLUTAREDOXIN-MONOMER OR GRXB-MONOMER OR GRXB-MONOMER_EG12237-MONOMER OR GRXC-MONOMER
RNDR4	CPLX_RNDR1-0 OR CPLX_RNDR1-1	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_METSOXR1-0 OR CPLX_METSOXR1-1 OR CPLX_METSOXR1-2 OR CPLX_METSOXR1-3 OR CPLX_METSOXR2-0 OR CPLX_METSOXR2-1 OR CPLX_PAPSR-0 OR CPLX_PAPSR-1 OR CPLX_RNDR1-0 OR CPLX_RNDR1-1 OR CPLX_THIORDXi-0 OR CPLX_THIORDXi-1 OR CPLX_TRDR-0 OR CPLX_TRDR-1
RNDR4b	CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3	CPLX0-7817 OR CPLX_PAPSR2-0 OR CPLX_PAPSR2-1 OR CPLX_PAPSR2-2 OR CPLX_PAPSR2-3 OR CPLX_RNDR1b-0 OR CPLX_RNDR1b-1 OR CPLX_RNDR1b-2 OR CPLX_RNDR1b-3 OR GLUTAREDOXIN-MONOMER OR GRXB-MONOMER OR GRXB-MONOMER_EG12237-MONOMER OR GRXC-MONOMER
RNTR1c2	CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3	CPLX_FLDR2-0 OR CPLX_FLDR2-1 OR CPLX_MECDPDH5-0 OR CPLX_MECDPDH5-1 OR CPLX_POR5-0 OR CPLX_POR5-1 OR CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3
RNTR2c2	CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3	CPLX_FLDR2-0 OR CPLX_FLDR2-1 OR CPLX_MECDPDH5-0 OR CPLX_MECDPDH5-1 OR CPLX_POR5-0 OR CPLX_POR5-1 OR CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3
RNTR3c2	CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3	CPLX_FLDR2-0 OR CPLX_FLDR2-1 OR CPLX_MECDPDH5-0 OR CPLX_MECDPDH5-1 OR CPLX_POR5-0 OR CPLX_POR5-1 OR CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3
RNTR4c2	CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3	CPLX_FLDR2-0 OR CPLX_FLDR2-1 OR CPLX_MECDPDH5-0 OR CPLX_MECDPDH5-1 OR CPLX_POR5-0 OR CPLX_POR5-1 OR CPLX_RNTR1c2-0 OR CPLX_RNTR1c2-1 OR CPLX_RNTR1c2-2 OR CPLX_RNTR1c2-3
S2FE2SR	CPLX_S2FE2SR-0	CPLX0-1341_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(2) OR CPLX0-1341_mod_2fe2s(2) OR CPLX0-1341_mod_4fe4s(1) OR CPLX0-1341_mod_fe2(1) OR CPLX0-1341_mod_fe2(2) OR CPLX0-246_CPLX0-1342_mod_SH(1) OR CPLX0-246_CPLX0-1342_mod_pydx5p(1) OR CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1) OR CPLX_S2FE2SR-0 OR CPLX_S2FE2SS-0 OR CPLX_S2FE2ST-0
S2FE2SS	CPLX_S2FE2SS-0	CPLX0-1341_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(2) OR CPLX0-1341_mod_2fe2s(2) OR CPLX0-1341_mod_4fe4s(1) OR CPLX0-1341_mod_fe2(1) OR CPLX0-1341_mod_fe2(2) OR CPLX0-246_CPLX0-1342_mod_SH(1) OR CPLX0-246_CPLX0-1342_mod_pydx5p(1) OR CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1) OR CPLX_I2FE2SS-0 OR CPLX_S2FE2SR-0 OR CPLX_S2FE2SS-0 OR CPLX_S2FE2ST-0
S2FE2SS2	CPLX_S2FE2SS-0	CPLX0-1341_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(2) OR CPLX0-1341_mod_2fe2s(2) OR CPLX0-1341_mod_4fe4s(1) OR CPLX0-1341_mod_fe2(1) OR CPLX0-1341_mod_fe2(2) OR CPLX0-246_CPLX0-1342_mod_SH(1) OR CPLX0-246_CPLX0-1342_mod_pydx5p(1) OR CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1) OR CPLX_I2FE2SS-0 OR CPLX_S2FE2SR-0 OR CPLX_S2FE2SS-0 OR CPLX_S2FE2ST-0
S2FE2ST	CPLX_S2FE2ST-0	CPLX0-1341_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(2) OR CPLX0-1341_mod_2fe2s(2) OR CPLX0-1341_mod_4fe4s(1) OR CPLX0-1341_mod_fe2(1) OR CPLX0-1341_mod_fe2(2) OR CPLX_S2FE2SR-0 OR CPLX_S2FE2SS-0 OR CPLX_S2FE2ST-0
S4FE4SR	CPLX0-1341_mod_2fe2s(1)	CPLX0-1341_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(2) OR CPLX0-1341_mod_2fe2s(2) OR CPLX0-1341_mod_4fe4s(1) OR CPLX0-1341_mod_fe2(1) OR CPLX0-1341_mod_fe2(2) OR CPLX_S2FE2SR-0 OR CPLX_S2FE2SS-0 OR CPLX_S2FE2ST-0
S4FE4ST	CPLX_S2FE2ST-0	CPLX0-1341_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_2fe1s(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(1) OR CPLX0-1341_mod_2fe2s(1)_mod_fe2(2) OR CPLX0-1341_mod_2fe2s(2) OR CPLX0-1341_mod_4fe4s(1) OR CPLX0-1341_mod_fe2(1) OR CPLX0-1341_mod_fe2(2) OR CPLX_S2FE2SR-0 OR CPLX_S2FE2SS-0 OR CPLX_S2FE2ST-0
SBTptspp	CPLX-169	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
SCYSDS	CPLX0-246_CPLX0-1342_mod_SH(1)	CPLX0-246_CPLX0-1342_mod_SH(1) OR CPLX0-246_CPLX0-1342_mod_pydx5p(1) OR CPLX0-246_CPLX0-1342_mod_pydx5p(1)_mod_SH(1) OR CPLX_S2FE2SR-0 OR CPLX_S2FE2SS-0
SELtpp	ABC-7-CPLX	ABC-7-CPLX OR ABC-70-CPLX
SHKK	AROK-MONOMER_mod_mg2(1) OR AROL-MONOMER_mod_mg2(1)	AROK-MONOMER_mod_ca2(1) OR AROK-MONOMER_mod_cobalt2(1) OR AROK-MONOMER_mod_fe2(1) OR AROK-MONOMER_mod_k(1) OR AROK-MONOMER_mod_mg2(1) OR AROK-MONOMER_mod_mn2(1) OR AROL-MONOMER_mod_ca2(1) OR AROL-MONOMER_mod_cobalt2(1) OR AROL-MONOMER_mod_fe2(1) OR AROL-MONOMER_mod_k(1) OR AROL-MONOMER_mod_mg2(1) OR AROL-MONOMER_mod_mn2(1)
SLNTtpp	ABC-7-CPLX	ABC-7-CPLX OR ABC-70-CPLX
SUCptspp	CPLX0-7	CPLX-153 OR CPLX-154 OR CPLX-157 OR CPLX-158 OR CPLX-163 OR CPLX-164 OR CPLX-165 OR CPLX-166 OR CPLX-167 OR CPLX-168 OR CPLX-169 OR CPLX0-231 OR CPLX0-7 OR CPLX_DHAPT-0 OR EIISGA OR PTSI-MONOMER
TDSR1	CPLX_TDSR1-0	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_TDSR1-0 OR CPLX_TDSR2-0 OR DSBC-CPLX
TDSR2	CPLX_TDSR2-0	CPLX_DSBDR-0 OR CPLX_DSBDR-1 OR CPLX_TDSR1-0 OR CPLX_TDSR2-0 OR DSBG-CPLX
