reaction	lb	ub
DM_RNA_b2762	0.0	1000.0
DM_RNA_b0677	0.0	1000.0
DM_RNA_b0657	0.0	1000.0
DM_RNA_b3425	0.0	1000.0
DM_RNA_b3670	0.0	1000.0
DM_RNA_b3671	0.0	1000.0
DM_RNA_b3035	0.0	1000.0
DM_RNA_b2907	0.0	1000.0
DM_RNA_b2817	0.0	1000.0
DM_RNA_b1812	0.0	1000.0
DM_RNA_b4166	0.0	1000.0
DM_RNA_b1084	0.0	1000.0
DM_RNA_b0896	0.0	1000.0
DM_RNA_b0894	0.0	1000.0
DM_RNA_b0895	0.0	1000.0
DM_RNA_b0674	0.0	1000.0
DM_RNA_b1192	0.0	1000.0
DM_RNA_b0188	0.0	1000.0
DM_RNA_b0154	0.0	1000.0
DM_RNA_b1032	0.0	1000.0
DM_RNA_b3924	0.0	1000.0
DM_RNA_b0918	0.0	1000.0
DM_RNA_b3519	0.0	1000.0
DM_RNA_b0431	0.0	1000.0
DM_RNA_b0428	0.0	1000.0
DM_RNA_b0432	0.0	1000.0
DM_RNA_b0429	0.0	1000.0
DM_RNA_b0430	0.0	1000.0
DM_RNA_b3806	0.0	1000.0
DM_RNA_b3137	0.0	1000.0
DM_RNA_b2691	0.0	1000.0
DM_RNA_b0156	0.0	1000.0
DM_RNA_b1277	0.0	1000.0
DM_RNA_b2174	0.0	1000.0
DM_RNA_b0809	0.0	1000.0
DM_RNA_b0811	0.0	1000.0
DM_RNA_b0810	0.0	1000.0
DM_RNA_b2498	0.0	1000.0
DM_RNA_b2497	0.0	1000.0
DM_RNA_b3648	0.0	1000.0
DM_RNA_b2523	0.0	1000.0
DM_RNA_b0622	0.0	1000.0
DM_RNA_b0306	0.0	1000.0
DM_RNA_b0307	0.0	1000.0
DM_RNA_b0308	0.0	1000.0
DM_RNA_b2341	0.0	1000.0
DM_RNA_b2342	0.0	1000.0
DM_RNA_b0142	0.0	1000.0
DM_RNA_b1231	0.0	1000.0
DM_RNA_b1230	0.0	1000.0
DM_RNA_b0729	0.0	1000.0
DM_RNA_b0726	0.0	1000.0
DM_RNA_b0727	0.0	1000.0
DM_RNA_b0728	0.0	1000.0
DM_RNA_b0886	0.0	1000.0
DM_RNA_b0887	0.0	1000.0
DM_RNA_b4321	0.0	1000.0
DM_RNA_b0436	0.0	1000.0
DM_RNA_b3927	0.0	1000.0
DM_RNA_b3926	0.0	1000.0
DM_RNA_b3925	0.0	1000.0
DM_RNA_b2877	0.0	1000.0
DM_RNA_b4131	0.0	1000.0
DM_RNA_b1701	0.0	1000.0
DM_RNA_b1533	0.0	1000.0
DM_RNA_b0841	0.0	1000.0
DM_RNA_b0661	0.0	1000.0
DM_RNA_b2741	0.0	1000.0
DM_RNA_b3875	0.0	1000.0
DM_RNA_b1466	0.0	1000.0
DM_RNA_b1465	0.0	1000.0
DM_RNA_b1467	0.0	1000.0
DM_RNA_b1468	0.0	1000.0
DM_RNA_b3942	0.0	1000.0
DM_RNA_b1539	0.0	1000.0
DM_RNA_b4161	0.0	1000.0
DM_RNA_b2701	0.0	1000.0
DM_RNA_b0684	0.0	1000.0
DM_RNA_b1910	0.0	1000.0
DM_RNA_b1911	0.0	1000.0
DM_RNA_b1909	0.0	1000.0
DM_RNA_b3654	0.0	1000.0
DM_RNA_b1612	0.0	1000.0
DM_RNA_b2532	0.0	1000.0
DM_RNA_b2130	0.0	1000.0
DM_RNA_b2131	0.0	1000.0
DM_RNA_b2128	0.0	1000.0
DM_RNA_b2129	0.0	1000.0
DM_RNA_b1101	0.0	1000.0
DM_RNA_b2429	0.0	1000.0
DM_RNA_b2428	0.0	1000.0
DM_RNA_b1090	0.0	1000.0
DM_RNA_b1091	0.0	1000.0
DM_RNA_b2472	0.0	1000.0
DM_RNA_b0494	0.0	1000.0
DM_RNA_b0655	0.0	1000.0
DM_RNA_b0652	0.0	1000.0
DM_RNA_b0654	0.0	1000.0
DM_RNA_b0653	0.0	1000.0
DM_RNA_b4115	0.0	1000.0
DM_RNA_b0462	0.0	1000.0
