	0
b3475	3.364276099551925e-11
b3476	0.0
b3477	0.0
b3478	0.0
b3479	0.0
b3480	0.0
b3493	4.553199084956628e-06
b3496	0.0
b3500	7.90714602691741e-10
b3502	0.0
b3503	0.0
b3517	0.0
b3519	0.0
b3526	0.0
b3528	0.0
b3540	0.0
b3541	0.0
b3542	0.0
b3543	0.0
b3544	0.0
b3546	0.0
b3551	0.0
b3553	0.0
b3559	2.5726155748490443e-06
b3560	2.5726155748490443e-06
b3564	0.0
b3565	0.0
b3566	0.0
b3567	0.0
b3568	0.0
b3571	0.0
b3572	0.0
b3575	0.0
b3577	0.0
b3578	0.0
b3579	0.0
b3580	0.0
b3581	0.0
b3583	0.0
b3588	0.0
b3590	0.0
b3591	0.0
b3599	0.0
b3600	0.0
b3603	0.0
b3605	0.0
b3607	9.541126094497264e-06
b3608	2.980040495434799e-06
b3609	3.8896011360436356e-05
b3610	0.0
b3612	0.0
b3616	0.0
b3617	0.0
b3619	0.0
b3620	0.0
b3621	0.0
b3622	0.0
b3623	0.0
b3624	0.0
b3625	0.0
b3626	0.0
b3627	0.0
b3628	0.0
b3629	0.0
b3630	0.0
b3631	0.0
b3632	0.0
b3633	1.2017037007661406e-08
b3634	9.59365296120602e-09
b3636	8.231239920996712e-05
b3637	8.231239920996712e-05
b3639	1.1698282234382284e-08
b3640	0.0
b3642	2.5425982140962675e-06
b3643	6.914004366682227e-09
b3648	2.124031733736242e-06
b3649	1.9199908981276924e-09
b3650	0.0
b3651	1.0812638845468137e-09
b3653	0.0
b3654	0.0
b3665	0.0
b3666	0.0
b3670	0.0
b3671	0.0
b3679	0.0
b3691	0.0
b4478	0.0
b4477	0.0
b3693	0.0
b3703	8.231239920996712e-05
b3704	6.914004366682227e-09
b3705	3.1969069524154185e-06
b3706	5.468431818115889e-10
b3708	0.0
b3709	0.0
b3714	0.0
b3722	0.0
b3725	0.0
b3726	0.0
b3727	0.0
b3728	0.0
b3729	3.872703938523261e-06
b3730	5.403779646262701e-06
b3731	5.2270452992291985e-05
